Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.7e-05,17.015889,[18 16] ; [ 2 30],[10.3030303 23.6969697] ; [ 9.6969697 22.3030303],1
v4,1,0.000954,10.913819,[28  7] ; [13 19],[21.41791045 13.58208955] ; [19.58208955 12.41791045],1
p8,1,0.00098,10.865526,[16 19] ; [ 3 29],[ 9.92537313 25.07462687] ; [ 9.07462687 22.92537313],1
r4,1,0.001274,10.379359,[12 23] ; [ 1 31],[ 6.79104478 28.20895522] ; [ 6.20895522 25.79104478],0
s6,1,0.003001,8.806733,[16 19] ; [ 4 28],[10.44776119 24.55223881] ; [ 9.55223881 22.44776119],0
s2,1,0.004009,8.279919,[14 21] ; [ 3 29],[ 8.88059701 26.11940299] ; [ 8.11940299 23.88059701],0
p11,1,0.008002,7.032981,[16 19] ; [ 5 27],[10.97014925 24.02985075] ; [10.02985075 21.97014925],0
n5,1,0.00878,6.867017,[29  6] ; [17 15],[24.02985075 10.97014925] ; [21.97014925 10.02985075],0
s8,1,0.017308,5.664908,[10 25] ; [ 2 30],[ 6.26865672 28.73134328] ; [ 5.73134328 26.26865672],0
p6,1,0.027599,4.852941,[ 9 25] ; [ 2 30],[ 5.66666667 28.33333333] ; [ 5.33333333 26.66666667],0
p10,1,0.038289,4.292138,[19 16] ; [ 9 22],[14.84848485 20.15151515] ; [13.15151515 17.84848485],0
v2,1,0.046959,3.946869,[10 24] ; [ 3 28],[ 6.8 27.2] ; [ 6.2 24.8],0
a1,1,0.052668,3.754425,[ 2 33] ; [ 7 25],[ 4.70149254 30.29850746] ; [ 4.29850746 27.70149254],0
p2,1,0.061906,3.485563,[20 15] ; [11 21],[16.19402985 18.80597015] ; [14.80597015 17.19402985],0
b5,1,0.065759,3.385829,[21 14] ; [12 20],[17.23880597 17.76119403] ; [15.76119403 16.23880597],0
s7,1,0.098301,2.732892,[11 23] ; [ 4 24],[ 8.22580645 25.77419355] ; [ 6.77419355 21.22580645],0
a5,1,0.11308,2.510634,[21 14] ; [13 19],[17.76119403 17.23880597] ; [16.23880597 15.76119403],0
r1,1,0.137025,2.211057,[16 19] ; [ 9 23],[13.05970149 21.94029851] ; [11.94029851 20.05970149],0
p3,1,0.151861,2.053462,[12 23] ; [ 6 26],[ 9.40298507 25.59701493] ; [ 8.59701493 23.40298507],0
a4,1,0.15795,1.993745,[ 8 25] ; [13 19],[10.66153846 22.33846154] ; [10.33846154 21.66153846],0
p7,1,0.17199,1.865512,[13 21] ; [ 7 24],[10.46153846 23.53846154] ; [ 9.53846154 21.46153846],0
n2,1,0.179183,1.804386,[12  7] ; [6 9],[10.05882353  8.94117647] ; [7.94117647 7.05882353],0
n4,1,0.195559,1.675232,[25 10] ; [18 14],[22.46268657 12.53731343] ; [20.53731343 11.46268657],0
s4,1,0.204142,1.612494,[10 25] ; [ 5 27],[ 7.8358209 27.1641791] ; [ 7.1641791 24.8358209],0
b2,1,0.225845,1.466837,[ 9 19] ; [9 9],[10.95652174 17.04347826] ; [ 7.04347826 10.95652174],0
b3,1,0.225845,1.466837,[ 9 19] ; [9 9],[10.95652174 17.04347826] ; [ 7.04347826 10.95652174],0
s5,1,0.245621,1.348039,[ 8 26] ; [ 4 28],[ 6.18181818 27.81818182] ; [ 5.81818182 26.18181818],0
p9,1,0.30373,1.057745,[17 16] ; [12 19],[14.953125 18.046875] ; [14.046875 16.953125],0
r2,1,0.330129,0.948393,[24  9] ; [19 12],[22.171875 10.828125] ; [20.828125 10.171875],0
a2,1,0.331234,0.944067,[ 2 33] ; [ 4 28],[ 3.13432836 31.86567164] ; [ 2.86567164 29.13432836],0
b1,1,0.360924,0.834677,[18 17] ; [20 12],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
a7,1,0.419806,0.650859,[13 22] ; [15 17],[14.62686567 20.37313433] ; [13.37313433 18.62686567],0
s3,1,0.510116,0.43383,[11 22] ; [ 8 23],[ 9.796875 23.203125] ; [ 9.203125 21.796875],0
d5,1,0.558067,0.343062,[20 15] ; [16 16],[18.80597015 16.19402985] ; [17.19402985 14.80597015],0
n3,1,0.565659,0.33,[9 9] ; [6 9],[8.18181818 9.81818182] ; [6.81818182 8.18181818],0
d4,1,0.570497,0.321852,[21 14] ; [17 15],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
b4,1,0.570497,0.321852,[21 14] ; [17 15],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
d1,1,0.587139,0.294834,[12 23] ; [ 9 23],[10.97014925 24.02985075] ; [10.02985075 21.97014925],0
v1,1,0.615571,0.252142,[ 9 26] ; [10 22],[ 9.92537313 25.07462687] ; [ 9.07462687 22.92537313],0
n1,1,0.667451,0.184598,[ 9 10] ; [6 9],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
u3,1,0.685734,0.163743,[5 9] ; [ 4 10],[4.5 9.5] ; [4.5 9.5],0
d3,1,0.692579,0.156308,[17 18] ; [14 18],[16.19402985 18.80597015] ; [14.80597015 17.19402985],0
u2,1,0.698791,0.149733,[5 9] ; [6 8],[5.5 8.5] ; [5.5 8.5],0
s1,1,0.717967,0.130449,[ 3 32] ; [ 2 30],[ 2.6119403 32.3880597] ; [ 2.3880597 29.6119403],0
a3,1,0.761017,0.092505,[21 13] ; [18 13],[20.4 13.6] ; [18.6 12.4],0
p1,1,0.892537,0.018251,[ 4 31] ; [ 4 28],[ 4.17910448 30.82089552] ; [ 3.82089552 28.17910448],0
