Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.008277,6.972458,[239  89] ; [15 15],[232.7150838  95.2849162] ; [21.2849162  8.7150838],0
v3,1,0.009787,6.673283,[121 199] ; [ 4 25],[114.61318052 205.38681948] ; [10.38681948 18.61318052],0
r2,1,0.014926,5.925214,[297  24] ; [23  6],[293.48571429  27.51428571] ; [26.51428571  2.48571429],0
s5,1,0.015861,5.818186,[ 55 265] ; [10 18],[ 59.77011494 260.22988506] ; [ 5.22988506 22.77011494],0
s6,1,0.024655,5.047926,[142 182] ; [19 10],[147.7733711 176.2266289] ; [13.2266289 15.7733711],0
a8,1,0.080394,3.056922,[ 45 248] ; [ 1 28],[ 41.85714286 251.14285714] ; [ 4.14285714 24.85714286],0
b5,1,0.17391,1.848914,[195 133] ; [14 16],[191.48603352 136.51396648] ; [17.51396648 12.48603352],0
a7,1,0.185294,1.754642,[224 103] ; [17 13],[220.74789916 106.25210084] ; [20.25210084  9.74789916],0
p10,1,0.235698,1.406139,[235  85] ; [25  5],[237.71428571  82.28571429] ; [22.28571429  7.71428571],0
a4,1,0.253183,1.305654,[143 181] ; [10 20],[140.03389831 183.96610169] ; [12.96610169 17.03389831],0
b3,1,0.330004,0.948881,[ 82 126] ; [ 5 13],[ 80.07079646 127.92920354] ; [ 6.92920354 11.07079646],0
b2,1,0.330004,0.948881,[ 82 126] ; [ 5 13],[ 80.07079646 127.92920354] ; [ 6.92920354 11.07079646],0
a2,1,0.333211,0.93638,[ 68 260] ; [ 4 26],[ 65.96648045 262.03351955] ; [ 6.03351955 23.96648045],0
a3,1,0.391106,0.735501,[220 105] ; [18 12],[217.88732394 107.11267606] ; [20.11267606  9.88732394],0
d3,1,0.397099,0.717094,[204 124] ; [21  9],[206.1452514 121.8547486] ; [18.8547486 11.1452514],0
s8,1,0.41154,0.674348,[ 86 240] ; [10 20],[ 87.91011236 238.08988764] ; [ 8.08988764 21.91011236],0
s3,1,0.452075,0.565444,[ 77 246] ; [ 9 21],[ 78.69121813 244.30878187] ; [ 7.30878187 22.69121813],0
p5,1,0.45758,0.551808,[ 36 290] ; [ 2 28],[ 34.79775281 291.20224719] ; [ 3.20224719 26.79775281],0
r3,1,0.500823,0.453191,[295  31] ; [26  4],[293.9494382  32.0505618] ; [27.0505618  2.9494382],0
p6,1,0.518061,0.417752,[ 99 221] ; [11 19],[100.57142857 219.42857143] ; [ 9.42857143 20.57142857],0
v4,1,0.522712,0.408539,[293  35] ; [27  2],[294.00560224  33.99439776] ; [25.99439776  3.00560224],0
b4,1,0.536002,0.383,[194 134] ; [16 14],[192.40223464 135.59776536] ; [17.59776536 12.40223464],0
r4,1,0.555211,0.348064,[276  52] ; [24  6],[274.8603352  53.1396648] ; [25.1396648  4.8603352],0
s7,1,0.559577,0.340438,[ 87 220] ; [ 7 23],[ 85.63204748 221.36795252] ; [ 8.36795252 21.63204748],0
s1,1,0.577122,0.31091,[  6 318] ; [ 1 29],[  6.40677966 317.59322034] ; [ 0.59322034 29.40677966],0
u1,1,0.596046,0.281001,[ 44 284] ; [ 3 27],[ 43.06145251 284.93854749] ; [ 3.93854749 26.06145251],0
p8,1,0.604988,0.267538,[159 160] ; [13 16],[157.66666667 161.33333333] ; [14.33333333 14.66666667],0
p11,1,0.608491,0.262378,[254  74] ; [22  8],[252.87150838  75.12849162] ; [23.12849162  6.87150838],0
u2,1,0.627295,0.235747,[52 54] ; [5 7],[51.20338983 54.79661017] ; [5.79661017 6.20338983],0
p7,1,0.634861,0.225526,[189 132] ; [19 11],[190.22222222 130.77777778] ; [17.77777778 12.22222222],0
p12,1,0.643479,0.214221,[ 17 305] ; [ 1 29],[ 16.46590909 305.53409091] ; [ 1.53409091 28.46590909],0
a1,1,0.657222,0.196915,[ 17 311] ; [ 1 29],[ 16.49162011 311.50837989] ; [ 1.50837989 28.49162011],0
p4,1,0.659499,0.194133,[170 154] ; [17 13],[171.15254237 152.84745763] ; [15.84745763 14.15254237],0
p3,1,0.698943,0.149573,[151 175] ; [15 15],[152.01123596 173.98876404] ; [13.98876404 16.01123596],0
d2,1,0.71808,0.130339,[152 173] ; [13 17],[151.05633803 173.94366197] ; [13.94366197 16.05633803],0
n1,1,0.720781,0.127746,[35 45] ; [1 2],[34.69879518 45.30120482] ; [1.30120482 1.69879518],0
u3,1,0.734503,0.115017,[48 59] ; [6 6],[48.55462185 58.44537815] ; [5.44537815 6.55462185],0
p2,1,0.75699,0.09575,[257  68] ; [23  7],[256.33802817  68.66197183] ; [23.66197183  6.33802817],0
n6,1,0.757121,0.095644,[269  58] ; [24  6],[268.37815126  58.62184874] ; [24.62184874  5.37815126],0
p9,1,0.759494,0.093725,[249  72] ; [24  6],[249.66666667  71.33333333] ; [23.33333333  6.66666667],0
a5,1,0.764042,0.090106,[238  90] ; [21  9],[237.29608939  90.70391061] ; [21.70391061  8.29608939],0
d5,1,0.768409,0.086705,[259  69] ; [23  7],[258.36871508  69.63128492] ; [23.63128492  6.36871508],0
d1,1,0.77329,0.082987,[173 155] ; [15 15],[172.24581006 155.75418994] ; [15.75418994 14.24581006],0
b1,1,0.774834,0.081829,[129 199] ; [11 19],[128.26815642 199.73184358] ; [11.73184358 18.26815642],0
n5,1,0.782692,0.076073,[265  61] ; [25  5],[265.56179775  60.43820225] ; [24.43820225  5.56179775],0
d4,1,0.818288,0.052784,[246  81] ; [22  8],[245.4789916  81.5210084] ; [22.5210084  7.4789916],0
r1,1,0.825633,0.048534,[244  82] ; [23  7],[244.5  81.5] ; [22.5  7.5],0
v1,1,0.852763,0.034445,[155 165] ; [14 16],[154.51428571 165.48571429] ; [14.48571429 15.51428571],0
n3,1,0.874727,0.024856,[56 23] ; [2 1],[55.87804878 23.12195122] ; [2.12195122 0.87804878],0
v2,1,0.907912,0.01338,[164 150] ; [16 14],[164.30232558 149.69767442] ; [15.69767442 14.30232558],0
n2,1,0.941311,0.00542,[57 26] ; [2 1],[56.94186047 26.05813953] ; [2.05813953 0.94186047],0
p1,1,0.969898,0.001424,[ 32 295] ; [ 3 27],[ 32.05882353 294.94117647] ; [ 2.94117647 27.05882353],0
