Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.240954,[105   7] ; [15 23],[89.6 22.4] ; [30.4  7.6],1
r3,1,7e-06,20.083484,[107   4] ; [27 11],[99.82550336 11.17449664] ; [34.17449664  3.82550336],1
r2,1,0.002078,9.478913,[105   7] ; [28  9],[99.97315436 12.02684564] ; [33.02684564  3.97315436],0
d3,1,0.017039,5.692308,[78 33] ; [18 19],[72. 39.] ; [24. 13.],0
a1,1,0.017505,5.644972,[  2 110] ; [ 4 34],[  4.48 107.52] ; [ 1.52 36.48],0
v3,1,0.019872,5.423082,[34 67] ; [ 5 32],[28.54347826 72.45652174] ; [10.45652174 26.54347826],0
a7,1,0.025332,5.001039,[81 31] ; [20 18],[75.41333333 36.58666667] ; [25.58666667 12.41333333],0
p8,1,0.026705,4.909764,[49 60] ; [ 9 28],[43.30136986 65.69863014] ; [14.69863014 22.30136986],0
a5,1,0.031519,4.624491,[75 37] ; [18 20],[69.44 42.56] ; [23.56 14.44],0
b4,1,0.036054,4.394541,[69 43] ; [16 22],[63.46666667 48.53333333] ; [21.53333333 16.46666667],0
d1,1,0.039,4.260879,[57 55] ; [12 26],[51.52 60.48] ; [17.48 20.52],0
s4,1,0.064738,3.411654,[15 97] ; [10 28],[18.66666667 93.33333333] ; [ 6.33333333 31.66666667],0
d5,1,0.070903,3.262002,[89 22] ; [25 13],[84.9261745 26.0738255] ; [29.0738255  8.9261745],0
b1,1,0.1111,2.538498,[54 58] ; [24 14],[58.24 53.76] ; [19.76 18.24],0
a2,1,0.114742,2.487664,[21 91] ; [ 3 35],[17.92 94.08] ; [ 6.08 31.92],0
n4,1,0.133128,2.255639,[60 52] ; [15 23],[56. 56.] ; [19. 19.],0
d4,1,0.136002,2.222625,[89 22] ; [26 12],[85.67114094 25.32885906] ; [29.32885906  8.67114094],0
a3,1,0.160493,1.969571,[76 36] ; [21 17],[72.42666667 39.57333333] ; [24.57333333 13.42666667],0
v2,1,0.17026,1.880656,[52 50] ; [14 23],[48.43165468 53.56834532] ; [17.56834532 19.43165468],0
p3,1,0.199534,1.64578,[44 67] ; [10 26],[40.7755102 70.2244898] ; [13.2244898 22.7755102],0
s6,1,0.199646,1.644965,[63 48] ; [17 21],[59.59731544 51.40268456] ; [20.40268456 17.59731544],0
n1,1,0.242207,1.367705,[10 24] ; [7 8],[11.79591837 22.20408163] ; [5.20408163 9.79591837],0
n2,1,0.267272,1.230695,[23 11] ; [14  3],[24.66666667  9.33333333] ; [12.33333333  4.66666667],0
p6,1,0.281935,1.157739,[23 83] ; [11 25],[25.38028169 80.61971831] ; [ 8.61971831 27.38028169],0
