Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002295,9.296983,[3 5] ; [ 5 80],[0.68817204 7.31182796] ; [ 7.31182796 77.68817204],0
s7,1,0.003876,8.341027,[4 3] ; [11 68],[1.22093023 5.77906977] ; [13.77906977 65.22093023],0
v1,1,0.039908,4.221776,[6 2] ; [32 53],[3.2688172 4.7311828] ; [34.7311828 50.2688172],0
p4,1,0.052481,3.760363,[5 2] ; [29 55],[2.61538462 4.38461538] ; [31.38461538 52.61538462],0
a3,1,0.084958,2.967411,[3 5] ; [57 27],[5.2173913 2.7826087] ; [54.7826087 29.2173913],0
v2,1,0.091137,2.854177,[6 2] ; [35 45],[3.72727273 4.27272727] ; [37.27272727 42.72727273],0
a5,1,0.099095,2.720047,[7 1] ; [49 36],[4.8172043 3.1827957] ; [51.1827957 33.8172043],0
p6,1,0.100127,2.703512,[3 4] ; [14 67],[1.35227273 5.64772727] ; [15.64772727 65.35227273],0
v3,1,0.107144,2.595853,[4 4] ; [19 61],[2.09090909 5.90909091] ; [20.90909091 59.09090909],0
n4,1,0.115135,2.482279,[2 6] ; [46 39],[4.12903226 3.87096774] ; [43.87096774 41.12903226],0
n5,1,0.130938,2.28135,[1 6] ; [37 48],[2.89130435 4.10869565] ; [35.10869565 49.89130435],0
r4,1,0.139408,2.184486,[7 1] ; [52 33],[5.07526882 2.92473118] ; [53.92473118 31.07526882],0
s6,1,0.171735,1.867736,[4 4] ; [23 62],[2.32258065 5.67741935] ; [24.67741935 60.32258065],0
b5,1,0.21759,1.520192,[3 5] ; [51 34],[4.64516129 3.35483871] ; [49.35483871 35.64516129],0
p10,1,0.225379,1.469786,[5 2] ; [39 43],[3.46067416 3.53932584] ; [40.53932584 41.46067416],0
p8,1,0.241738,1.37043,[4 3] ; [29 54],[2.56666667 4.43333333] ; [30.43333333 52.56666667],0
d3,1,0.243944,1.357655,[6 2] ; [45 39],[4.43478261 3.56521739] ; [46.56521739 37.43478261],0
s5,1,0.247693,1.336271,[2 6] ; [ 9 73],[0.97777778 7.02222222] ; [10.02222222 71.97777778],0
p11,1,0.440416,0.595198,[3 5] ; [44 41],[4.04301075 3.95698925] ; [42.95698925 42.04301075],0
p7,1,0.461521,0.542205,[2 5] ; [36 48],[2.92307692 4.07692308] ; [35.07692308 48.92307692],0
d4,1,0.477642,0.504243,[6 2] ; [53 32],[5.07526882 2.92473118] ; [53.92473118 31.07526882],0
u2,1,0.478247,0.502857,[2 3] ; [16 12],[2.72727273 2.27272727] ; [15.27272727 12.72727273],0
a6,1,0.516817,0.420241,[6 2] ; [54 31],[5.16129032 2.83870968] ; [54.83870968 30.16129032],0
p9,1,0.52041,0.413081,[5 2] ; [49 34],[4.2 2.8] ; [49.8 33.2],0
a4,1,0.536934,0.381251,[4 4] ; [33 52],[3.1827957 4.8172043] ; [33.8172043 51.1827957],0
d1,1,0.536934,0.381251,[4 4] ; [33 52],[3.1827957 4.8172043] ; [33.8172043 51.1827957],0
s8,1,0.541136,0.373439,[2 6] ; [14 71],[1.37634409 6.62365591] ; [14.62365591 70.37634409],0
p2,1,0.600869,0.273688,[5 2] ; [51 32],[4.35555556 2.64444444] ; [51.64444444 31.35555556],0
b4,1,0.604166,0.268759,[5 3] ; [45 40],[4.30107527 3.69892473] ; [45.69892473 39.30107527],0
d2,1,0.628731,0.233786,[4 4] ; [35 50],[3.35483871 4.64516129] ; [35.64516129 49.35483871],0
a7,1,0.645978,0.211008,[6 2] ; [57 28],[5.41935484 2.58064516] ; [57.58064516 27.41935484],0
s4,1,0.680872,0.169146,[1 7] ; [ 7 78],[0.68817204 7.31182796] ; [ 7.31182796 77.68817204],0
a2,1,0.737376,0.112447,[2 6] ; [17 68],[1.6344086 6.3655914] ; [17.3655914 67.6344086],0
b1,1,0.741923,0.108444,[5 3] ; [48 37],[4.55913978 3.44086022] ; [48.44086022 36.55913978],0
r1,1,0.900789,0.015541,[5 3] ; [55 30],[5.16129032 2.83870968] ; [54.83870968 30.16129032],0
p3,1,1.0,0.0,[2 5] ; [24 60],[2. 5.] ; [24. 60.],0
