Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,34.716969,[ 6 35] ; [60 25],[21.47619048 19.52380952] ; [44.52380952 40.47619048],1
p6,1,0.0,25.7602,[ 5 37] ; [51 35],[18.375 23.625] ; [37.625 48.375],1
p2,1,0.000136,14.557563,[24 18] ; [75 11],[32.484375  9.515625] ; [66.515625 19.484375],1
p3,1,0.000163,14.211422,[13 29] ; [57 29],[22.96875 19.03125] ; [47.03125 38.96875],1
p4,1,0.000475,12.209567,[18 24] ; [64 22],[26.90625 15.09375] ; [55.09375 30.90625],1
p10,1,0.003136,8.726694,[28 14] ; [76 10],[34.125  7.875] ; [69.875 16.125],0
s8,1,0.012147,6.289252,[16 26] ; [53 33],[22.640625 19.359375] ; [46.359375 39.640625],0
s7,1,0.0151,5.904779,[20 21] ; [59 24],[26.12096774 14.87903226] ; [52.87903226 30.12096774],0
p9,1,0.017925,5.603499,[30 11] ; [77  9],[34.54330709  6.45669291] ; [72.45669291 13.54330709],0
b4,1,0.025361,4.99904,[32 10] ; [48 38],[26.25 15.75] ; [53.75 32.25],0
r3,1,0.026478,4.924532,[37  5] ; [83  2],[39.68503937  2.31496063] ; [80.31496063  4.68503937],0
p11,1,0.038968,4.262249,[26 16] ; [68 18],[30.84375 11.15625] ; [63.15625 22.84375],0
d5,1,0.046647,3.958088,[30 12] ; [74 12],[34.125  7.875] ; [69.875 16.125],0
s5,1,0.072066,3.235335,[18 22] ; [51 31],[22.62295082 17.37704918] ; [46.37704918 35.62295082],0
v3,1,0.077336,3.12002,[ 8 33] ; [29 54],[12.23387097 28.76612903] ; [24.76612903 58.23387097],0
p5,1,0.079667,3.071685,[ 1 41] ; [10 76],[ 3.609375 38.390625] ; [ 7.390625 78.609375],0
v1,1,0.085989,2.947901,[14 28] ; [42 43],[18.51968504 23.48031496] ; [37.48031496 47.51968504],0
b1,1,0.144795,2.126246,[12 30] ; [36 50],[15.75 26.25] ; [32.25 53.75],0
s1,1,0.147855,2.094241,[ 4 37] ; [ 3 83],[ 2.25984252 38.74015748] ; [ 4.74015748 81.25984252],0
r1,1,0.200292,1.640247,[30 12] ; [70 16],[32.8125  9.1875] ; [67.1875 18.8125],0
d1,1,0.206322,1.597047,[23 19] ; [57 29],[26.25 15.75] ; [53.75 32.25],0
v2,1,0.224138,1.47768,[16 25] ; [42 41],[19.17741935 21.82258065] ; [38.82258065 44.17741935],0
