Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.45975,[10 19] ; [87 20],[20.68382353  8.31617647] ; [76.31617647 30.68382353],1
d2,1,0.0278,4.840456,[ 2 27] ; [28 80],[ 6.35036496 22.64963504] ; [23.64963504 84.35036496],0
d5,1,0.075984,3.148773,[ 9 19] ; [55 53],[13.17647059 14.82352941] ; [50.82352941 57.17647059],0
p4,1,0.110217,2.551111,[11 18] ; [59 49],[14.81751825 14.18248175] ; [55.18248175 52.81751825],0
p10,1,0.113425,2.505844,[22  6] ; [96 11],[24.47407407  3.52592593] ; [93.52592593 13.47407407],0
a4,1,0.138064,2.199409,[ 4 25] ; [29 78],[ 7.03676471 21.96323529] ; [25.96323529 81.03676471],0
n1,1,0.143414,2.140938,[1 6] ; [12 15],[2.67647059 4.32352941] ; [10.32352941 16.67647059],0
p6,1,0.180435,1.79404,[ 6 23] ; [36 71],[ 8.95588235 20.04411765] ; [33.04411765 73.95588235],0
p5,1,0.188969,1.725636,[ 1 27] ; [13 95],[ 2.88235294 25.11764706] ; [11.11764706 96.88235294],0
s5,1,0.19996,1.642667,[ 4 23] ; [28 77],[ 6.54545455 20.45454545] ; [25.45454545 79.54545455],0
b5,1,0.224672,1.474278,[20  9] ; [61 47],[17.1459854 11.8540146] ; [63.8540146 44.1459854],0
n2,1,0.245092,1.351067,[5 2] ; [24  3],[5.97058824 1.02941176] ; [23.02941176  3.97058824],0
n6,1,0.290861,1.115631,[22  7] ; [91 17],[23.91970803  5.08029197] ; [89.08029197 18.91970803],0
v1,1,0.292335,1.108835,[11 17] ; [53 52],[13.47368421 14.52631579] ; [50.52631579 54.47368421],0
v2,1,0.292705,1.107137,[11 18] ; [49 51],[13.48837209 15.51162791] ; [46.51162791 53.48837209],0
p7,1,0.304116,1.05606,[14 14] ; [65 42],[16.38518519 11.61481481] ; [62.61481481 44.38518519],0
v3,1,0.320854,0.985463,[ 7 21] ; [37 69],[ 9.19402985 18.80597015] ; [34.80597015 71.19402985],0
p3,1,0.326989,0.960786,[11 18] ; [52 56],[13.33576642 15.66423358] ; [49.66423358 58.33576642],0
s7,1,0.360351,0.836671,[10 19] ; [44 56],[12.13953488 16.86046512] ; [41.86046512 58.13953488],0
s4,1,0.366984,0.813853,[ 7 22] ; [18 89],[ 5.33088235 23.66911765] ; [19.66911765 87.33088235],0
a6,1,0.386979,0.748414,[20  9] ; [65 43],[17.99270073 11.00729927] ; [67.00729927 40.99270073],0
n3,1,0.394881,0.72386,[5 2] ; [23  4],[5.76470588 1.23529412] ; [22.23529412  4.76470588],0
d3,1,0.46171,0.541745,[ 9 19] ; [27 80],[ 7.46666667 20.53333333] ; [28.53333333 78.46666667],0
s3,1,0.473608,0.513544,[12 16] ; [53 52],[13.68421053 14.31578947] ; [51.31578947 53.68421053],0
p11,1,0.577861,0.309706,[22  7] ; [87 21],[23.0729927  5.9270073] ; [85.9270073 22.0729927],0
