Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7.6e-05,15.656637,[29 20] ; [ 79 185],[16.90734824 32.09265176] ; [ 91.09265176 172.90734824],1
s7,1,0.000159,14.263055,[26 21] ; [ 69 183],[14.93311037 32.06688963] ; [ 80.06688963 171.93311037],1
s6,1,0.000803,11.234173,[34 15] ; [114 149],[23.24358974 25.75641026] ; [124.75641026 138.24358974],1
s8,1,0.001571,9.993668,[23 26] ; [ 66 200],[13.84444444 35.15555556] ; [ 75.15555556 190.84444444],0
p11,1,0.002903,8.867354,[33 16] ; [227  40],[40.3164557  8.6835443] ; [219.6835443  47.3164557],0
r1,1,0.007097,7.248371,[30 19] ; [211  56],[37.37025316 11.62974684] ; [203.62974684  63.37025316],0
u1,1,0.016121,5.789656,[13 36] ; [ 35 232],[ 7.44303797 41.55696203] ; [ 40.55696203 226.44303797],0
a1,1,0.019537,5.45277,[ 5 44] ; [  8 259],[ 2.01582278 46.98417722] ; [ 10.98417722 256.01582278],0
s5,1,0.030884,4.659425,[18 30] ; [ 60 203],[12.03858521 35.96141479] ; [ 65.96141479 197.03858521],0
b5,1,0.03387,4.501269,[36 13] ; [153 114],[29.30696203 19.69303797] ; [159.69303797 107.30696203],0
s4,1,0.038531,4.281425,[10 37] ; [ 28 237],[ 5.72435897 41.27564103] ; [ 32.27564103 232.72435897],0
n1,1,0.183044,1.772734,[ 2 12] ; [19 40],[4.02739726 9.97260274] ; [16.97260274 42.02739726],0
p12,1,0.25789,1.280051,[ 1 48] ; [ 16 250],[ 2.64444444 46.35555556] ; [ 14.35555556 251.64444444],0
d4,1,0.306328,1.04644,[42  7] ; [212  55],[39.38607595  9.61392405] ; [214.61392405  52.38607595],0
s1,1,0.323252,0.975744,[ 2 46] ; [  5 261],[ 1.07006369 46.92993631] ; [  5.92993631 260.07006369],0
n3,1,0.32921,0.952002,[8 6] ; [41 17],[9.52777778 4.47222222] ; [39.47222222 18.52777778],0
a4,1,0.345977,0.888158,[24 25] ; [111 155],[21. 28.] ; [114. 152.],0
a2,1,0.350413,0.871961,[12 37] ; [ 50 217],[ 9.61392405 39.38607595] ; [ 52.38607595 214.61392405],0
d3,1,0.359163,0.840817,[35 13] ; [176  90],[32.25477707 15.74522293] ; [178.74522293  87.25477707],0
r3,1,0.38569,0.752486,[47  2] ; [246  20],[45.57777778  3.42222222] ; [247.42222222  18.57777778],0
b1,1,0.394683,0.724465,[14 35] ; [ 93 174],[16.59177215 32.40822785] ; [ 90.40822785 176.59177215],0
d1,1,0.438471,0.600281,[29 20] ; [142 125],[26.51582278 22.48417722] ; [144.48417722 122.51582278],0
n6,1,0.44072,0.594408,[43  5] ; [228  39],[41.2952381  6.7047619] ; [229.7047619  37.2952381],0
v1,1,0.472112,0.517028,[29 20] ; [141 122],[26.69871795 22.30128205] ; [143.30128205 119.69871795],0
v3,1,0.475394,0.50941,[21 28] ; [ 97 162],[18.77272727 30.22727273] ; [ 99.22727273 159.77272727],0
v2,1,0.54757,0.361688,[30 19] ; [146 112],[28.09120521 20.90879479] ; [147.90879479 110.09120521],0
n5,1,0.553622,0.350868,[38 10] ; [200  66],[36.38216561 11.61783439] ; [201.61783439  64.38216561],0
p1,1,0.559574,0.340442,[ 3 46] ; [ 23 244],[ 4.03164557 44.96835443] ; [ 21.96835443 245.03164557],0
b3,1,0.571909,0.319498,[12 15] ; [58 92],[10.6779661 16.3220339] ; [59.3220339 90.6779661],0
b2,1,0.571909,0.319498,[12 15] ; [58 92],[10.6779661 16.3220339] ; [59.3220339 90.6779661],0
n4,1,0.578661,0.308404,[38 11] ; [197  70],[36.43987342 12.56012658] ; [198.56012658  68.43987342],0
p7,1,0.606096,0.2659,[33 16] ; [167  96],[31.41025641 17.58974359] ; [168.58974359  94.41025641],0
p5,1,0.614638,0.253477,[ 5 44] ; [ 34 232],[ 6.06666667 42.93333333] ; [ 32.93333333 233.06666667],0
u2,1,0.691223,0.157764,[8 7] ; [50 35],[8.7 6.3] ; [49.3 35.7],0
d2,1,0.716343,0.132024,[22 27] ; [112 154],[20.84444444 28.15555556] ; [113.15555556 152.84444444],0
v4,1,0.733128,0.116259,[47  2] ; [253  14],[46.51898734  2.48101266] ; [253.48101266  13.51898734],0
a7,1,0.776703,0.080439,[36 12] ; [195  72],[35.2 12.8] ; [195.8  71.2],0
d5,1,0.826885,0.047829,[40  8] ; [219  48],[39.46666667  8.53333333] ; [219.53333333  47.46666667],0
p4,1,0.848997,0.036251,[30 19] ; [159 107],[29.4 19.6] ; [159.6 106.4],0
r4,1,0.868637,0.027354,[43  6] ; [232  35],[42.64240506  6.35759494] ; [232.35759494  34.64240506],0
p2,1,0.8796,0.022945,[41  8] ; [224  41],[41.35350318  7.64649682] ; [223.64649682  41.35350318],0
a5,1,0.884887,0.02096,[37 12] ; [199  68],[36.59493671 12.40506329] ; [199.40506329  67.59493671],0
a3,1,0.893442,0.017943,[34 15] ; [182  84],[33.6 15.4] ; [182.4  83.6],0
n2,1,0.897573,0.016571,[9 5] ; [39 20],[9.20547945 4.79452055] ; [38.79452055 20.20547945],0
a6,1,0.906308,0.013853,[34 15] ; [183  84],[33.64873418 15.35126582] ; [183.35126582  83.64873418],0
a8,1,0.908971,0.013073,[ 5 37] ; [ 27 212],[ 4.78291815 37.21708185] ; [ 27.21708185 211.78291815],0
u3,1,0.910734,0.012569,[8 7] ; [44 41],[7.8 7.2] ; [44.2 40.8],0
p3,1,0.933919,0.006875,[24 25] ; [132 134],[24.26666667 24.73333333] ; [131.73333333 134.26666667],0
r2,1,0.938998,0.005857,[44  5] ; [238  26],[44.14696486  4.85303514] ; [237.85303514  26.14696486],0
b4,1,0.939087,0.00584,[28 21] ; [151 116],[27.75632911 21.24367089] ; [151.24367089 115.75632911],0
p8,1,0.971783,0.001251,[28 21] ; [149 113],[27.88745981 21.11254019] ; [149.11254019 112.88745981],0
p9,1,0.976847,0.000842,[46  3] ; [250  16],[46.04444444  2.95555556] ; [249.95555556  16.04444444],0
