Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.887732,[15 41] ; [95 55],[29.90291262 26.09708738] ; [80.09708738 69.90291262],1
r3,1,8e-06,20.038726,[33 23] ; [130  19],[44.52682927 11.47317073] ; [118.47317073  30.52682927],1
p11,1,0.000616,11.727871,[26 30] ; [108  42],[36.42718447 19.57281553] ; [97.57281553 52.42718447],1
n4,1,0.001563,10.002894,[25 31] ; [103  47],[34.7961165 21.2038835] ; [93.2038835 56.7961165],0
v4,1,0.001618,9.939394,[36 19] ; [128  22],[44. 11.] ; [120.  30.],0
b1,1,0.001935,9.60981,[34 22] ; [55 95],[24.19417476 31.80582524] ; [64.80582524 85.19417476],0
p10,1,0.003669,8.440819,[26 28] ; [104  44],[34.75247525 19.24752475] ; [95.24752475 52.75247525],0
p2,1,0.005145,7.827787,[29 26] ; [110  40],[37.29268293 17.70731707] ; [101.70731707  48.29268293],0
n5,1,0.006223,7.484644,[28 28] ; [105  44],[36.33170732 19.66829268] ; [96.66829268 52.33170732],0
a1,1,0.009062,6.810612,[ 8 48] ; [  6 144],[ 3.80582524 52.19417476] ; [ 10.19417476 139.80582524],0
p9,1,0.010759,6.504662,[33 22] ; [113  32],[40.15 14.85] ; [105.85  39.15],0
r2,1,0.01521,5.891963,[35 18] ; [120  26],[41.28140704 11.71859296] ; [113.71859296  32.28140704],0
p8,1,0.020107,5.402621,[12 42] ; [59 89],[18.98019802 35.01980198] ; [52.01980198 95.98019802],0
p4,1,0.021672,5.271919,[16 39] ; [70 79],[23.18627451 31.81372549] ; [62.81372549 86.18627451],0
p3,1,0.024098,5.087548,[13 41] ; [62 88],[19.85294118 34.14705882] ; [55.14705882 94.85294118],0
b4,1,0.031432,4.629223,[25 31] ; [92 58],[31.80582524 24.19417476] ; [85.19417476 64.80582524],0
b5,1,0.049518,3.857692,[29 27] ; [100  50],[35.06796117 20.93203883] ; [93.93203883 56.06796117],0
v3,1,0.050862,3.812809,[ 9 45] ; [ 45 103],[14.43564356 39.56435644] ; [ 39.56435644 108.43564356],0
d5,1,0.095401,2.780796,[33 23] ; [106  43],[37.97073171 18.02926829] ; [101.02926829  47.97073171],0
s6,1,0.101788,2.6773,[21 35] ; [73 72],[26.18905473 29.81094527] ; [67.81094527 77.18905473],0
