Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-05,19.608015,[1 2] ; [59  2],[2.8125 0.1875] ; [57.1875  3.8125],1
r4,1,0.0001,15.137835,[1 2] ; [58  3],[2.765625 0.234375] ; [56.234375  4.765625],1
s6,1,0.013625,6.086038,[1 2] ; [52  8],[2.52380952 0.47619048] ; [50.47619048  9.52380952],0
s1,1,0.0162,5.781003,[1 2] ; [ 2 59],[0.140625 2.859375] ; [ 2.859375 58.140625],0
s7,1,0.055561,3.665184,[1 2] ; [45 11],[2.33898305 0.66101695] ; [43.66101695 12.33898305],0
a5,1,0.087793,2.91439,[1 2] ; [47 14],[2.25 0.75] ; [45.75 15.25],0
p1,1,0.144771,2.1265,[1 2] ; [ 5 56],[0.28125 2.71875] ; [ 5.71875 55.28125],0
a3,1,0.175226,1.837655,[1 2] ; [43 18],[2.0625 0.9375] ; [41.9375 19.0625],0
s3,1,0.22774,1.454924,[1 2] ; [41 20],[1.96875 1.03125] ; [40.03125 20.96875],0
s2,1,0.22774,1.454924,[1 2] ; [41 20],[1.96875 1.03125] ; [40.03125 20.96875],0
b5,1,0.255866,1.290985,[1 2] ; [40 21],[1.921875 1.078125] ; [39.078125 21.921875],0
d2,1,0.285137,1.142441,[1 2] ; [39 22],[1.875 1.125] ; [38.125 22.875],0
d3,1,0.346853,0.884936,[1 2] ; [37 24],[1.78125 1.21875] ; [36.21875 24.78125],0
p4,1,0.379192,0.77332,[2 1] ; [25 36],[1.265625 1.734375] ; [25.734375 35.265625],0
u2,1,0.389424,0.740741,[1 1] ; [14  4],[1.5 0.5] ; [13.5  4.5],0
u3,1,0.389424,0.740741,[1 1] ; [14  4],[1.5 0.5] ; [13.5  4.5],0
v2,1,0.402728,0.700167,[1 2] ; [33 24],[1.7 1.3] ; [32.3 24.7],0
a7,1,0.41246,0.671697,[1 2] ; [35 26],[1.6875 1.3125] ; [34.3125 26.6875],0
b1,1,0.41246,0.671697,[1 2] ; [35 26],[1.6875 1.3125] ; [34.3125 26.6875],0
v1,1,0.45919,0.547868,[1 2] ; [32 26],[1.62295082 1.37704918] ; [31.37704918 26.62295082],0
a4,1,0.48166,0.495103,[1 2] ; [33 28],[1.59375 1.40625] ; [32.40625 28.59375],0
d4,1,0.565846,0.329682,[2 1] ; [49 12],[2.390625 0.609375] ; [48.609375 12.390625],0
b2,1,0.610385,0.259615,[1 1] ; [17 35],[0.66666667 1.33333333] ; [17.33333333 34.66666667],0
b3,1,0.610385,0.259615,[1 1] ; [17 35],[0.66666667 1.33333333] ; [17.33333333 34.66666667],0
p8,1,0.622901,0.241811,[1 2] ; [13 48],[0.65625 2.34375] ; [13.34375 47.65625],0
n5,1,0.678543,0.171771,[2 1] ; [47 14],[2.296875 0.703125] ; [46.703125 14.296875],0
v3,1,0.725657,0.123137,[1 2] ; [24 31],[1.29310345 1.70689655] ; [23.70689655 31.29310345],0
s4,1,0.732779,0.116576,[1 2] ; [15 46],[0.75 2.25] ; [15.25 45.75],0
s5,1,0.763891,0.090226,[1 2] ; [24 33],[1.25 1.75] ; [23.75 33.25],0
p3,1,0.87864,0.023315,[1 2] ; [23 38],[1.125 1.875] ; [22.875 38.125],0
b4,1,0.87864,0.023315,[2 1] ; [38 23],[1.875 1.125] ; [38.125 22.875],0
p7,1,0.889981,0.019135,[1 2] ; [22 37],[1.11290323 1.88709677] ; [21.88709677 37.11290323],0
