Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,5.5e-05,16.269902,[6 4] ; [ 5 52],[1.64179104 8.35820896] ; [ 9.35820896 47.64179104],1
s1,1,0.003622,8.464075,[3 7] ; [ 2 54],[0.75757576 9.24242424] ; [ 4.24242424 51.75757576],0
s5,1,0.004331,8.139396,[8 2] ; [18 38],[3.93939394 6.06060606] ; [22.06060606 33.93939394],0
p12,1,0.010075,6.621637,[2 8] ; [ 1 56],[0.44776119 9.55223881] ; [ 2.55223881 54.44776119],0
p6,1,0.037888,4.31005,[7 3] ; [20 37],[4.02985075 5.97014925] ; [22.97014925 34.02985075],0
b5,1,0.064504,3.417625,[3 7] ; [35 22],[5.67164179 4.32835821] ; [32.32835821 24.67164179],0
p3,1,0.071446,3.249474,[7 3] ; [22 34],[4.39393939 5.60606061] ; [24.60606061 31.39393939],0
d5,1,0.154818,2.024122,[3 7] ; [31 26],[5.07462687 4.92537313] ; [28.92537313 28.07462687],0
p4,1,0.155952,2.013047,[8 2] ; [32 25],[5.97014925 4.02985075] ; [34.02985075 22.97014925],0
u3,1,0.199674,1.644755,[1 3] ; [12  8],[2.16666667 1.83333333] ; [10.83333333  9.16666667],0
n2,1,0.202919,1.621241,[1 1] ; [18  3],[1.65217391 0.34782609] ; [17.34782609  3.65217391],0
v1,1,0.204168,1.612303,[7 3] ; [27 29],[5.15151515 4.84848485] ; [28.84848485 27.15151515],0
r1,1,0.216067,1.530304,[9 1] ; [40 16],[7.42424242 2.57575758] ; [41.57575758 14.42424242],0
p8,1,0.263289,1.251379,[7 3] ; [29 28],[5.37313433 4.62686567] ; [30.62686567 26.37313433],0
v3,1,0.310643,1.027939,[5 5] ; [19 38],[3.58208955 6.41791045] ; [20.41791045 36.58208955],0
a6,1,0.310643,1.027939,[5 5] ; [38 19],[6.41791045 3.58208955] ; [36.58208955 20.41791045],0
b4,1,0.345077,0.89148,[6 4] ; [25 32],[4.62686567 5.37313433] ; [26.37313433 30.62686567],0
b2,1,0.388549,0.743478,[3 4] ; [11 30],[2.04166667 4.95833333] ; [11.95833333 29.04166667],0
b3,1,0.388549,0.743478,[3 4] ; [11 30],[2.04166667 4.95833333] ; [11.95833333 29.04166667],0
s6,1,0.390098,0.738636,[9 1] ; [43 12],[8. 2.] ; [44. 11.],0
p10,1,0.407247,0.686823,[8 2] ; [50  6],[8.78787879 1.21212121] ; [49.21212121  6.78787879],0
a8,1,0.462382,0.540123,[2 7] ; [ 7 47],[1.28571429 7.71428571] ; [ 7.71428571 46.28571429],0
s3,1,0.506001,0.442328,[7 2] ; [38 19],[6.13636364 2.86363636] ; [38.86363636 18.13636364],0
p11,1,0.524935,0.404186,[8 2] ; [40 17],[7.1641791 2.8358209] ; [40.8358209 16.1641791],0
p7,1,0.600956,0.273557,[6 4] ; [39 18],[6.71641791 3.28358209] ; [38.28358209 18.71641791],0
s8,1,0.604149,0.268784,[7 3] ; [35 22],[6.26865672 3.73134328] ; [35.73134328 21.26865672],0
d3,1,0.677248,0.173241,[3 7] ; [21 36],[3.58208955 6.41791045] ; [20.41791045 36.58208955],0
v2,1,0.706865,0.141429,[4 6] ; [26 30],[4.54545455 5.45454545] ; [25.45454545 30.54545455],0
p2,1,0.740245,0.109911,[8 2] ; [48  9],[8.35820896 1.64179104] ; [47.64179104  9.35820896],0
d1,1,0.740621,0.109581,[1 9] ; [ 4 53],[0.74626866 9.25373134] ; [ 4.25373134 52.74626866],0
s2,1,0.754629,0.097682,[7 3] ; [37 20],[6.56716418 3.43283582] ; [37.43283582 19.56716418],0
a3,1,0.765073,0.089297,[6 4] ; [37 20],[6.41791045 3.58208955] ; [36.58208955 20.41791045],0
a4,1,0.808448,0.058772,[3 7] ; [15 42],[2.68656716 7.31343284] ; [15.31343284 41.68656716],0
p9,1,0.851791,0.034907,[8 2] ; [47 10],[8.20895522 1.79104478] ; [46.79104478 10.20895522],0
b1,1,0.900919,0.0155,[4 6] ; [24 33],[4.17910448 5.82089552] ; [23.82089552 33.17910448],0
a5,1,0.920917,0.009856,[7 3] ; [39 18],[6.86567164 3.13432836] ; [39.13432836 17.86567164],0
d2,1,0.920917,0.009856,[3 7] ; [18 39],[3.13432836 6.86567164] ; [17.86567164 39.13432836],0
a2,1,0.959973,0.002519,[1 9] ; [ 6 51],[1.04477612 8.95522388] ; [ 5.95522388 51.04477612],0
r3,1,0.959973,0.002519,[9 1] ; [51  6],[8.95522388 1.04477612] ; [51.04477612  5.95522388],0
a7,1,0.983353,0.000435,[6 4] ; [34 23],[5.97014925 4.02985075] ; [34.02985075 22.97014925],0
n1,1,1.0,0.0,[1 1] ; [10 10],[1. 1.] ; [10. 10.],0
u2,1,1.0,0.0,[2 2] ; [10 10],[2. 2.] ; [10. 10.],0
