Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,87.495205,[378   8] ; [18 12],[367.44230769  18.55769231] ; [28.55769231  1.44230769],1
r1,1,0.0,70.314731,[345  42] ; [12 22],[328.16864608  58.83135392] ; [28.83135392  5.16864608],1
v4,1,0.0,30.748495,[378  10] ; [23  7],[372.22009569  15.77990431] ; [28.77990431  1.22009569],1
r3,1,0.0,26.063125,[382   5] ; [27  5],[377.76372315   9.23627685] ; [31.23627685  0.76372315],1
p10,1,2.6e-05,17.681117,[337  48] ; [20 13],[328.81578947  56.18421053] ; [28.18421053  4.81578947],1
n6,1,0.001523,10.05085,[342  43] ; [23 10],[336.18421053  48.81578947] ; [28.81578947  4.18421053],0
a5,1,0.001575,9.989065,[311  77] ; [20 15],[303.61229314  84.38770686] ; [27.38770686  7.61229314],0
b1,1,0.002601,9.068305,[124 264] ; [20 15],[132.08510638 255.91489362] ; [11.91489362 23.08510638],0
p8,1,0.002908,8.864346,[233 146] ; [12 22],[224.83050847 154.16949153] ; [20.16949153 13.83050847],0
p3,1,0.006202,7.490779,[226 162] ; [12 23],[218.30732861 169.69267139] ; [19.69267139 15.30732861],0
p9,1,0.010164,6.605908,[347  36] ; [26  8],[342.58752998  40.41247002] ; [30.41247002  3.58752998],0
v3,1,0.011808,6.33952,[223 154] ; [13 22],[215.95145631 161.04854369] ; [20.04854369 14.95145631],0
p4,1,0.017696,5.625974,[263 122] ; [17 18],[256.66666667 128.33333333] ; [23.33333333 11.66666667],0
a6,1,0.022024,5.243918,[281 106] ; [19 16],[275.11848341 111.88151659] ; [24.88151659 10.11848341],0
a3,1,0.037644,4.321021,[303  84] ; [22 13],[298.0450237  88.9549763] ; [26.9549763  8.0450237],0
a7,1,0.038487,4.283372,[300  87] ; [21 13],[295.0760095  91.9239905] ; [25.9239905  8.0760095],0
d2,1,0.041753,4.145196,[207 180] ; [12 22],[201.31353919 185.68646081] ; [17.68646081 16.31353919],0
p7,1,0.049278,3.865859,[276 103] ; [20 15],[270.97584541 108.02415459] ; [25.02415459  9.97584541],0
d1,1,0.07853,3.095069,[257 131] ; [18 17],[252.24586288 135.75413712] ; [22.75413712 12.24586288],0
d4,1,0.083946,2.986803,[338  50] ; [26  8],[334.67298578  53.32701422] ; [29.32701422  4.67298578],0
n5,1,0.10371,2.647545,[303  81] ; [22 11],[299.28057554  84.71942446] ; [25.71942446  7.28057554],0
d3,1,0.116775,2.460055,[291  97] ; [22 13],[287.10165485 100.89834515] ; [25.89834515  9.10165485],0
n4,1,0.143569,2.139283,[315  71] ; [25 10],[311.73396675  74.26603325] ; [28.26603325  6.73396675],0
u1,1,0.145211,2.121846,[ 85 303] ; [ 4 31],[ 81.63593381 306.36406619] ; [ 7.36406619 27.63593381],0
a8,1,0.155107,2.021297,[ 55 288] ; [ 2 29],[ 52.27540107 290.72459893] ; [ 4.72459893 26.27540107],0
a2,1,0.181485,1.785419,[107 281] ; [ 6 29],[103.6501182 284.3498818] ; [ 9.3498818 25.6501182],0
u3,1,0.195243,1.677603,[49 36] ; [5 8],[46.83673469 38.16326531] ; [7.16326531 5.83673469],0
d5,1,0.280554,1.164403,[336  52] ; [28  7],[333.88179669  54.11820331] ; [30.11820331  4.88179669],0
v1,1,0.32333,0.975429,[262 118] ; [20 13],[259.46731235 120.53268765] ; [22.53268765 10.46731235],0
n1,1,0.338094,0.917647,[24 41] ; [ 3 10],[22.5 42.5] ; [4.5 8.5],0
s8,1,0.360672,0.835552,[190 195] ; [14 20],[187.44630072 197.55369928] ; [16.55369928 17.44630072],0
b5,1,0.457007,0.553215,[230 158] ; [23 12],[232.06619385 155.93380615] ; [20.93380615 14.06619385],0
b3,1,0.465673,0.532224,[ 95 144] ; [ 7 15],[ 93.40229885 145.59770115] ; [ 8.59770115 13.40229885],0
b2,1,0.465673,0.532224,[ 95 144] ; [ 7 15],[ 93.40229885 145.59770115] ; [ 8.59770115 13.40229885],0
p11,1,0.481467,0.495538,[328  60] ; [28  7],[326.54373522  61.45626478] ; [29.45626478  5.54373522],0
s7,1,0.494348,0.467049,[204 168] ; [14 15],[202.23441397 169.76558603] ; [15.76558603 13.23441397],0
s5,1,0.510074,0.433916,[138 234] ; [10 22],[136.27722772 235.72277228] ; [11.72277228 20.27722772],0
p1,1,0.533353,0.387999,[ 34 353] ; [ 2 33],[ 33.01421801 353.98578199] ; [ 2.98578199 32.01421801],0
s3,1,0.623341,0.241199,[214 167] ; [16 15],[212.69417476 168.30582524] ; [17.30582524 13.69417476],0
s1,1,0.674157,0.176778,[  7 374] ; [ 1 34],[  7.32692308 373.67307692] ; [ 0.67307692 34.32692308],0
a4,1,0.699451,0.149043,[179 208] ; [15 20],[177.90995261 209.09004739] ; [16.09004739 18.90995261],0
