Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.6e-05,18.631362,[22 25] ; [53  9],[32.33944954 14.66055046] ; [42.66055046 19.33944954],1
s5,1,0.000187,13.961544,[ 5 42] ; [27 35],[13.79816514 33.20183486] ; [18.20183486 43.79816514],1
s7,1,0.000276,13.223291,[12 32] ; [38 22],[21.15384615 22.84615385] ; [28.84615385 31.15384615],1
s2,1,0.000373,12.664815,[13 34] ; [39 24],[22.21818182 24.78181818] ; [29.78181818 33.21818182],1
n5,1,0.000783,11.281582,[22 25] ; [49 14],[30.33636364 16.66363636] ; [40.66363636 22.33636364],1
p9,1,0.000893,11.037318,[26 21] ; [53 10],[33.75454545 13.24545455] ; [45.24545455 17.75454545],1
s8,1,0.000942,10.937808,[10 37] ; [33 30],[18.37272727 28.62727273] ; [24.62727273 38.37272727],1
s3,1,0.001832,9.710984,[20 26] ; [46 17],[27.85321101 18.14678899] ; [38.14678899 24.85321101],0
p5,1,0.010348,6.573913,[ 2 43] ; [14 49],[ 6.66666667 38.33333333] ; [ 9.33333333 53.66666667],0
p8,1,0.012396,6.2534,[22 24] ; [45 18],[28.27522936 17.72477064] ; [38.72477064 24.27522936],0
a4,1,0.015989,5.804037,[15 32] ; [ 8 54],[ 9.91743119 37.08256881] ; [13.08256881 48.91743119],0
d4,1,0.018719,5.527615,[18 28] ; [39 24],[24.05504587 21.94495413] ; [32.94495413 30.05504587],0
d3,1,0.047701,3.920482,[15 32] ; [32 31],[20.08181818 26.91818182] ; [26.91818182 36.08181818],0
n4,1,0.061345,3.500636,[23 24] ; [42 21],[27.77272727 19.22727273] ; [37.22727273 25.77272727],0
a7,1,0.074015,3.191649,[25 22] ; [44 19],[29.48181818 17.51818182] ; [39.51818182 23.48181818],0
u2,1,0.08663,2.935912,[ 8 12] ; [17  9],[10.86956522  9.13043478] ; [14.13043478 11.86956522],0
