Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.175389,[ 4 18] ; [61 17],[14.3  7.7] ; [50.7 27.3],1
a3,1,0.005575,7.682868,[ 7 15] ; [50 27],[12.66666667  9.33333333] ; [44.33333333 32.66666667],0
a4,1,0.006925,7.292316,[ 2 20] ; [31 47],[ 7.26 14.74] ; [25.74 52.26],0
d3,1,0.010397,6.565657,[ 8 14] ; [52 26],[13.2  8.8] ; [46.8 31.2],0
a7,1,0.014514,5.974555,[ 8 14] ; [51 27],[12.98  9.02] ; [46.02 31.98],0
d2,1,0.018018,5.594406,[ 4 18] ; [36 42],[ 8.8 13.2] ; [31.2 46.8],0
a5,1,0.018095,5.586898,[ 7 15] ; [47 31],[11.88 10.12] ; [42.12 35.88],0
s7,1,0.02476,5.040613,[ 1 20] ; [20 51],[ 4.79347826 16.20652174] ; [16.20652174 54.79347826],0
p7,1,0.03849,4.283217,[13  9] ; [27 51],[ 8.8 13.2] ; [31.2 46.8],0
s5,1,0.09769,2.742857,[ 1 20] ; [15 60],[ 3.5 17.5] ; [12.5 62.5],0
v1,1,0.098718,2.726141,[ 5 17] ; [32 44],[ 8.30612245 13.69387755] ; [28.69387755 47.30612245],0
s6,1,0.107374,2.592446,[ 5 17] ; [32 45],[ 8.22222222 13.77777778] ; [28.77777778 48.22222222],0
p4,1,0.131648,2.272959,[11 11] ; [25 52],[ 8. 14.] ; [28. 49.],0
a6,1,0.132521,2.26272,[ 9 13] ; [46 32],[12.1  9.9] ; [42.9 35.1],0
v4,1,0.147501,2.097902,[20  2] ; [60 18],[17.6  4.4] ; [62.4 15.6],0
b1,1,0.147501,2.097902,[14  8] ; [36 42],[11. 11.] ; [39. 39.],0
n3,1,0.160086,1.973415,[8 1] ; [18 10],[6.32432432 2.67567568] ; [19.67567568  8.32432432],0
v3,1,0.170296,1.880338,[ 3 18] ; [21 51],[ 5.41935484 15.58064516] ; [18.58064516 53.41935484],0
b4,1,0.177038,1.822316,[10 12] ; [48 30],[12.76  9.24] ; [45.24 32.76],0
p6,1,0.315814,1.006205,[ 6 16] ; [13 61],[ 4.35416667 17.64583333] ; [14.64583333 59.35416667],0
n4,1,0.321461,0.982991,[ 7 15] ; [34 44],[ 9.02 12.98] ; [31.98 46.02],0
a8,1,0.33515,0.928897,[ 3 19] ; [ 5 66],[ 1.89247312 20.10752688] ; [ 6.10752688 64.89247312],0
s3,1,0.335348,0.928135,[10 12] ; [26 50],[ 8.08163265 13.91836735] ; [27.91836735 48.08163265],0
u2,1,0.352567,0.864198,[ 5 10] ; [13 14],[6.42857143 8.57142857] ; [11.57142857 15.42857143],0
v2,1,0.359608,0.839262,[ 8 13] ; [38 39],[ 9.85714286 11.14285714] ; [36.14285714 40.85714286],0
p2,1,0.375096,0.786713,[15  7] ; [45 33],[13.2  8.8] ; [46.8 31.2],0
s1,1,0.489433,0.477773,[ 2 20] ; [ 4 74],[ 1.32 20.68] ; [ 4.68 73.32],0
p1,1,0.499395,0.456221,[ 2 20] ; [ 4 73],[ 1.33333333 20.66666667] ; [ 4.66666667 72.33333333],0
r1,1,0.510569,0.4329,[13  9] ; [52 26],[14.3  7.7] ; [50.7 27.3],0
s4,1,0.537025,0.381081,[ 2 20] ; [11 67],[ 2.86 19.14] ; [10.14 67.86],0
n6,1,0.555768,0.347085,[10 12] ; [41 37],[11.22 10.78] ; [39.78 38.22],0
s2,1,0.564363,0.332206,[ 7 15] ; [20 58],[ 5.94 16.06] ; [21.06 56.94],0
n1,1,0.597237,0.279184,[2 8] ; [ 8 20],[2.63157895 7.36842105] ; [ 7.36842105 20.63157895],0
n2,1,0.690487,0.158559,[7 3] ; [17 10],[6.48648649 3.51351351] ; [17.51351351  9.48648649],0
b5,1,0.693427,0.1554,[14  8] ; [46 32],[13.2  8.8] ; [46.8 31.2],0
p9,1,0.699546,0.148945,[ 6 16] ; [24 52],[ 6.73469388 15.26530612] ; [23.26530612 52.73469388],0
r3,1,0.745907,0.105002,[20  2] ; [69  9],[19.58  2.42] ; [69.42  8.58],0
p8,1,0.767914,0.087087,[ 7 15] ; [22 55],[ 6.44444444 15.55555556] ; [22.55555556 54.44444444],0
s8,1,0.770373,0.085198,[ 4 18] ; [12 65],[ 3.55555556 18.44444444] ; [12.44444444 64.55555556],0
b2,1,0.821919,0.05066,[3 9] ; [13 33],[3.31034483 8.68965517] ; [12.68965517 33.31034483],0
b3,1,0.821919,0.05066,[3 9] ; [13 33],[3.31034483 8.68965517] ; [12.68965517 33.31034483],0
u3,1,0.83491,0.043434,[7 8] ; [14 14],[7.3255814 7.6744186] ; [13.6744186 14.3255814],0
r4,1,0.839791,0.040869,[16  6] ; [55 23],[15.62  6.38] ; [55.38 22.62],0
p3,1,0.86427,0.029221,[ 7 15] ; [26 51],[ 7.33333333 14.66666667] ; [25.66666667 51.33333333],0
a1,1,0.882478,0.021853,[ 1 21] ; [ 3 75],[ 0.88 21.12] ; [ 3.12 74.88],0
r2,1,0.906515,0.013791,[18  4] ; [63 13],[18.18367347  3.81632653] ; [62.81632653 13.18367347],0
p11,1,0.915393,0.011287,[11 11] ; [38 40],[10.78 11.22] ; [38.22 39.78],0
