Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.853234,[53  2] ; [27 22],[42.30769231 12.69230769] ; [37.69230769 11.30769231],1
p10,1,1e-06,24.661509,[40 15] ; [11 36],[27.5 27.5] ; [23.5 23.5],1
r4,1,5e-06,20.870875,[49  6] ; [24 26],[38.23809524 16.76190476] ; [34.76190476 15.23809524],1
p9,1,4.4e-05,16.705571,[38 17] ; [13 33],[27.77227723 27.22772277] ; [23.22772277 22.77227723],1
v4,1,0.000335,12.863327,[50  5] ; [30 19],[42.30769231 12.69230769] ; [37.69230769 11.30769231],1
n6,1,0.000957,10.908655,[43 12] ; [23 26],[34.90384615 20.09615385] ; [31.09615385 17.90384615],1
s8,1,0.013334,6.12423,[18 37] ; [ 6 43],[12.69230769 42.30769231] ; [11.30769231 37.69230769],0
p3,1,0.035561,4.418021,[20 35] ; [ 9 41],[15.19047619 39.80952381] ; [13.80952381 36.19047619],0
d5,1,0.046293,3.970909,[16 39] ; [24 26],[20.95238095 34.04761905] ; [19.04761905 30.95238095],0
a1,1,0.058146,3.589489,[ 2 53] ; [ 7 43],[ 4.71428571 50.28571429] ; [ 4.28571429 45.71428571],0
b4,1,0.065313,3.397059,[33 22] ; [21 29],[28.28571429 26.71428571] ; [25.71428571 24.28571429],0
v2,1,0.067327,3.347022,[24 27] ; [14 34],[19.57575758 31.42424242] ; [18.42424242 29.57575758],0
p12,1,0.067577,3.340909,[ 6 49] ; [ 1 49],[ 3.66666667 51.33333333] ; [ 3.33333333 46.66666667],0
v1,1,0.081856,3.027666,[24 30] ; [14 36],[19.73076923 34.26923077] ; [18.26923077 31.73076923],0
s6,1,0.08857,2.90017,[30 24] ; [19 30],[25.68932039 28.31067961] ; [23.31067961 25.68932039],0
u2,1,0.100445,2.698465,[18 13] ; [ 9 16],[14.94642857 16.05357143] ; [12.05357143 12.94642857],0
b2,1,0.107967,2.583732,[ 8 22] ; [14 16],[11. 19.] ; [11. 19.],0
b3,1,0.107967,2.583732,[ 8 22] ; [14 16],[11. 19.] ; [11. 19.],0
