Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000603,11.766412,[12 13] ; [10 60],[ 5.78947368 19.21052632] ; [16.21052632 53.78947368],1
p8,1,0.001019,10.793202,[10 14] ; [ 8 63],[ 4.54736842 19.45263158] ; [13.45263158 57.54736842],0
p4,1,0.001549,10.019502,[10 15] ; [ 8 63],[ 4.6875 20.3125] ; [13.3125 57.6875],0
s2,1,0.014021,6.03546,[ 7 18] ; [ 6 65],[ 3.38541667 21.61458333] ; [ 9.61458333 61.38541667],0
r4,1,0.020453,5.372802,[18  7] ; [32 39],[13.02083333 11.97916667] ; [36.97916667 34.02083333],0
p11,1,0.024719,5.043481,[16  9] ; [27 44],[11.19791667 13.80208333] ; [31.80208333 39.19791667],0
r3,1,0.042795,4.103471,[21  4] ; [44 27],[16.92708333  8.07291667] ; [48.07291667 22.92708333],0
s3,1,0.048212,3.902582,[10 15] ; [14 56],[ 6.31578947 18.68421053] ; [17.68421053 52.31578947],0
b4,1,0.061234,3.503641,[ 9 16] ; [41 30],[13.02083333 11.97916667] ; [36.97916667 34.02083333],0
a2,1,0.06268,3.465014,[ 1 24] ; [14 57],[ 3.90625 21.09375] ; [11.09375 59.90625],0
d3,1,0.063968,3.431403,[ 8 17] ; [38 33],[11.97916667 13.02083333] ; [34.02083333 36.97916667],0
p10,1,0.094936,2.788623,[15 10] ; [28 41],[11.43617021 13.56382979] ; [31.56382979 37.43617021],0
b3,1,0.17482,1.841121,[ 5 13] ; [20 23],[ 7.37704918 10.62295082] ; [17.62295082 25.37704918],0
b2,1,0.17482,1.841121,[ 5 13] ; [20 23],[ 7.37704918 10.62295082] ; [17.62295082 25.37704918],0
a1,1,0.221988,1.491475,[ 1 24] ; [ 9 62],[ 2.60416667 22.39583333] ; [ 7.39583333 63.60416667],0
v2,1,0.229908,1.441429,[10 14] ; [19 48],[ 7.64835165 16.35164835] ; [21.35164835 45.64835165],0
p9,1,0.246216,1.344646,[14 11] ; [28 38],[11.53846154 13.46153846] ; [30.46153846 35.53846154],0
v4,1,0.249684,1.32507,[19  6] ; [45 26],[16.66666667  8.33333333] ; [47.33333333 23.66666667],0
n2,1,0.269879,1.21736,[7 2] ; [22 16],[5.55319149 3.44680851] ; [23.44680851 14.55319149],0
a8,1,0.274521,1.194018,[ 3 21] ; [ 4 66],[ 1.78723404 22.21276596] ; [ 5.21276596 64.78723404],0
p6,1,0.27895,1.1722,[ 2 23] ; [ 2 67],[ 1.06382979 23.93617021] ; [ 2.93617021 66.06382979],0
s1,1,0.287939,1.129234,[ 4 21] ; [ 6 65],[ 2.60416667 22.39583333] ; [ 7.39583333 63.60416667],0
