Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,44.275502,[81 26] ; [ 1 24],[66.46969697 40.53030303] ; [15.53030303  9.46969697],1
d5,1,0.0,29.65134,[97 10] ; [11 14],[87.54545455 19.45454545] ; [20.45454545  4.54545455],1
d3,1,0.0,25.791402,[88 19] ; [ 8 17],[77.81818182 29.18181818] ; [18.18181818  6.81818182],1
a5,1,0.001282,10.368862,[82 25] ; [11 14],[75.38636364 31.61363636] ; [17.61363636  7.38636364],0
p6,1,0.002349,9.254642,[52 53] ; [ 4 21],[45.23076923 59.76923077] ; [10.76923077 14.23076923],0
d2,1,0.002956,8.834529,[61 46] ; [ 6 19],[54.31060606 52.68939394] ; [12.68939394 12.31060606],0
p4,1,0.008542,6.916237,[73 34] ; [10 15],[67.28030303 39.71969697] ; [15.71969697  9.28030303],0
a4,1,0.016718,5.725757,[54 53] ; [ 6 19],[48.63636364 58.36363636] ; [11.36363636 13.63636364],0
a3,1,0.01845,5.552866,[81 26] ; [13 12],[76.1969697 30.8030303] ; [17.8030303  7.1969697],0
v2,1,0.024708,5.044213,[54 50] ; [ 6 17],[49.13385827 54.86614173] ; [10.86614173 12.13385827],0
r4,1,0.027024,4.889283,[98  9] ; [19  6],[94.84090909 12.15909091] ; [22.15909091  2.84090909],0
v4,1,0.046871,3.950013,[104   3] ; [22  3],[102.13636364   4.86363636] ; [23.86363636  1.13636364],0
a2,1,0.060967,3.510886,[27 80] ; [ 2 23],[23.50757576 83.49242424] ; [ 5.49242424 19.50757576],0
u1,1,0.102401,2.667753,[24 83] ; [ 2 23],[21.07575758 85.92424242] ; [ 4.92424242 20.07575758],0
r3,1,0.102978,2.658813,[101   4] ; [22  3],[99.34615385  5.65384615] ; [23.65384615  1.34615385],0
v1,1,0.145219,2.121762,[51 55] ; [ 8 17],[47.74045802 58.25954198] ; [11.25954198 13.74045802],0
a7,1,0.146373,2.10965,[76 31] ; [14 11],[72.95454545 34.04545455] ; [17.04545455  7.95454545],0
p3,1,0.147077,2.102313,[60 47] ; [10 15],[56.74242424 50.25757576] ; [13.25757576 11.74242424],0
p10,1,0.164277,1.934412,[89 17] ; [18  7],[86.58015267 19.41984733] ; [20.41984733  4.58015267],0
r2,1,0.166857,1.910956,[102   5] ; [22  3],[100.51515152   6.48484848] ; [23.48484848  1.51515152],0
p8,1,0.168339,1.897677,[57 46] ; [10 15],[53.9140625 49.0859375] ; [13.0859375 11.9140625],0
p2,1,0.178512,1.809968,[86 21] ; [17  8],[83.49242424 23.50757576] ; [19.50757576  5.49242424],0
