Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.020921,5.333333,[1 5] ; [5 1],[3. 3.] ; [3. 3.],0
d5,1,0.078983,3.085714,[5 1] ; [2 4],[3.5 2.5] ; [3.5 2.5],0
a6,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
n5,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
s2,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
s3,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
p7,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
p3,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
b1,1,0.248213,1.333333,[4 2] ; [2 4],[3. 3.] ; [3. 3.],0
b3,1,0.293718,1.1025,[3 2] ; [1 3],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
b2,1,0.293718,1.1025,[3 2] ; [1 3],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
v2,1,0.386916,0.748611,[5 1] ; [3 2],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
d4,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
r2,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
d2,1,0.504985,0.444444,[2 4] ; [1 5],[1.5 4.5] ; [1.5 4.5],0
s7,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
s8,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
p6,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
s5,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
p12,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
d3,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
d1,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
a3,1,0.558185,0.342857,[4 2] ; [3 3],[3.5 2.5] ; [3.5 2.5],0
b4,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
v3,1,0.740144,0.11,[3 3] ; [2 3],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
n6,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
u1,1,1.0,0.0,[1 5] ; [1 5],[1. 5.] ; [1. 5.],0
a7,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
p4,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
b5,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
p8,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
r1,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
