Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,134.6836,[326 129] ; [ 56 170],[255.22760646 199.77239354] ; [126.77239354  99.22760646],1
s2,1,0.0,124.410252,[302 158] ; [ 46 180],[233.35276968 226.64723032] ; [114.64723032 111.35276968],1
s7,1,0.0,83.097428,[276 174] ; [ 51 165],[220.94594595 229.05405405] ; [106.05405405 109.94594595],1
s8,1,0.0,74.865827,[264 197] ; [ 51 177],[210.76197388 250.23802612] ; [104.23802612 123.76197388],1
s5,1,0.0,57.164717,[194 256] ; [ 31 192],[150.44576523 299.55423477] ; [ 74.55423477 148.44576523],1
s4,1,0.0,25.614409,[ 94 362] ; [ 13 215],[ 71.33333333 384.66666667] ; [ 35.66666667 192.33333333],1
p9,1,1.7e-05,18.495505,[422  37] ; [184  44],[404.88209607  54.11790393] ; [201.11790393  26.88209607],1
p10,1,0.000176,14.067201,[412  47] ; [180  47],[396.10495627  62.89504373] ; [195.89504373  31.10495627],1
p4,1,0.000212,13.72005,[308 153] ; [118 108],[285.86026201 175.13973799] ; [140.13973799  85.86026201],1
n5,1,0.000261,13.329866,[377  86] ; [156  70],[358.16981132 104.83018868] ; [174.83018868  51.16981132],1
p12,1,0.000281,13.195343,[ 56 405] ; [  8 217],[ 43.00874636 417.99125364] ; [ 20.99125364 204.00874636],1
p6,1,0.000303,13.054801,[193 262] ; [ 63 161],[171.54639175 283.45360825] ; [ 84.45360825 139.54639175],1
u1,1,0.001376,10.237559,[ 94 370] ; [ 24 204],[ 79.12138728 384.87861272] ; [ 38.87861272 189.12138728],0
p5,1,0.003266,8.652326,[ 66 394] ; [ 15 211],[ 54.3148688 405.6851312] ; [ 26.6851312 199.3148688],0
a2,1,0.003716,8.41764,[121 343] ; [ 37 191],[105.94219653 358.05780347] ; [ 52.05780347 175.94219653],0
p3,1,0.013105,6.154838,[255 207] ; [102 124],[239.72965116 222.27034884] ; [117.27034884 108.72965116],0
a5,1,0.014557,5.96933,[355 108] ; [155  73],[341.72214182 121.27785818] ; [168.27785818  59.72214182],0
n6,1,0.019026,5.499119,[409  53] ; [187  41],[399.06086957  62.93913043] ; [196.93913043  31.06086957],0
