Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,64.737969,[18 38] ; [115  13],[40.47826087 15.52173913] ; [92.52173913 35.47826087],1
p11,1,0.000103,15.080938,[30 26] ; [104  24],[40.7826087 15.2173913] ; [93.2173913 34.7826087],1
n6,1,0.000124,14.723775,[35 21] ; [110  16],[44.61538462 11.38461538] ; [100.38461538  25.61538462],1
p10,1,0.00395,8.306445,[35 19] ; [106  20],[42.3 11.7] ; [98.7 27.3],0
p2,1,0.005042,7.864262,[36 18] ; [108  19],[42.96132597 11.03867403] ; [101.03867403  25.96132597],0
r1,1,0.007124,7.241382,[35 20] ; [105  23],[42.07650273 12.92349727] ; [97.92349727 30.07650273],0
p9,1,0.009566,6.713951,[37 17] ; [105  18],[43.3220339 10.6779661] ; [98.6779661 24.3220339],0
a4,1,0.013997,6.038581,[16 40] ; [61 66],[23.56284153 32.43715847] ; [53.43715847 73.56284153],0
a8,1,0.019036,5.498225,[ 2 48] ; [21 99],[ 6.76470588 43.23529412] ; [ 16.23529412 103.76470588],0
r4,1,0.019296,5.474458,[43 13] ; [115  13],[48.08695652  7.91304348] ; [109.91304348  18.08695652],0
a3,1,0.023256,5.149295,[30 26] ; [90 37],[36.72131148 19.27868852] ; [83.27868852 43.72131148],0
s7,1,0.028011,4.827398,[17 36] ; [62 62],[23.65536723 29.34463277] ; [55.34463277 68.65536723],0
p6,1,0.034674,4.461169,[12 43] ; [47 77],[18.12849162 36.87150838] ; [40.87150838 83.12849162],0
a2,1,0.03493,4.448576,[ 7 49] ; [34 94],[12.47826087 43.52173913] ; [28.52173913 99.47826087],0
p4,1,0.072884,3.216849,[25 30] ; [76 51],[30.52197802 24.47802198] ; [70.47802198 56.52197802],0
d2,1,0.104657,2.633102,[19 37] ; [59 67],[24. 32.] ; [54. 72.],0
s4,1,0.108569,2.574932,[19 37] ; [28 96],[14.62222222 41.37777778] ; [32.37777778 91.62222222],0
p8,1,0.11301,2.511623,[19 35] ; [60 65],[23.83240223 30.16759777] ; [55.16759777 69.83240223],0
p7,1,0.114839,2.486328,[28 26] ; [78 43],[32.70857143 21.29142857] ; [73.29142857 47.70857143],0
s3,1,0.120326,2.413071,[42 14] ; [105  19],[45.73333333 10.26666667] ; [101.26666667  22.73333333],0
b4,1,0.121235,2.401289,[30 26] ; [84 44],[34.69565217 21.30434783] ; [79.30434783 48.69565217],0
d1,1,0.184382,1.761947,[26 30] ; [73 55],[30.13043478 25.86956522] ; [68.86956522 59.13043478],0
v1,1,0.187618,1.736223,[21 34] ; [61 64],[25.05555556 29.94444444] ; [56.94444444 68.05555556],0
v3,1,0.192408,1.699082,[15 39] ; [47 77],[18.80898876 35.19101124] ; [43.19101124 80.80898876],0
b2,1,0.193119,1.693658,[ 4 19] ; [22 48],[ 6.43010753 16.56989247] ; [19.56989247 50.43010753],0
b3,1,0.193119,1.693658,[ 4 19] ; [22 48],[ 6.43010753 16.56989247] ; [19.56989247 50.43010753],0
u3,1,0.197323,1.662081,[16  8] ; [19 19],[13.5483871 10.4516129] ; [21.4516129 16.5483871],0
r2,1,0.201356,1.632511,[50  6] ; [121   7],[52.04347826  3.95652174] ; [118.95652174   9.04347826],0
a7,1,0.206062,1.598881,[40 15] ; [103  24],[43.21428571 11.78571429] ; [99.78571429 27.21428571],0
p3,1,0.213718,1.54606,[19 36] ; [56 70],[22.79005525 32.20994475] ; [52.20994475 73.79005525],0
u1,1,0.246935,1.340563,[ 7 49] ; [ 25 103],[ 9.73913043 46.26086957] ; [ 22.26086957 105.73913043],0
s6,1,0.264162,1.246816,[40 16] ; [98 26],[42.93333333 13.06666667] ; [95.06666667 28.93333333],0
v2,1,0.271483,1.20924,[23 30] ; [65 59],[26.35028249 26.64971751] ; [61.64971751 62.35028249],0
v4,1,0.276953,1.181983,[49  6] ; [120   8],[50.79234973  4.20765027] ; [118.20765027   9.79234973],0
b5,1,0.350439,0.871867,[30 26] ; [78 50],[32.86956522 23.13043478] ; [75.13043478 52.86956522],0
b1,1,0.39057,0.737166,[19 37] ; [52 76],[21.60869565 34.39130435] ; [49.39130435 78.60869565],0
n3,1,0.462941,0.538776,[12  4] ; [18 10],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
s1,1,0.552289,0.353232,[ 5 51] ; [  8 116],[ 4.04444444 51.95555556] ; [  8.95555556 115.04444444],0
p12,1,0.560566,0.338726,[ 3 52] ; [ 10 117],[ 3.92857143 51.07142857] ; [  9.07142857 117.92857143],0
a5,1,0.65004,0.205849,[36 20] ; [86 41],[37.33333333 18.66666667] ; [84.66666667 42.33333333],0
n2,1,0.735466,0.114152,[13  3] ; [23  4],[13.39534884  2.60465116] ; [22.60465116  4.39534884],0
d3,1,0.774788,0.081863,[40 15] ; [89 37],[39.19889503 15.80110497] ; [89.80110497 36.19889503],0
p5,1,0.779487,0.078393,[ 4 50] ; [ 11 116],[ 4.47513812 49.52486188] ; [ 10.52486188 116.47513812],0
a1,1,0.821433,0.050941,[ 4 52] ; [  8 120],[ 3.65217391 52.34782609] ; [  8.34782609 119.65217391],0
s5,1,0.852758,0.034447,[22 30] ; [51 74],[21.44632768 30.55367232] ; [51.55367232 73.44632768],0
d4,1,0.864063,0.029311,[47  9] ; [107  19],[47.38461538  8.61538462] ; [106.61538462  19.38461538],0
a6,1,0.939108,0.005836,[35 21] ; [78 48],[34.76923077 21.23076923] ; [78.23076923 47.76923077],0
n1,1,0.946372,0.004524,[ 4 12] ; [ 7 20],[ 4.09302326 11.90697674] ; [ 6.90697674 20.09302326],0
u2,1,0.954081,0.003316,[14 11] ; [21 17],[13.88888889 11.11111111] ; [21.11111111 16.88888889],0
r3,1,0.956764,0.002939,[53  3] ; [119   7],[52.92307692  3.07692308] ; [119.07692308   6.92307692],0
d5,1,0.970697,0.001349,[41 14] ; [95 32],[41.0989011 13.9010989] ; [94.9010989 32.0989011],0
