Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,71.997572,[293  86] ; [60 94],[251.00750469 127.99249531] ; [101.99249531  52.00750469],1
d3,1,0.0,50.627813,[282  96] ; [65 89],[246.55263158 131.44736842] ; [100.44736842  53.55263158],1
d5,1,1.9e-05,18.324074,[315  64] ; [102  52],[296.51594747  82.48405253] ; [120.48405253  33.51594747],1
u1,1,2.5e-05,17.739932,[ 75 304] ; [  8 146],[ 59.01876173 319.98123827] ; [ 23.98123827 130.01876173],1
a2,1,0.000482,12.183622,[ 93 286] ; [ 17 137],[ 78.21763602 300.78236398] ; [ 31.78236398 122.21763602],1
p2,1,0.001186,10.511556,[322  57] ; [110  41],[308.92075472  70.07924528] ; [123.07924528  27.92075472],0
r1,1,0.002166,9.403235,[300  75] ; [104  50],[286.38941399  88.61058601] ; [117.61058601  36.38941399],0
r4,1,0.002644,9.038018,[345  34] ; [126  28],[334.91369606  44.08630394] ; [136.08630394  17.91369606],0
d4,1,0.002677,9.015157,[314  65] ; [109  44],[301.34774436  77.65225564] ; [121.65225564  31.34774436],0
b1,1,0.003507,8.522945,[133 246] ; [75 79],[147.90243902 231.09756098] ; [60.09756098 93.90243902],0
a5,1,0.005876,7.587857,[275 104] ; [93 61],[261.67354597 117.32645403] ; [106.32645403  47.67354597],0
b5,1,0.012135,6.291055,[246 133] ; [82 72],[233.23076923 145.76923077] ; [94.76923077 59.23076923],0
p10,1,0.018168,5.579843,[297  78] ; [105  46],[286.59695817  88.40304183] ; [115.40304183  35.59695817],0
d1,1,0.022762,5.186545,[211 168] ; [69 85],[199.09943715 179.90056285] ; [80.90056285 73.09943715],0
s5,1,0.049404,3.861586,[104 263] ; [54 91],[113.25390625 253.74609375] ; [ 44.74609375 100.25390625],0
p4,1,0.05992,3.539591,[218 160] ; [74 78],[208.25660377 169.74339623] ; [83.74339623 68.25660377],0
r2,1,0.089643,2.880768,[349  23] ; [137  16],[344.36571429  27.63428571] ; [141.63428571  11.36571429],0
