Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.734851,[ 89 135] ; [93 27],[118.51162791 105.48837209] ; [63.48837209 56.51162791],1
s8,1,5.3e-05,16.322917,[ 65 173] ; [59 62],[ 82.20612813 155.79387187] ; [41.79387187 79.20612813],1
s7,1,0.000304,13.047581,[ 73 160] ; [59 56],[ 88.37931034 144.62068966] ; [43.62068966 71.37931034],1
v1,1,0.002701,8.998908,[ 87 143] ; [65 54],[100.17191977 129.82808023] ; [51.82808023 67.17191977],0
n4,1,0.004079,8.248086,[147  91] ; [93 28],[159.1086351  78.8913649] ; [80.8913649 40.1086351],0
a1,1,0.005619,7.668627,[  4 235] ; [  9 112],[  8.63055556 230.36944444] ; [  4.36944444 116.63055556],0
p3,1,0.005853,7.594941,[ 44 194] ; [38 83],[ 54.36211699 183.63788301] ; [27.63788301 93.36211699],0
s6,1,0.017977,5.598383,[121 114] ; [77 42],[131.44067797 103.55932203] ; [66.55932203 52.44067797],0
r2,1,0.020869,5.337665,[213  21] ; [118   3],[218.18028169  15.81971831] ; [112.81971831   8.18028169],0
p10,1,0.028524,4.796088,[163  73] ; [96 24],[171.69662921  64.30337079] ; [87.30337079 32.69662921],0
v4,1,0.02938,4.745223,[213  23] ; [117   4],[218.1512605  17.8487395] ; [111.8487395   9.1512605],0
s2,1,0.029564,4.734445,[ 91 146] ; [61 60],[100.62569832 136.37430168] ; [51.37430168 69.62569832],0
a5,1,0.051796,3.782352,[145  94] ; [86 35],[153.35833333  85.64166667] ; [77.64166667 43.35833333],0
n5,1,0.054882,3.685662,[142  95] ; [85 36],[150.27653631  86.72346369] ; [76.72346369 44.27653631],0
a4,1,0.056456,3.638563,[ 82 157] ; [54 67],[ 90.28888889 148.71111111] ; [45.71111111 75.28888889],0
n6,1,0.064231,3.424632,[182  55] ; [103  18],[188.67318436  48.32681564] ; [96.32681564 24.67318436],0
d4,1,0.066934,3.356652,[183  55] ; [103  18],[189.60445682  48.39554318] ; [96.39554318 24.60445682],0
d1,1,0.093299,2.816519,[108 131] ; [66 55],[115.51666667 123.48333333] ; [58.48333333 62.51666667],0
p1,1,0.16101,1.964713,[  8 229] ; [  8 113],[ 10.59217877 226.40782123] ; [  5.40782123 115.59217877],0
n1,1,0.191649,1.704892,[29 52] ; [ 6 21],[26.25 54.75] ; [ 8.75 18.25],0
b4,1,0.19336,1.691828,[133 106] ; [76 45],[138.75277778 100.24722222] ; [70.24722222 50.75277778],0
p11,1,0.207992,1.585346,[173  66] ; [95 26],[177.92222222  61.07777778] ; [90.07777778 30.92222222],0
a3,1,0.215395,1.534793,[153  85] ; [85 35],[158.22346369  79.77653631] ; [79.77653631 40.22346369],0
p9,1,0.225051,1.471869,[177  57] ; [96 22],[181.48295455  52.51704545] ; [91.51704545 26.48295455],0
p7,1,0.255305,1.29404,[111 123] ; [62 53],[115.99426934 118.00573066] ; [57.00573066 57.99426934],0
u2,1,0.265082,1.242021,[42 44] ; [21 14],[44.7768595 41.2231405] ; [18.2231405 16.7768595],0
r4,1,0.291761,1.111479,[206  33] ; [109  12],[209.125  29.875] ; [105.875  15.125],0
d2,1,0.311864,1.022765,[ 93 145] ; [54 67],[ 97.454039 140.545961] ; [49.545961 71.454039],0
d3,1,0.361476,0.832761,[141  96] ; [78 43],[144.98044693  92.01955307] ; [74.01955307 46.98044693],0
a7,1,0.366232,0.816408,[160  78] ; [87 34],[163.74930362  74.25069638] ; [83.25069638 37.74930362],0
s3,1,0.371493,0.798663,[119 119] ; [66 54],[122.98882682 115.01117318] ; [62.01117318 57.98882682],0
r1,1,0.425749,0.634393,[175  62] ; [94 27],[178.08100559  58.91899441] ; [90.91899441 30.08100559],0
s5,1,0.446181,0.580334,[ 62 167] ; [27 89],[ 59.07536232 169.92463768] ; [29.92463768 86.07536232],0
u4,1,0.485317,0.486893,[  2 237] ; [  2 119],[  2.65555556 236.34444444] ; [  1.34444444 119.65555556],0
s1,1,0.523563,0.406869,[  7 231] ; [  5 113],[  8.02247191 229.97752809] ; [  3.97752809 114.02247191],0
s4,1,0.547687,0.361478,[ 41 195] ; [ 18 103],[ 39.00280112 196.99719888] ; [ 19.99719888 101.00280112],0
u3,1,0.575459,0.313634,[43 43] ; [20 16],[44.40983607 41.59016393] ; [18.59016393 17.40983607],0
p6,1,0.650971,0.204678,[ 41 193] ; [23 95],[ 42.54545455 191.45454545] ; [21.45454545 96.54545455],0
d5,1,0.667943,0.184017,[176  62] ; [92 29],[177.67130919  60.32869081] ; [90.32869081 30.67130919],0
n3,1,0.703804,0.144545,[55 24] ; [22  8],[55.80733945 23.19266055] ; [21.19266055  8.80733945],0
a8,1,0.740857,0.109375,[ 31 193] ; [17 95],[ 32. 192.] ; [16. 96.],0
p12,1,0.749025,0.102352,[ 10 225] ; [  6 114],[ 10.5915493 224.4084507] ; [  5.4084507 114.5915493],0
b5,1,0.759003,0.09412,[156  83] ; [77 44],[154.68611111  84.31388889] ; [78.31388889 42.68611111],0
a6,1,0.774974,0.081725,[157  82] ; [77 43],[155.78272981  83.21727019] ; [78.21727019 41.78272981],0
u1,1,0.77606,0.080916,[ 31 208] ; [ 17 104],[ 31.86666667 207.13333333] ; [ 16.13333333 104.86666667],0
b1,1,0.811676,0.05677,[ 86 153] ; [42 79],[ 84.97777778 154.02222222] ; [43.02222222 77.97777778],0
p5,1,0.844391,0.038526,[  7 232] ; [  4 117],[  7.30277778 231.69722222] ; [  3.69722222 117.30277778],0
n2,1,0.861762,0.030322,[60 21] ; [21  8],[59.64545455 21.35454545] ; [21.35454545  7.64545455],0
p8,1,0.871949,0.02598,[ 81 156] ; [41 76],[ 81.6779661 155.3220339] ; [40.3220339 76.6779661],0
a2,1,0.890427,0.018979,[ 44 195] ; [23 98],[ 44.48055556 194.51944444] ; [22.51944444 98.48055556],0
p2,1,0.92043,0.009978,[175  64] ; [88 33],[174.60277778  64.39722222] ; [88.39722222 32.60277778],0
b2,1,0.942564,0.005191,[45 81] ; [25 44],[45.23076923 80.76923077] ; [24.76923077 44.23076923],0
b3,1,0.942564,0.005191,[45 81] ; [25 44],[45.23076923 80.76923077] ; [24.76923077 44.23076923],0
