Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,127.92772,[  5 101] ; [238 116],[55.99565217 50.00434783] ; [187.00434783 166.99565217],1
d4,1,0.0,61.2339,[54 51] ; [307  46],[82.76200873 22.23799127] ; [278.23799127  74.76200873],1
a5,1,0.0,36.357421,[44 62] ; [259  95],[69.82173913 36.17826087] ; [233.17826087 120.82173913],1
a4,1,0.0,27.675299,[20 84] ; [170 183],[43.23851204 60.76148796] ; [146.76148796 206.23851204],1
d3,1,0.0,26.556369,[49 57] ; [258  95],[70.89760349 35.10239651] ; [236.10239651 116.89760349],1
d2,1,2e-06,22.586492,[26 80] ; [178 173],[47.31728665 58.68271335] ; [156.68271335 194.31728665],1
a3,1,3e-06,21.790597,[49 55] ; [254 100],[68.80349345 35.19650655] ; [234.19650655 119.80349345],1
a2,1,0.000103,15.075176,[ 7 99] ; [ 84 270],[20.96956522 85.03043478] ; [ 70.03043478 283.96956522],1
v2,1,0.001105,10.643636,[35 65] ; [179 155],[49.30875576 50.69124424] ; [164.69124424 169.30875576],0
r3,1,0.001659,9.892957,[91 15] ; [333  18],[98.34573304  7.65426696] ; [325.65426696  25.34573304],0
a7,1,0.002255,9.329242,[62 44] ; [261  92],[74.59259259 31.40740741] ; [248.40740741 104.59259259],0
r1,1,0.004424,8.100848,[73 33] ; [287  64],[83.50109409 22.49890591] ; [276.49890591  74.50109409],0
u1,1,0.006264,7.47268,[  5 101] ; [ 52 302],[13.13478261 92.86521739] ; [ 43.86521739 310.13478261],0
s8,1,0.013095,6.156291,[26 80] ; [132 219],[36.64770241 69.35229759] ; [121.35229759 229.64770241],0
s1,1,0.015176,5.8959,[ 8 94] ; [  9 336],[ 3.87919463 98.12080537] ; [ 13.12080537 331.87919463],0
a6,1,0.016013,5.801489,[60 46] ; [245 109],[70.2826087 35.7173913] ; [234.7173913 119.2826087],0
r4,1,0.030867,4.660333,[87 19] ; [318  36],[93.32608696 12.67391304] ; [311.67391304  42.32608696],0
p2,1,0.03347,4.521563,[71 35] ; [271  80],[79.32603939 26.67396061] ; [262.67396061  88.32603939],0
s6,1,0.033628,4.513504,[53 51] ; [216 129],[62.30734967 41.69265033] ; [206.69265033 138.30734967],0
p4,1,0.049421,3.861006,[29 74] ; [136 215],[37.4339207 65.5660793] ; [127.5660793 223.4339207],0
n4,1,0.058805,3.570779,[65 40] ; [252 100],[72.83369803 32.16630197] ; [244.16630197 107.83369803],0
p10,1,0.064163,3.426382,[67 36] ; [258  89],[74.38888889 28.61111111] ; [250.61111111  96.38888889],0
p1,1,0.089408,2.884996,[ 9 97] ; [ 15 335],[  5.57894737 100.42105263] ; [ 18.42105263 331.57894737],0
n2,1,0.09339,2.814945,[29  5] ; [78 32],[25.26388889  8.73611111] ; [81.73611111 28.26388889],0
b4,1,0.113433,2.505734,[54 52] ; [211 143],[61.06521739 44.93478261] ; [203.93478261 150.06521739],0
s5,1,0.1179,2.445001,[22 81] ; [ 99 240],[28.19683258 74.80316742] ; [ 92.80316742 246.19683258],0
s7,1,0.123046,2.37811,[33 67] ; [143 201],[39.63963964 60.36036036] ; [136.36036036 207.63963964],0
s2,1,0.155921,2.013349,[41 62] ; [168 184],[47.31208791 55.68791209] ; [161.68791209 190.31208791],0
p7,1,0.227653,1.455463,[43 58] ; [167 171],[48.3143508 52.6856492] ; [161.6856492 176.3143508],0
u2,1,0.236138,1.4035,[25 31] ; [54 45],[28.54193548 27.45806452] ; [50.45806452 48.54193548],0
p9,1,0.247415,1.337841,[75 29] ; [267  77],[79.39285714 24.60714286] ; [262.60714286  81.39285714],0
p5,1,0.318503,0.995084,[ 7 98] ; [ 15 335],[ 5.07692308 99.92307692] ; [ 16.92307692 333.07692308],0
