Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,27.733333,[ 8 24] ; [57 15],[20. 12.] ; [45. 27.],1
a4,1,3e-06,21.884304,[ 4 29] ; [44 28],[15.08571429 17.91428571] ; [32.91428571 39.08571429],1
d2,1,0.000273,13.249254,[ 8 25] ; [45 27],[16.65714286 16.34285714] ; [36.34285714 35.65714286],1
r2,1,0.000561,11.899827,[25  8] ; [69  2],[29.82692308  3.17307692] ; [64.17307692  6.82692308],1
u1,1,0.00325,8.661616,[ 1 32] ; [20 52],[ 6.6 26.4] ; [14.4 57.6],0
v2,1,0.003559,8.496374,[ 9 23] ; [42 29],[15.84466019 16.15533981] ; [35.15533981 35.84466019],0
a6,1,0.005568,7.685046,[12 21] ; [47 25],[18.54285714 14.45714286] ; [40.45714286 31.54285714],0
d5,1,0.008614,6.9012,[21 12] ; [62 10],[26.08571429  6.91428571] ; [56.91428571 15.08571429],0
n1,1,0.009467,6.732468,[1 9] ; [13  9],[4.375 5.625] ; [ 9.625 12.375],0
a7,1,0.010809,6.49638,[17 16] ; [55 17],[22.62857143 10.37142857] ; [49.37142857 22.62857143],0
d1,1,0.012568,6.22888,[12 21] ; [45 27],[17.91428571 15.08571429] ; [39.08571429 32.91428571],0
p5,1,0.013566,6.093775,[ 8 25] ; [ 5 66],[ 4.125 28.875] ; [ 8.875 62.125],0
p6,1,0.022179,5.231661,[ 8 25] ; [34 37],[13.32692308 19.67307692] ; [28.67307692 42.32692308],0
b3,1,0.040362,4.202612,[ 1 16] ; [13 29],[ 4.03389831 12.96610169] ; [ 9.96610169 32.03389831],0
b2,1,0.040362,4.202612,[ 1 16] ; [13 29],[ 4.03389831 12.96610169] ; [ 9.96610169 32.03389831],0
s6,1,0.058282,3.585605,[21 11] ; [57 12],[24.71287129  7.28712871] ; [53.28712871 15.71287129],0
r1,1,0.068066,3.329065,[21 12] ; [57 14],[24.75  8.25] ; [53.25 17.75],0
s5,1,0.073076,3.21253,[ 8 23] ; [30 37],[12.02040816 18.97959184] ; [25.97959184 41.02040816],0
p9,1,0.146556,2.107735,[19 13] ; [53 19],[22.15384615  9.84615385] ; [49.84615385 22.15384615],0
s2,1,0.19732,1.662101,[17 16] ; [46 25],[19.99038462 13.00961538] ; [43.00961538 27.99038462],0
n3,1,0.209601,1.574183,[5 5] ; [16  6],[6.5625 3.4375] ; [14.4375  7.5625],0
p2,1,0.221083,1.497326,[29  4] ; [56 16],[26.71428571  6.28571429] ; [58.28571429 13.71428571],0
s7,1,0.289739,1.120834,[14 15] ; [39 26],[16.35106383 12.64893617] ; [36.64893617 28.35106383],0
p8,1,0.33252,0.93906,[12 21] ; [33 38],[14.27884615 18.72115385] ; [30.72115385 40.27884615],0
a1,1,0.414624,0.665504,[ 2 31] ; [ 2 70],[ 1.25714286 31.74285714] ; [ 2.74285714 69.25714286],0
