Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.004361,8.126984,[13  3] ; [ 5 11],[9. 7.] ; [9. 7.],0
p6,1,0.004829,7.942389,[9 8] ; [ 1 14],[ 5.3125 11.6875] ; [ 4.6875 10.3125],0
d1,1,0.007595,7.126617,[11  6] ; [ 3 13],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
v2,1,0.008823,6.858348,[12  5] ; [ 4 12],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
s2,1,0.013779,6.066176,[9 8] ; [ 2 14],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
r4,1,0.041292,4.163997,[9 8] ; [ 3 13],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
a6,1,0.049437,3.86046,[10  7] ; [ 4 12],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
d2,1,0.054619,3.693677,[11  6] ; [ 5 11],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
s5,1,0.080346,3.05788,[6 9] ; [ 2 14],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
r3,1,0.106116,2.611126,[16  1] ; [11  4],[14.34375  2.65625] ; [12.65625  2.34375],0
p3,1,0.207656,1.587696,[9 8] ; [ 5 11],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
s6,1,0.210298,1.569375,[9 6] ; [ 6 10],[7.25806452 7.74193548] ; [7.74193548 8.25806452],0
d5,1,0.218143,1.516544,[13  4] ; [9 7],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
v1,1,0.226398,1.463348,[ 5 12] ; [8 8],[ 6.6969697 10.3030303] ; [6.3030303 9.6969697],0
v3,1,0.234965,1.410553,[ 5 12] ; [ 2 14],[ 3.60606061 13.39393939] ; [ 3.39393939 12.60606061],0
p1,1,0.257673,1.281218,[ 1 16] ; [ 3 13],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
a8,1,0.27224,1.205423,[ 5 12] ; [ 2 13],[ 3.71875 13.28125] ; [ 3.28125 11.71875],0
b2,1,0.301941,1.065601,[7 6] ; [4 8],[5.72 7.28] ; [5.28 6.72],0
b3,1,0.301941,1.065601,[7 6] ; [4 8],[5.72 7.28] ; [5.28 6.72],0
u2,1,0.303052,1.060714,[1 4] ; [3 3],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
p9,1,0.316079,1.005103,[14  3] ; [15  1],[14.93939394  2.06060606] ; [14.06060606  1.93939394],0
a5,1,0.324534,0.970588,[10  7] ; [12  4],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
s8,1,0.324534,0.970588,[ 7 10] ; [ 4 12],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
n5,1,0.36214,0.83046,[14  3] ; [11  5],[12.87878788  4.12121212] ; [12.12121212  3.87878788],0
a4,1,0.382797,0.761701,[ 4 13] ; [ 6 10],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
b5,1,0.38654,0.749797,[10  7] ; [7 9],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
d3,1,0.38654,0.749797,[10  7] ; [7 9],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
u3,1,0.386916,0.748611,[2 3] ; [1 5],[1.36363636 3.63636364] ; [1.63636364 4.36363636],0
s7,1,0.465209,0.533333,[7 9] ; [ 5 11],[ 6. 10.] ; [ 6. 10.],0
u1,1,0.508688,0.436765,[ 1 16] ; [ 2 14],[ 1.54545455 15.45454545] ; [ 1.45454545 14.54545455],0
n6,1,0.537957,0.379339,[14  3] ; [11  4],[13.28125  3.71875] ; [11.71875  3.28125],0
p2,1,0.538195,0.378896,[13  4] ; [10  5],[12.21875  4.78125] ; [10.78125  4.21875],0
p5,1,0.575942,0.312841,[ 2 15] ; [ 3 13],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
s4,1,0.575942,0.312841,[ 2 15] ; [ 3 13],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
a2,1,0.581815,0.303309,[ 2 15] ; [ 1 15],[ 1.54545455 15.45454545] ; [ 1.45454545 14.54545455],0
a7,1,0.597504,0.278776,[9 8] ; [7 9],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
p4,1,0.61093,0.258824,[ 7 10] ; [8 8],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
d4,1,0.618698,0.247702,[13  4] ; [11  5],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
b4,1,0.618698,0.247702,[13  4] ; [11  5],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
n4,1,0.618698,0.247702,[13  4] ; [11  5],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
a3,1,0.622301,0.242647,[12  5] ; [10  6],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
n2,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
p7,1,0.86583,0.028547,[9 8] ; [8 8],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
b1,1,0.881162,0.022349,[10  7] ; [9 7],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
r1,1,0.881162,0.022349,[ 7 10] ; [7 9],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
p11,1,0.908575,0.013187,[12  5] ; [11  5],[11.84848485  5.15151515] ; [11.15151515  4.84848485],0
p8,1,1.0,0.0,[ 5 11] ; [ 5 11],[ 5. 11.] ; [ 5. 11.],0
