Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.812111,[61 10] ; [121 114],[42.22875817 28.77124183] ; [139.77124183  95.22875817],1
s2,1,0.0,25.801607,[50 21] ; [ 84 148],[31.39933993 39.60066007] ; [102.60066007 129.39933993],1
p12,1,0.000515,12.059039,[11 60] ; [  9 225],[ 4.6557377 66.3442623] ; [ 15.3442623 218.6557377],1
s4,1,0.001818,9.724901,[18 51] ; [ 26 209],[ 9.98684211 59.01315789] ; [ 34.01315789 200.98684211],0
p5,1,0.0029,8.869454,[ 9 62] ; [  8 226],[ 3.95737705 67.04262295] ; [ 13.04262295 220.95737705],0
s7,1,0.002997,8.809535,[36 31] ; [ 75 148],[25.64482759 41.35517241] ; [ 85.35517241 137.64482759],0
s3,1,0.004643,8.013528,[44 26] ; [102 132],[33.61842105 36.38157895] ; [112.38157895 121.61842105],0
s8,1,0.038717,4.273239,[30 40] ; [ 70 166],[22.87581699 47.12418301] ; [ 77.12418301 158.87581699],0
d4,1,0.052473,3.760637,[63  8] ; [185  51],[57.35504886 13.64495114] ; [190.64495114  45.35504886],0
p10,1,0.055303,3.672921,[55 15] ; [155  78],[48.51485149 21.48514851] ; [161.48514851  71.51485149],0
r2,1,0.060228,3.531086,[69  2] ; [212  23],[65.19934641  5.80065359] ; [215.80065359  19.19934641],0
p3,1,0.061609,3.493543,[28 43] ; [ 65 169],[21.64918033 49.35081967] ; [ 71.35081967 162.64918033],0
d2,1,0.082576,3.013465,[40 30] ; [107 129],[33.62745098 36.37254902] ; [113.37254902 122.62745098],0
p11,1,0.090892,2.858508,[45 26] ; [174  62],[50.64820847 20.35179153] ; [168.35179153  67.64820847],0
n1,1,0.108487,2.576127,[10  8] ; [27 50],[ 7.01052632 10.98947368] ; [29.98947368 47.01052632],0
p8,1,0.113415,2.505979,[12 58] ; [ 62 173],[16.98360656 53.01639344] ; [ 57.01639344 177.98360656],0
s1,1,0.115715,2.474379,[ 5 65] ; [  7 228],[ 2.75409836 67.24590164] ; [  9.24590164 225.75409836],0
a1,1,0.123691,2.369954,[ 4 67] ; [  5 231],[ 2.08143322 68.91856678] ; [  6.91856678 229.08143322],0
r4,1,0.123931,2.366922,[65  6] ; [199  37],[61.05537459  9.94462541] ; [202.94462541  33.05537459],0
