Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-05,15.81274,[327  74] ; [68 39],[311.8011811  89.1988189] ; [83.1988189 23.8011811],1
s5,1,0.000638,11.663103,[160 231] ; [61 41],[175.27586207 215.72413793] ; [45.72413793 56.27586207],1
a8,1,0.001073,10.697526,[ 62 303] ; [ 4 95],[ 51.91810345 313.08189655] ; [14.08189655 84.91810345],0
v1,1,0.013539,6.09724,[239 150] ; [51 55],[227.8989899 161.1010101] ; [62.1010101 43.8989899],0
v3,1,0.020999,5.32689,[171 215] ; [33 71],[160.70204082 225.29795918] ; [43.29795918 60.70204082],0
s2,1,0.022508,5.206104,[260 140] ; [82 25],[269.82248521 130.17751479] ; [72.17751479 34.82248521],0
u2,1,0.027713,4.845854,[66 29] ; [12 14],[61.23966942 33.76033058] ; [16.76033058  9.23966942],0
v2,1,0.054273,3.70429,[240 145] ; [54 50],[231.47239264 153.52760736] ; [62.52760736 41.47239264],0
n5,1,0.058491,3.579661,[311  88] ; [74 33],[303.58695652  95.41304348] ; [81.41304348 25.58695652],0
p6,1,0.063829,3.434979,[156 239] ; [52 53],[164.32 230.68] ; [43.68 61.32],0
p12,1,0.065093,3.402621,[ 47 353] ; [  6 101],[ 41.81459566 358.18540434] ; [11.18540434 95.81459566],0
s3,1,0.090229,2.870283,[274 122] ; [83 24],[281.05765408 114.94234592] ; [75.94234592 31.05765408],0
p2,1,0.099173,2.71879,[346  53] ; [86 21],[340.64822134  58.35177866] ; [91.35177866 15.64822134],0
p11,1,0.102096,2.672486,[319  83] ; [77 30],[312.75442043  89.24557957] ; [83.24557957 23.75442043],0
u4,1,0.140629,2.171062,[ 15 387] ; [  1 106],[ 12.63654224 389.36345776] ; [  3.36345776 103.63654224],0
p5,1,0.159669,1.977354,[ 58 340] ; [10 97],[ 53.59207921 344.40792079] ; [14.40792079 92.59207921],0
d1,1,0.186815,1.742559,[278 124] ; [81 26],[283.5324165 118.4675835] ; [75.4675835 31.5324165],0
a1,1,0.194431,1.683718,[ 29 373] ; [  4 103],[ 26.06286837 375.93713163] ; [  6.93713163 100.06286837],0
n1,1,0.212814,1.552181,[38 48] ; [ 9 20],[35.14782609 50.85217391] ; [11.85217391 17.14782609],0
d3,1,0.213329,1.548692,[308  94] ; [88 19],[312.75442043  89.24557957] ; [83.24557957 23.75442043],0
b3,1,0.218264,1.51575,[104 153] ; [17 37],[ 99.9903537 157.0096463] ; [21.0096463 32.9903537],0
b2,1,0.218264,1.51575,[104 153] ; [17 37],[ 99.9903537 157.0096463] ; [21.0096463 32.9903537],0
s7,1,0.277957,1.177052,[233 152] ; [69 35],[237.77096115 147.22903885] ; [64.22903885 39.77096115],0
a7,1,0.311351,1.024936,[304  97] ; [76 31],[299.96062992 101.03937008] ; [80.03937008 26.96062992],0
r1,1,0.351644,0.867515,[334  67] ; [85 22],[330.74606299  70.25393701] ; [88.25393701 18.74606299],0
s1,1,0.393833,0.727074,[ 12 384] ; [  5 101],[ 13.41035857 382.58964143] ; [  3.58964143 102.41035857],0
d5,1,0.414223,0.666648,[353  49] ; [97 10],[355.40275049  46.59724951] ; [94.59724951 12.40275049],0
v4,1,0.494833,0.466001,[383  17] ; [104   3],[384.2209073  15.7790927] ; [102.7790927   4.2209073],0
d2,1,0.501669,0.451403,[214 187] ; [61 46],[217.07677165 183.92322835] ; [57.92322835 49.07677165],0
a2,1,0.520984,0.411945,[114 288] ; [27 80],[111.35952849 290.64047151] ; [29.64047151 77.35952849],0
a6,1,0.601759,0.272351,[273 128] ; [70 37],[270.75393701 130.24606299] ; [72.24606299 34.75393701],0
n2,1,0.616314,0.251082,[65 22] ; [23  6],[66. 21.] ; [22.  7.],0
p3,1,0.617544,0.249334,[214 187] ; [60 47],[216.28740157 184.71259843] ; [57.71259843 49.28740157],0
n3,1,0.617571,0.249296,[58 28] ; [21  8],[59.07826087 26.92173913] ; [19.92173913  9.07826087],0
p7,1,0.628479,0.234129,[257 130] ; [71 32],[259.05306122 127.94693878] ; [68.94693878 34.05306122],0
p4,1,0.630623,0.231218,[263 137] ; [73 34],[265.0887574 134.9112426] ; [70.9112426 36.0887574],0
u3,1,0.658177,0.195746,[62 34] ; [18  8],[62.95081967 33.04918033] ; [17.04918033  8.95081967],0
p1,1,0.664156,0.188514,[ 32 366] ; [10 97],[ 33.1009901 364.8990099] ; [ 8.8990099 98.1009901],0
n6,1,0.679393,0.17081,[345  54] ; [90 16],[343.69306931  55.30693069] ; [91.30693069 14.69306931],0
a5,1,0.702263,0.146129,[315  87] ; [82 25],[313.54420432  88.45579568] ; [83.45579568 23.54420432],0
p9,1,0.730721,0.118451,[349  48] ; [91 14],[347.96812749  49.03187251] ; [92.03187251 12.96812749],0
a4,1,0.770138,0.085378,[196 205] ; [54 53],[197.34251969 203.65748031] ; [52.65748031 54.34251969],0
r3,1,0.773836,0.082576,[388  13] ; [101   4],[387.52766798  13.47233202] ; [101.47233202   3.52766798],0
b5,1,0.795901,0.066903,[250 152] ; [68 39],[251.15127701 150.84872299] ; [66.84872299 40.15127701],0
b4,1,0.816261,0.053989,[243 159] ; [66 41],[244.043222 157.956778] ; [64.956778 42.043222],0
b1,1,0.821573,0.05086,[153 249] ; [42 65],[154.00785855 247.99214145] ; [40.99214145 66.00785855],0
p8,1,0.849254,0.036127,[215 181] ; [57 46],[215.85571142 180.14428858] ; [56.14428858 46.85571142],0
r2,1,0.869203,0.027116,[375  20] ; [102   5],[375.32868526  19.67131474] ; [101.67131474   5.32868526],0
r4,1,0.878911,0.02321,[370  32] ; [98  9],[369.61886051  32.38113949] ; [98.38113949  8.61886051],0
s8,1,0.937199,0.006208,[226 174] ; [60 47],[225.64102564 174.35897436] ; [60.35897436 46.64102564],0
a3,1,0.976132,0.000895,[303  98] ; [81 26],[303.11811024  97.88188976] ; [80.88188976 26.11811024],0
p10,1,0.983487,0.000428,[333  64] ; [89 17],[333.0695825  63.9304175] ; [88.9304175 17.0695825],0
u1,1,0.992638,8.5e-05,[ 90 312] ; [24 83],[ 90.03536346 311.96463654] ; [23.96463654 83.03536346],0
