Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.048171,[ 52 112] ; [42 20],[68.21238938 95.78761062] ; [25.78761062 36.21238938],1
s6,1,1e-06,23.306353,[73 90] ; [50 12],[89.10666667 73.89333333] ; [33.89333333 28.10666667],1
s4,1,0.000473,12.220248,[ 22 142] ; [21 41],[ 31.20353982 132.79646018] ; [11.79646018 50.20353982],1
s7,1,0.0025,9.140883,[ 43 114] ; [29 30],[ 52.33333333 104.66666667] ; [19.66666667 39.33333333],0
s3,1,0.006488,7.409448,[66 95] ; [38 24],[75.08520179 85.91479821] ; [28.91479821 33.08520179],0
p6,1,0.010786,6.500188,[ 34 125] ; [23 37],[ 41.38356164 117.61643836] ; [15.61643836 44.38356164],0
d4,1,0.012427,6.248859,[127  37] ; [57  5],[133.52212389  30.47787611] ; [50.47787611 11.52212389],0
n4,1,0.015932,5.810351,[71 93] ; [16 46],[ 63.13274336 100.86725664] ; [23.86725664 38.13274336],0
p5,1,0.017241,5.671644,[  4 159] ; [ 6 55],[  7.27678571 155.72321429] ; [ 2.72321429 58.27678571],0
p3,1,0.024412,5.065101,[ 56 107] ; [31 30],[63.30803571 99.69196429] ; [23.69196429 37.30803571],0
p10,1,0.031418,4.629998,[100  62] ; [47 14],[106.78923767  55.21076233] ; [40.21076233 20.78923767],0
s8,1,0.033316,4.52949,[ 47 117] ; [27 35],[ 53.69911504 110.30088496] ; [20.30088496 41.69911504],0
a1,1,0.038806,4.269348,[  5 159] ; [ 6 56],[  7.98230088 156.01769912] ; [ 3.01769912 58.98230088],0
n1,1,0.039105,4.256312,[10 41] ; [ 8 10],[13.30434783 37.69565217] ; [ 4.69565217 13.30434783],0
v1,1,0.040796,4.184471,[ 53 106] ; [29 31],[59.53424658 99.46575342] ; [22.46575342 37.53424658],0
u1,1,0.049006,3.87515,[ 14 150] ; [11 51],[ 18.14159292 145.85840708] ; [ 6.85840708 55.14159292],0
p12,1,0.051376,3.795962,[  4 159] ; [ 5 56],[  6.54910714 156.45089286] ; [ 2.45089286 58.54910714],0
s1,1,0.053649,3.723597,[  4 160] ; [ 5 57],[  6.53097345 157.46902655] ; [ 2.46902655 59.53097345],0
p9,1,0.064446,3.419091,[109  53] ; [48 12],[114.56756757  47.43243243] ; [42.43243243 17.56756757],0
b4,1,0.101652,2.679439,[97 67] ; [44 18],[102.31858407  61.68141593] ; [38.68141593 23.31858407],0
a6,1,0.105768,2.616337,[109  55] ; [34 28],[103.7699115  60.2300885] ; [39.2300885 22.7699115],0
p4,1,0.149996,2.072294,[68 95] ; [32 29],[72.76785714 90.23214286] ; [27.23214286 33.76785714],0
d5,1,0.175237,1.837561,[120  43] ; [51 11],[123.88  39.12] ; [47.12 14.88],0
p1,1,0.183466,1.76932,[ 10 152] ; [ 7 54],[ 12.34977578 149.65022422] ; [ 4.65022422 56.34977578],0
d2,1,0.205427,1.603366,[ 59 105] ; [28 34],[ 63.13274336 100.86725664] ; [23.86725664 38.13274336],0
a4,1,0.222739,1.486634,[ 52 112] ; [25 37],[ 55.87610619 108.12389381] ; [21.12389381 40.87610619],0
r4,1,0.234722,1.412019,[138  26] ; [56  6],[140.77876106  23.22123894] ; [53.22123894  8.77876106],0
