Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,29.976892,[47  1] ; [15 18],[36.74074074 11.25925926] ; [25.25925926  7.74074074],1
r2,1,1e-06,23.751015,[45  3] ; [15 18],[35.55555556 12.44444444] ; [24.44444444  8.55555556],1
r1,1,2.1e-05,18.137206,[38 10] ; [11 23],[28.68292683 19.31707317] ; [20.31707317 13.68292683],1
v4,1,0.000564,11.892029,[42  5] ; [19 15],[35.39506173 11.60493827] ; [25.60493827  8.39506173],1
a7,1,0.003139,8.724602,[32 16] ; [11 22],[25.48148148 22.51851852] ; [17.51851852 15.48148148],0
u3,1,0.005407,7.738095,[19  9] ; [ 7 17],[14. 14.] ; [12. 12.],0
p4,1,0.016462,5.752841,[21 27] ; [ 6 27],[16. 32.] ; [11. 22.],0
s3,1,0.051526,3.791103,[23 24] ; [ 9 24],[18.8 28.2] ; [13.2 19.8],0
p6,1,0.058694,3.573898,[16 31] ; [ 5 28],[12.3375 34.6625] ; [ 8.6625 24.3375],0
n3,1,0.061361,3.500219,[9 2] ; [10 11],[6.53125 4.46875] ; [12.46875  8.53125],0
v3,1,0.068061,3.329169,[17 30] ; [ 6 28],[13.34567901 33.65432099] ; [ 9.65432099 24.34567901],0
p11,1,0.091331,2.850748,[26 22] ; [12 22],[22.24390244 25.75609756] ; [15.75609756 18.24390244],0
s8,1,0.091835,2.841917,[13 35] ; [ 4 30],[ 9.95121951 38.04878049] ; [ 7.04878049 26.95121951],0
d5,1,0.09935,2.715951,[30 18] ; [15 19],[26.34146341 21.65853659] ; [18.65853659 15.34146341],0
n6,1,0.109031,2.568216,[35 13] ; [19 15],[31.6097561 16.3902439] ; [22.3902439 11.6097561],0
s6,1,0.111456,2.533453,[24 24] ; [11 23],[20.48780488 27.51219512] ; [14.51219512 19.48780488],0
d3,1,0.111456,2.533453,[24 24] ; [11 23],[20.48780488 27.51219512] ; [14.51219512 19.48780488],0
p7,1,0.13317,2.25516,[26 20] ; [13 20],[22.70886076 23.29113924] ; [16.29113924 16.70886076],0
s4,1,0.196515,1.668086,[ 7 40] ; [ 9 25],[ 9.28395062 37.71604938] ; [ 6.71604938 27.28395062],0
p3,1,0.205631,1.601919,[16 32] ; [ 7 27],[13.46341463 34.53658537] ; [ 9.53658537 24.46341463],0
n1,1,0.209601,1.574183,[5 6] ; [ 5 16],[3.4375 7.5625] ; [ 6.5625 14.4375],0
a6,1,0.254914,1.296171,[23 25] ; [12 22],[20.48780488 27.51219512] ; [14.51219512 19.48780488],0
a3,1,0.256355,1.288336,[20 28] ; [10 24],[17.56097561 30.43902439] ; [12.43902439 21.56097561],0
b1,1,0.278887,1.172505,[27 21] ; [15 19],[24.58536585 23.41463415] ; [17.41463415 16.58536585],0
v1,1,0.318402,0.995499,[13 35] ; [ 6 28],[11.12195122 36.87804878] ; [ 7.87804878 26.12195122],0
n2,1,0.352724,0.863635,[7 3] ; [11 10],[5.80645161 4.19354839] ; [12.19354839  8.80645161],0
a1,1,0.366662,0.814946,[ 1 47] ; [ 2 32],[ 1.75609756 46.24390244] ; [ 1.24390244 32.75609756],0
p1,1,0.37861,0.77521,[ 3 45] ; [ 4 30],[ 4.09756098 43.90243902] ; [ 2.90243902 31.09756098],0
s7,1,0.409219,0.681067,[13 31] ; [ 7 26],[11.42857143 32.57142857] ; [ 8.57142857 24.42857143],0
n5,1,0.429885,0.623135,[24 24] ; [20 14],[25.75609756 22.24390244] ; [18.24390244 15.75609756],0
b3,1,0.43893,0.599078,[ 6 25] ; [ 6 15],[ 7.15384615 23.84615385] ; [ 4.84615385 16.15384615],0
b2,1,0.43893,0.599078,[ 6 25] ; [ 6 15],[ 7.15384615 23.84615385] ; [ 4.84615385 16.15384615],0
s2,1,0.466568,0.530092,[16 31] ; [ 9 25],[14.50617284 32.49382716] ; [10.49382716 23.50617284],0
v2,1,0.485062,0.48746,[18 27] ; [11 23],[16.51898734 28.48101266] ; [12.48101266 21.51898734],0
p10,1,0.551137,0.355284,[10 38] ; [ 9 25],[11.12195122 36.87804878] ; [ 7.87804878 26.12195122],0
s1,1,0.659305,0.194369,[ 3 45] ; [ 3 31],[ 3.51219512 44.48780488] ; [ 2.48780488 31.51219512],0
u2,1,0.682979,0.166792,[15 13] ; [11 12],[14.2745098 13.7254902] ; [11.7254902 11.2745098],0
p2,1,0.766739,0.087997,[27 21] ; [18 16],[26.34146341 21.65853659] ; [18.65853659 15.34146341],0
a4,1,0.810695,0.057374,[ 5 43] ; [ 3 31],[ 4.68292683 43.31707317] ; [ 3.31707317 30.68292683],0
b5,1,0.82504,0.048871,[28 20] ; [19 15],[27.51219512 20.48780488] ; [19.48780488 14.51219512],0
b4,1,0.853646,0.034028,[32 16] ; [22 12],[31.6097561 16.3902439] ; [22.3902439 11.6097561],0
s5,1,0.855162,0.03332,[ 8 40] ; [ 5 28],[ 7.7037037 40.2962963] ; [ 5.2962963 27.7037037],0
d4,1,0.858118,0.031959,[28 19] ; [19 14],[27.6125 19.3875] ; [19.3875 13.6125],0
n4,1,0.877756,0.023659,[26 22] ; [19 15],[26.34146341 21.65853659] ; [18.65853659 15.34146341],0
p8,1,0.880521,0.022593,[12 36] ; [ 9 25],[12.29268293 35.70731707] ; [ 8.70731707 25.29268293],0
d1,1,0.950805,0.003806,[13 35] ; [ 9 25],[12.87804878 35.12195122] ; [ 9.12195122 24.87804878],0
d2,1,1.0,0.0,[16 32] ; [11 22],[16. 32.] ; [11. 22.],0
