Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,88.011501,[ 55 125] ; [293 115],[106.53061224  73.46938776] ; [241.46938776 166.53061224],1
p6,1,0.0,53.247648,[ 36 143] ; [215 195],[ 76.28013582 102.71986418] ; [174.71986418 235.28013582],1
p3,1,0.0,34.106331,[ 68 112] ; [263 150],[100.47217538  79.52782462] ; [230.52782462 182.47217538],1
p4,1,2e-06,22.877121,[99 82] ; [307 105],[123.92242833  57.07757167] ; [282.07757167 129.92242833],1
s5,1,9.2e-05,15.304065,[ 39 129] ; [162 239],[ 59.34622144 108.65377856] ; [141.65377856 259.34622144],1
s8,1,0.000471,12.227284,[ 65 114] ; [213 197],[84.48556876 94.51443124] ; [193.51443124 216.48556876],1
p10,1,0.000877,11.071185,[141  39] ; [364  46],[154.06779661  25.93220339] ; [350.93220339  59.06779661],1
b5,1,0.001016,10.797702,[128  53] ; [233 180],[110.0016835  70.9983165] ; [250.9983165 162.0016835],0
p5,1,0.001888,9.655807,[ 13 168] ; [ 69 343],[ 25.02866779 155.97133221] ; [ 56.97133221 355.02866779],0
v3,1,0.007462,7.158199,[ 60 115] ; [186 216],[ 74.61005199 100.38994801] ; [171.38994801 230.61005199],0
p11,1,0.007473,7.155518,[140  41] ; [356  57],[151.13804714  29.86195286] ; [344.86195286  68.13804714],0
s7,1,0.007787,7.081875,[77 92] ; [227 166],[91.41637011 77.58362989] ; [212.58362989 180.41637011],0
r4,1,0.008936,6.835654,[158  23] ; [387  26],[166.06902357  14.93097643] ; [378.93097643  34.06902357],0
r1,1,0.011468,6.391303,[139  42] ; [349  60],[149.70847458  31.29152542] ; [338.29152542  70.70847458],0
v4,1,0.013043,6.163217,[168  12] ; [398  10],[173.26530612   6.73469388] ; [392.73469388  15.26530612],0
a1,1,0.019976,5.414003,[  3 178] ; [ 25 388],[  8.53198653 172.46801347] ; [ 19.46801347 393.53198653],0
p9,1,0.02108,5.320128,[149  30] ; [368  41],[157.38605442  21.61394558] ; [359.61394558  49.38605442],0
s6,1,0.025907,4.962189,[112  66] ; [288 111],[123.39688042  54.60311958] ; [276.60311958 122.39688042],0
a2,1,0.026251,4.939396,[ 36 145] ; [118 295],[ 46.92592593 134.07407407] ; [107.07407407 305.92592593],0
