Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.014667,5.955991,[7 6] ; [ 4 21],[3.76315789 9.23684211] ; [ 7.23684211 17.76315789],0
a2,1,0.020562,5.36358,[4 9] ; [ 1 24],[ 1.71052632 11.28947368] ; [ 3.28947368 21.71052632],0
a6,1,0.028472,4.799269,[11  2] ; [12 13],[7.86842105 5.13157895] ; [15.13157895  9.86842105],0
v2,1,0.036464,4.375264,[9 4] ; [ 8 16],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
u2,1,0.045021,4.017857,[1 3] ; [11  3],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
p7,1,0.052816,3.749726,[ 3 10] ; [14 11],[5.81578947 7.18421053] ; [11.18421053 13.81578947],0
v3,1,0.057669,3.603179,[5 8] ; [ 3 22],[ 2.73684211 10.26315789] ; [ 5.26315789 19.73684211],0
v1,1,0.065792,3.385013,[7 6] ; [ 6 19],[4.44736842 8.55263158] ; [ 8.55263158 16.44736842],0
a3,1,0.172773,1.85872,[9 4] ; [11 13],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
p9,1,0.189446,1.721923,[6 6] ; [18  7],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
a8,1,0.233614,1.418719,[ 1 11] ; [ 6 18],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
a4,1,0.263107,1.252336,[6 7] ; [ 7 18],[4.44736842 8.55263158] ; [ 8.55263158 16.44736842],0
p10,1,0.290588,1.116894,[6 6] ; [17  8],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
n4,1,0.304976,1.052308,[5 8] ; [14 11],[6.5 6.5] ; [12.5 12.5],0
n6,1,0.307431,1.041678,[9 4] ; [13 12],[7.52631579 5.47368421] ; [14.47368421 10.52631579],0
s2,1,0.315251,1.008548,[3 9] ; [ 3 22],[ 1.94594595 10.05405405] ; [ 4.05405405 20.94594595],0
s5,1,0.323595,0.974359,[ 1 12] ; [ 5 20],[ 2.05263158 10.94736842] ; [ 3.94736842 21.05263158],0
p3,1,0.376204,0.783069,[4 8] ; [ 5 20],[2.91891892 9.08108108] ; [ 6.08108108 18.91891892],0
n2,1,0.398025,0.714286,[4 2] ; [4 5],[3.2 2.8] ; [4.8 4.2],0
n5,1,0.415426,0.663219,[6 7] ; [15 10],[7.18421053 5.81578947] ; [13.81578947 11.18421053],0
r4,1,0.416184,0.661065,[ 3 10] ; [ 9 16],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
s4,1,0.472301,0.516587,[ 1 12] ; [ 4 21],[ 1.71052632 11.28947368] ; [ 3.28947368 21.71052632],0
p12,1,0.481615,0.495204,[ 2 11] ; [ 2 23],[ 1.36842105 11.63157895] ; [ 2.63157895 22.36842105],0
r3,1,0.501273,0.452241,[9 4] ; [19  5],[9.83783784 3.16216216] ; [18.16216216  5.83783784],0
p5,1,0.509629,0.434829,[ 2 11] ; [ 2 22],[ 1.40540541 11.59459459] ; [ 2.59459459 21.40540541],0
p8,1,0.514084,0.425745,[4 9] ; [10 14],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
p4,1,0.564143,0.332581,[7 6] ; [11 14],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
s7,1,0.565867,0.329647,[3 7] ; [ 5 19],[2.35294118 7.64705882] ; [ 5.64705882 18.35294118],0
s6,1,0.574784,0.314743,[5 8] ; [12 13],[5.81578947 7.18421053] ; [11.18421053 13.81578947],0
v4,1,0.575731,0.313187,[9 4] ; [15 10],[8.21052632 4.78947368] ; [15.78947368  9.21052632],0
p2,1,0.575731,0.313187,[9 4] ; [15 10],[8.21052632 4.78947368] ; [15.78947368  9.21052632],0
s1,1,0.628687,0.233846,[ 1 12] ; [ 1 24],[ 0.68421053 12.31578947] ; [ 1.31578947 23.68421053],0
b1,1,0.732396,0.116923,[6 7] ; [13 12],[6.5 6.5] ; [12.5 12.5],0
b4,1,0.742867,0.107622,[8 5] ; [14 11],[7.52631579 5.47368421] ; [14.47368421 10.52631579],0
s8,1,0.7437,0.106901,[ 3 10] ; [ 7 18],[3.42105263 9.57894737] ; [ 6.57894737 18.42105263],0
u3,1,0.799846,0.064286,[2 2] ; [6 8],[1.77777778 2.22222222] ; [6.22222222 7.77777778],0
p11,1,0.858273,0.031888,[9 4] ; [18  7],[9.23684211 3.76315789] ; [17.76315789  7.23684211],0
b2,1,0.918517,0.010466,[2 5] ; [4 9],[2.1 4.9] ; [3.9 9.1],0
b3,1,0.918517,0.010466,[2 5] ; [4 9],[2.1 4.9] ; [3.9 9.1],0
r1,1,0.926661,0.008473,[5 8] ; [10 15],[5.13157895 7.86842105] ; [ 9.86842105 15.13157895],0
a5,1,0.926661,0.008473,[8 5] ; [15 10],[7.86842105 5.13157895] ; [15.13157895  9.86842105],0
b5,1,0.926661,0.008473,[8 5] ; [15 10],[7.86842105 5.13157895] ; [15.13157895  9.86842105],0
s3,1,0.947085,0.004405,[3 9] ; [ 6 19],[2.91891892 9.08108108] ; [ 6.08108108 18.91891892],0
p6,1,0.947085,0.004405,[3 9] ; [ 6 19],[2.91891892 9.08108108] ; [ 6.08108108 18.91891892],0
u1,1,0.97338,0.001114,[ 1 12] ; [ 2 23],[ 1.02631579 11.97368421] ; [ 1.97368421 23.02631579],0
n3,1,1.0,0.0,[4 2] ; [6 3],[4. 2.] ; [6. 3.],0
