Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.429358,[343  92] ; [ 74 108],[293.99513776 141.00486224] ; [123.00486224  58.99513776],1
d3,1,0.0,78.344304,[336 100] ; [ 73 109],[288.55016181 147.44983819] ; [120.44983819  61.55016181],1
a2,1,0.0,38.012143,[139 299] ; [ 15 167],[108.79354839 329.20645161] ; [ 45.20645161 136.79354839],1
u1,1,0.0,29.958675,[103 335] ; [  9 173],[ 79.12258065 358.87741935] ; [ 32.87741935 149.12258065],1
r4,1,0.0,25.821915,[405  33] ; [142  40],[386.42903226  51.57096774] ; [160.57096774  21.42903226],1
r1,1,4.9e-05,16.472049,[366  69] ; [127  55],[347.57698541  87.42301459] ; [145.42301459  36.57698541],1
u3,1,0.000202,13.812167,[70 44] ; [17 38],[58.68639053 55.31360947] ; [28.31360947 26.68639053],1
r2,1,0.000437,12.367845,[416  15] ; [159  19],[406.93760263  24.06239737] ; [168.06239737   9.93760263],1
r3,1,0.000446,12.32778,[416  19] ; [160  22],[406.09400324  28.90599676] ; [169.90599676  12.09400324],1
d1,1,0.000997,10.833027,[279 159] ; [90 92],[260.68064516 177.31935484] ; [108.31935484  73.68064516],1
b5,1,0.00121,10.4754,[278 160] ; [90 92],[259.97419355 178.02580645] ; [108.02580645  73.97419355],0
v4,1,0.001417,10.183646,[412  23] ; [158  23],[402.51623377  32.48376623] ; [167.48376623  13.51623377],0
d5,1,0.001543,10.026212,[370  66] ; [134  47],[356.14910859  79.85089141] ; [147.85089141  33.14910859],0
d4,1,0.004194,8.197666,[370  66] ; [136  45],[357.5623987  78.4376013] ; [148.4376013  32.5623987],0
b1,1,0.006978,7.27875,[163 275] ; [89 93],[178.02580645 259.97419355] ; [ 73.97419355 108.02580645],0
a5,1,0.007716,7.098201,[347  91] ; [126  56],[334.1516129 103.8483871] ; [138.8483871  43.1516129],0
p10,1,0.018408,5.556919,[359  74] ; [132  45],[348.5295082  84.4704918] ; [142.4704918  34.5295082],0
b2,1,0.019742,5.434595,[106 172] ; [65 64],[116.8009828 161.1990172] ; [54.1990172 74.8009828],0
b3,1,0.019742,5.434595,[106 172] ; [65 64],[116.8009828 161.1990172] ; [54.1990172 74.8009828],0
u2,1,0.032803,4.556053,[68 45] ; [23 31],[61.5748503 51.4251497] ; [29.4251497 24.5748503],0
v2,1,0.034587,4.465459,[256 165] ; [90 85],[244.40604027 176.59395973] ; [101.59395973  73.40604027],0
