Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.811185,[24  4] ; [47 86],[12.34782609 15.65217391] ; [58.65217391 74.34782609],1
p8,1,6e-06,20.484754,[17 12] ; [ 24 108],[ 7.38509317 21.61490683] ; [33.61490683 98.38509317],1
p7,1,3e-05,17.442804,[19 10] ; [32 95],[ 9.48076923 19.51923077] ; [41.51923077 85.48076923],1
v1,1,0.000122,14.759025,[19 10] ; [36 93],[10.09493671 18.90506329] ; [44.90506329 84.09493671],1
s2,1,0.00082,11.194583,[18 11] ; [39 94],[10.2037037 18.7962963] ; [46.7962963 86.2037037],1
s8,1,0.001482,10.101444,[15 12] ; [ 33 100],[ 8.1 18.9] ; [39.9 93.1],0
p4,1,0.001686,9.863575,[15 13] ; [31 99],[ 8.15189873 19.84810127] ; [37.84810127 92.15189873],0
p3,1,0.005752,7.626316,[14 14] ; [ 32 101],[ 8. 20.] ; [38. 95.],0
s5,1,0.006736,7.34195,[10 17] ; [ 19 110],[ 5.01923077 21.98076923] ; [ 23.98076923 105.01923077],0
v4,1,0.008356,6.955544,[28  1] ; [98 34],[22.69565217  6.30434783] ; [103.30434783  28.69565217],0
r4,1,0.010019,6.631535,[26  3] ; [87 46],[20.22839506  8.77160494] ; [92.77160494 40.22839506],0
n6,1,0.010619,6.527913,[24  4] ; [79 52],[18.13836478  9.86163522] ; [84.86163522 46.13836478],0
v2,1,0.015494,5.859421,[17 10] ; [47 78],[11.36842105 15.63157895] ; [52.63157895 72.36842105],0
p9,1,0.019517,5.454587,[21  8] ; [62 66],[15.33121019 13.66878981] ; [67.66878981 60.33121019],0
p5,1,0.031199,4.642002,[ 5 24] ; [  7 121],[ 2.21656051 26.78343949] ; [  9.78343949 118.21656051],0
r3,1,0.032344,4.580172,[27  2] ; [99 33],[22.69565217  6.30434783] ; [103.30434783  28.69565217],0
s7,1,0.058794,3.571078,[14 14] ; [39 86],[ 9.69934641 18.30065359] ; [43.30065359 81.69934641],0
r2,1,0.060484,3.52406,[28  1] ; [107  22],[24.77848101  4.22151899] ; [110.22151899  18.77848101],0
p12,1,0.078276,3.100334,[ 3 26] ; [  4 129],[ 1.25308642 27.74691358] ; [  5.74691358 127.25308642],0
b5,1,0.083122,3.00277,[21  8] ; [73 60],[16.82716049 12.17283951] ; [77.17283951 55.82716049],0
n5,1,0.133435,2.252085,[23  6] ; [85 46],[19.575  9.425] ; [88.425 42.575],0
u3,1,0.13555,2.227765,[9 4] ; [23 27],[6.6031746 6.3968254] ; [25.3968254 24.6031746],0
a2,1,0.139019,2.188787,[ 3 26] ; [ 30 103],[ 5.90740741 23.09259259] ; [ 27.09259259 105.90740741],0
p11,1,0.1591,1.982763,[19 10] ; [68 65],[15.57407407 13.42592593] ; [71.42592593 61.57407407],0
a8,1,0.223819,1.479716,[ 5 22] ; [ 13 114],[ 3.15584416 23.84415584] ; [ 14.84415584 112.15584416],0
u2,1,0.240831,1.375724,[9 4] ; [25 24],[7.12903226 5.87096774] ; [26.87096774 22.12903226],0
s3,1,0.279516,1.169442,[14 14] ; [51 80],[11.44654088 16.55345912] ; [53.55345912 77.44654088],0
r1,1,0.33094,0.945217,[21  8] ; [83 49],[18.73291925 10.26708075] ; [85.26708075 46.73291925],0
p10,1,0.40093,0.705534,[17 12] ; [65 65],[14.95597484 14.04402516] ; [67.04402516 62.95597484],0
a3,1,0.411474,0.674538,[16 13] ; [83 48],[17.94375 11.05625] ; [81.05625 49.94375],0
b1,1,0.538668,0.378014,[16 13] ; [65 68],[14.5 14.5] ; [66.5 66.5],0
b4,1,0.575283,0.313922,[18 11] ; [75 58],[16.64814815 12.35185185] ; [76.35185185 56.64814815],0
a5,1,0.593047,0.285611,[17 12] ; [85 48],[18.25925926 10.74074074] ; [83.74074074 49.25925926],0
p1,1,0.611756,0.257625,[ 3 26] ; [ 10 123],[ 2.32716049 26.67283951] ; [ 10.67283951 122.32716049],0
s1,1,0.620177,0.245618,[ 3 26] ; [ 10 122],[ 2.34161491 26.65838509] ; [ 10.65838509 121.34161491],0
a1,1,0.628065,0.234694,[ 2 27] ; [ 13 120],[ 2.68518519 26.31481481] ; [ 12.31481481 120.68518519],0
n4,1,0.639761,0.219055,[20  9] ; [85 47],[18.91304348 10.08695652] ; [86.08695652 45.91304348],0
u1,1,0.643183,0.214604,[ 3 26] ; [ 18 115],[ 3.75925926 25.24074074] ; [ 17.24074074 115.75925926],0
n3,1,0.655306,0.199275,[4 2] ; [28 21],[3.49090909 2.50909091] ; [28.50909091 20.49090909],0
v3,1,0.666408,0.185832,[11 17] ; [43 80],[10.01324503 17.98675497] ; [43.98675497 79.01324503],0
a6,1,0.716594,0.13178,[18 10] ; [80 52],[17.15 10.85] ; [80.85 51.15],0
a4,1,0.721707,0.126863,[13 16] ; [54 77],[12.14375 16.85625] ; [54.85625 76.14375],0
d3,1,0.73135,0.117876,[15 13] ; [66 66],[14.175 13.825] ; [66.825 65.175],0
b3,1,0.762753,0.091124,[ 8 11] ; [33 53],[ 7.41904762 11.58095238] ; [33.58095238 52.41904762],0
b2,1,0.762753,0.091124,[ 8 11] ; [33 53],[ 7.41904762 11.58095238] ; [33.58095238 52.41904762],0
a7,1,0.824903,0.048949,[18 11] ; [79 53],[17.47204969 11.52795031] ; [79.52795031 52.47204969],0
d5,1,0.869515,0.026986,[18 10] ; [87 45],[18.375  9.625] ; [86.625 45.375],0
n1,1,0.89144,0.018627,[3 3] ; [24 27],[2.84210526 3.15789474] ; [24.15789474 26.84210526],0
u4,1,0.901038,0.015463,[ 1 28] ; [  4 129],[ 0.89506173 28.10493827] ; [  4.10493827 128.89506173],0
d1,1,0.929349,0.007861,[14 15] ; [63 70],[13.78395062 15.21604938] ; [63.21604938 69.78395062],0
d4,1,0.953872,0.003346,[20  8] ; [95 37],[20.125  7.875] ; [94.875 37.125],0
d2,1,0.962062,0.002263,[13 15] ; [61 69],[13.11392405 14.88607595] ; [60.88607595 69.11392405],0
