Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00617,7.5,[ 5 27] ; [5 3],[ 8. 24.] ; [2. 6.],0
p8,1,0.046302,3.970588,[ 3 29] ; [3 5],[ 4.8 27.2] ; [1.2 6.8],0
s1,1,0.086989,2.929224,[ 4 29] ; [3 5],[ 5.63414634 27.36585366] ; [1.36585366 6.63414634],0
s2,1,0.086989,2.929224,[ 4 29] ; [3 5],[ 5.63414634 27.36585366] ; [1.36585366 6.63414634],0
d3,1,0.089848,2.877088,[10 23] ; [5 3],[12.07317073 20.92682927] ; [2.92682927 5.07317073],0
a2,1,0.105301,2.623362,[ 2 31] ; [2 6],[ 3.2195122 29.7804878] ; [0.7804878 7.2195122],0
r1,1,0.150111,2.071118,[13 20] ; [1 7],[11.26829268 21.73170732] ; [2.73170732 5.26829268],0
p3,1,0.15243,2.047765,[ 5 28] ; [3 5],[ 6.43902439 26.56097561] ; [1.56097561 6.43902439],0
u3,1,0.179712,1.8,[ 2 14] ; [1 1],[ 2.66666667 13.33333333] ; [0.33333333 1.66666667],0
r3,1,0.229817,1.441992,[16 17] ; [2 6],[14.48780488 18.51219512] ; [3.51219512 4.48780488],0
a3,1,0.262943,1.253197,[17 15] ; [6 2],[18.4 13.6] ; [4.6 3.4],0
d4,1,0.291875,1.110951,[23 10] ; [4 4],[21.73170732 11.26829268] ; [5.26829268 2.73170732],0
a4,1,0.319984,0.989011,[10 22] ; [4 4],[11.2 20.8] ; [2.8 5.2],0
s6,1,0.335824,0.926307,[ 7 26] ; [3 5],[ 8.04878049 24.95121951] ; [1.95121951 6.04878049],0
s4,1,0.355168,0.854906,[ 4 29] ; [2 6],[ 4.82926829 28.17073171] ; [1.17073171 6.82926829],0
v2,1,0.36131,0.833333,[ 7 25] ; [3 5],[ 8. 24.] ; [2. 6.],0
n2,1,0.427205,0.630409,[ 8 11] ; [2 1],[ 8.63636364 10.36363636] ; [1.36363636 1.63636364],0
b4,1,0.478105,0.503182,[21 12] ; [4 4],[20.12195122 12.87804878] ; [4.87804878 3.12195122],0
n5,1,0.478105,0.503182,[21 12] ; [4 4],[20.12195122 12.87804878] ; [4.87804878 3.12195122],0
p9,1,0.478812,0.501567,[ 8 24] ; [3 5],[ 8.8 23.2] ; [2.2 5.8],0
p4,1,0.506586,0.441113,[ 5 28] ; [2 6],[ 5.63414634 27.36585366] ; [1.36585366 6.63414634],0
p11,1,0.56842,0.325333,[ 9 24] ; [3 5],[ 9.65853659 23.34146341] ; [2.34146341 5.65853659],0
b5,1,0.584871,0.298425,[13 20] ; [4 4],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
a6,1,0.584871,0.298425,[13 20] ; [4 4],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
s7,1,0.589032,0.291859,[ 6 25] ; [2 5],[ 6.52631579 24.47368421] ; [1.47368421 5.52631579],0
s3,1,0.612597,0.25641,[11 21] ; [2 6],[10.4 21.6] ; [2.6 5.4],0
d2,1,0.633553,0.227273,[17 15] ; [5 3],[17.6 14.4] ; [4.4 3.6],0
p1,1,0.662418,0.190599,[ 6 27] ; [2 6],[ 6.43902439 26.56097561] ; [1.56097561 6.43902439],0
r2,1,0.681725,0.16819,[18 13] ; [4 4],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
a7,1,0.684204,0.165431,[15 18] ; [3 5],[14.48780488 18.51219512] ; [3.51219512 4.48780488],0
s8,1,0.770637,0.084997,[ 3 30] ; [1 7],[ 3.2195122 29.7804878] ; [0.7804878 7.2195122],0
d1,1,0.79978,0.064329,[14 19] ; [3 5],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
p7,1,0.81637,0.053925,[ 7 26] ; [2 6],[ 7.24390244 25.75609756] ; [1.75609756 6.24390244],0
d5,1,0.817079,0.053502,[18 15] ; [4 4],[17.70731707 15.29268293] ; [4.29268293 3.70731707],0
n4,1,0.823563,0.049713,[22 11] ; [5 3],[21.73170732 11.26829268] ; [5.26829268 2.73170732],0
a1,1,0.849026,0.036237,[ 5 28] ; [1 7],[ 4.82926829 28.17073171] ; [1.17073171 6.82926829],0
p10,1,0.849842,0.035842,[ 7 25] ; [2 6],[ 7.2 24.8] ; [1.8 6.2],0
a5,1,0.938689,0.005916,[17 16] ; [4 4],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
b1,1,0.938689,0.005916,[17 16] ; [4 4],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
b2,1,0.945119,0.004739,[10 14] ; [2 3],[ 9.93103448 14.06896552] ; [2.06896552 2.93103448],0
b3,1,0.945119,0.004739,[10 14] ; [2 3],[ 9.93103448 14.06896552] ; [2.06896552 2.93103448],0
n6,1,1.0,0.0,[12 20] ; [3 5],[12. 20.] ; [3. 5.],0
