Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003379,8.590853,[ 6 41] ; [8 9],[10.28125 36.71875] ; [ 3.71875 13.28125],0
p2,1,0.00731,7.195294,[20 29] ; [14  4],[24.86567164 24.13432836] ; [9.13432836 8.86567164],0
r4,1,0.007696,7.102883,[23 26] ; [15  3],[27.79104478 21.20895522] ; [10.20895522  7.79104478],0
s6,1,0.009615,6.704938,[11 38] ; [10  8],[15.35820896 33.64179104] ; [ 5.64179104 12.35820896],0
s2,1,0.009619,6.704186,[ 9 40] ; [9 9],[13.1641791 35.8358209] ; [ 4.8358209 13.1641791],0
d4,1,0.019016,5.5,[28 20] ; [16  2],[32. 16.] ; [12.  6.],0
s4,1,0.023489,5.13199,[ 5 44] ; [ 6 12],[ 8.04477612 40.95522388] ; [ 2.95522388 15.04477612],0
p4,1,0.028928,4.771895,[11 38] ; [9 9],[14.62686567 34.37313433] ; [ 5.37313433 12.62686567],0
s3,1,0.03406,4.491667,[18 30] ; [12  6],[21.81818182 26.18181818] ; [8.18181818 9.81818182],0
r3,1,0.04219,4.127578,[31 18] ; [16  2],[34.37313433 14.62686567] ; [12.62686567  5.37313433],0
n5,1,0.047494,3.92781,[21 28] ; [ 3 15],[17.55223881 31.44776119] ; [ 6.44776119 11.55223881],0
p8,1,0.055089,3.679398,[10 38] ; [ 8 10],[13.09090909 34.90909091] ; [ 4.90909091 13.09090909],0
b1,1,0.067504,3.342685,[26 23] ; [14  4],[29.25373134 19.74626866] ; [10.74626866  7.25373134],0
v1,1,0.076636,3.134836,[11 38] ; [ 8 10],[13.89552239 35.10447761] ; [ 5.10447761 12.89552239],0
r1,1,0.087613,2.917697,[30 19] ; [15  3],[32.91044776 16.08955224] ; [12.08955224  5.91044776],0
v2,1,0.088514,2.901185,[13 34] ; [9 9],[15.90769231 31.09230769] ; [ 6.09230769 11.90769231],0
u3,1,0.100582,2.696287,[ 9 11] ; [7 2],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
a5,1,0.158675,1.986813,[26 23] ; [13  5],[28.52238806 20.47761194] ; [10.47761194  7.52238806],0
r2,1,0.167896,1.901634,[35 13] ; [16  2],[37.09090909 10.90909091] ; [13.90909091  4.09090909],0
n2,1,0.189854,1.718751,[13 14] ; [4 1],[14.34375 12.65625] ; [2.65625 2.34375],0
d1,1,0.193133,1.693557,[16 33] ; [9 9],[18.28358209 30.71641791] ; [ 6.71641791 11.28358209],0
s8,1,0.200997,1.635112,[ 5 44] ; [ 4 14],[ 6.58208955 42.41791045] ; [ 2.41791045 15.58208955],0
v4,1,0.220332,1.502207,[29 18] ; [14  4],[31.09230769 15.90769231] ; [11.90769231  6.09230769],0
n3,1,0.248749,1.330317,[13 12] ; [4 1],[14.16666667 10.83333333] ; [2.83333333 2.16666667],0
p1,1,0.292328,1.108871,[ 2 46] ; [ 2 16],[ 2.90909091 45.09090909] ; [ 1.09090909 16.90909091],0
p7,1,0.326472,0.96284,[18 31] ; [9 9],[19.74626866 29.25373134] ; [ 7.25373134 10.74626866],0
p6,1,0.378223,0.776471,[ 7 42] ; [ 4 13],[ 8.16666667 40.83333333] ; [ 2.83333333 14.16666667],0
a7,1,0.438845,0.599299,[27 22] ; [ 8 10],[25.59701493 23.40298507] ; [9.40298507 8.59701493],0
d2,1,0.438845,0.599299,[22 27] ; [10  8],[23.40298507 25.59701493] ; [8.59701493 9.40298507],0
a3,1,0.445712,0.581532,[29 19] ; [9 9],[27.63636364 20.36363636] ; [10.36363636  7.63636364],0
b4,1,0.481132,0.496296,[28 21] ; [12  6],[29.25373134 19.74626866] ; [10.74626866  7.25373134],0
p10,1,0.576932,0.311221,[ 8 41] ; [ 4 14],[ 8.7761194 40.2238806] ; [ 3.2238806 14.7761194],0
d5,1,0.593108,0.285516,[32 17] ; [13  5],[32.91044776 16.08955224] ; [12.08955224  5.91044776],0
