Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,30.726638,[131  22] ; [158 107],[105.78229665  47.21770335] ; [183.21770335  81.78229665],1
s2,1,0.0,30.22131,[112  41] ; [121 145],[85.08114558 67.91885442] ; [147.91885442 118.08114558],1
p5,1,0.0,26.432377,[ 37 118] ; [ 17 247],[ 19.97613365 135.02386635] ; [ 34.02386635 229.97613365],1
s3,1,7e-06,20.20262,[109  41] ; [132 132],[87.31884058 62.68115942] ; [153.68115942 110.31884058],1
s7,1,8e-06,19.996038,[106  44] ; [122 133],[84.44444444 65.55555556] ; [143.55555556 111.44444444],1
s8,1,0.000187,13.959563,[98 55] ; [120 146],[79.60381862 73.39618138] ; [138.39618138 127.60381862],1
p10,1,0.000363,12.712257,[144  11] ; [211  53],[131.32458234  23.67541766] ; [223.67541766  40.32458234],1
v1,1,0.000459,12.276459,[107  47] ; [135 125],[90.01932367 63.98067633] ; [151.98067633 108.01932367],1
p7,1,0.000666,11.582637,[117  33] ; [161 100],[101.45985401  48.54014599] ; [176.54014599  84.45985401],1
s4,1,0.00071,11.462098,[ 33 118] ; [ 26 239],[ 21.41586538 129.58413462] ; [ 37.58413462 227.41586538],1
n5,1,0.001234,10.438898,[146   8] ; [224  42],[135.66666667  18.33333333] ; [234.33333333  31.66666667],0
p4,1,0.002628,9.049205,[118  35] ; [166  98],[104.20143885  48.79856115] ; [179.79856115  84.20143885],0
a3,1,0.002875,8.885364,[139  15] ; [210  56],[127.96666667  26.03333333] ; [221.03333333  44.96666667],0
p6,1,0.003548,8.501888,[78 74] ; [ 96 166],[63.88405797 88.11594203] ; [110.11594203 151.88405797],0
n2,1,0.006593,7.38061,[22  2] ; [37 23],[16.85714286  7.14285714] ; [42.14285714 17.85714286],0
p3,1,0.006864,7.308233,[98 56] ; [132 132],[84.73684211 69.26315789] ; [145.26315789 118.73684211],0
n6,1,0.008631,6.897725,[146   7] ; [233  33],[138.39379475  14.60620525] ; [240.60620525  25.39379475],0
p12,1,0.010716,6.511803,[ 23 131] ; [ 19 246],[ 15.43675418 138.56324582] ; [ 26.56324582 238.43675418],0
p2,1,0.015288,5.882915,[139  16] ; [213  51],[130.21479714  24.78520286] ; [221.78520286  42.21479714],0
p9,1,0.022318,5.220802,[141  12] ; [222  41],[133.50721154  19.49278846] ; [229.49278846  33.50721154],0
a5,1,0.030774,4.665542,[142  13] ; [225  42],[134.7985782  20.2014218] ; [232.2014218  34.7985782],0
r4,1,0.032036,4.596592,[148   7] ; [239  28],[142.14454976  12.85545024] ; [244.85545024  22.14454976],0
p8,1,0.034992,4.445584,[96 56] ; [137 124],[85.75302663 66.24697337] ; [147.24697337 113.75302663],0
n1,1,0.040138,4.212036,[14 10] ; [20 39],[ 9.8313253 14.1686747] ; [24.1686747 34.8313253],0
b5,1,0.04349,4.076239,[82 73] ; [168  99],[91.82464455 63.17535545] ; [158.17535545 108.82464455],0
p1,1,0.067269,3.348437,[ 20 135] ; [ 20 247],[ 14.69194313 140.30805687] ; [ 25.30805687 241.69194313],0
u1,1,0.10928,2.5646,[ 52 103] ; [ 70 197],[ 44.81042654 110.18957346] ; [ 77.18957346 189.81042654],0
u3,1,0.109706,2.558453,[12  4] ; [30 27],[9.20547945 6.79452055] ; [32.79452055 24.20547945],0
b2,1,0.111528,2.532435,[48 58] ; [ 61 110],[41.71119134 64.28880866] ; [ 67.28880866 103.71119134],0
b3,1,0.111528,2.532435,[48 58] ; [ 61 110],[41.71119134 64.28880866] ; [ 67.28880866 103.71119134],0
v4,1,0.114719,2.487978,[150   4] ; [251  16],[146.68408551   7.31591449] ; [254.31591449  12.68408551],0
r1,1,0.147422,2.098728,[138  16] ; [225  41],[133.1  20.9] ; [229.9  36.1],0
v3,1,0.168821,1.893378,[78 74] ; [112 141],[71.30864198 80.69135802] ; [118.69135802 134.30864198],0
u4,1,0.171113,1.873164,[  3 152] ; [ 12 255],[  5.50947867 149.49052133] ; [  9.49052133 257.50947867],0
a7,1,0.19099,1.709963,[110  44] ; [206  61],[115.59144893  38.40855107] ; [200.40855107  66.59144893],0
a4,1,0.201555,1.631068,[101  54] ; [156 109],[94.8452381 60.1547619] ; [162.1547619 102.8452381],0
a8,1,0.251253,1.316325,[ 17 119] ; [ 40 196],[ 20.83870968 115.16129032] ; [ 36.16129032 199.83870968],0
a2,1,0.265112,1.241867,[63 92] ; [ 94 173],[57.66587678 97.33412322] ; [ 99.33412322 167.66587678],0
n3,1,0.300267,1.073009,[19  5] ; [40 19],[17.06024096  6.93975904] ; [41.93975904 17.06024096],0
b4,1,0.331634,0.942508,[98 57] ; [156 111],[93.29383886 61.70616114] ; [160.70616114 106.29383886],0
r2,1,0.374971,0.787126,[151   3] ; [251   9],[149.53623188   4.46376812] ; [252.46376812   7.53623188],0
a6,1,0.425248,0.635768,[109  44] ; [199  67],[112.46778043  40.53221957] ; [195.53221957  70.46778043],0
v2,1,0.442675,0.589339,[97 55] ; [156 104],[93.33980583 58.66019417] ; [159.66019417 100.33980583],0
s1,1,0.528862,0.396577,[  4 148] ; [ 10 254],[  5.11538462 146.88461538] ; [  8.88461538 255.11538462],0
a1,1,0.654977,0.199683,[ 11 144] ; [ 16 251],[  9.91706161 145.08293839] ; [ 17.08293839 249.91706161],0
d4,1,0.665592,0.186802,[150   2] ; [261   5],[149.45454545   2.54545455] ; [261.54545455   4.45454545],0
d2,1,0.666369,0.185879,[117  35] ; [199  66],[115.18465228  36.81534772] ; [200.81534772  64.18465228],0
u2,1,0.750902,0.100774,[8 7] ; [33 24],[8.54166667 6.45833333] ; [32.45833333 24.54166667],0
p11,1,0.82821,0.047088,[129  26] ; [220  47],[128.18720379  26.81279621] ; [220.81279621  46.18720379],0
r3,1,0.870649,0.026515,[145   8] ; [254  13],[145.35   7.65] ; [253.65  13.35],0
d3,1,0.916992,0.010863,[136  18] ; [234  32],[135.66666667  18.33333333] ; [234.33333333  31.66666667],0
d5,1,0.953435,0.00341,[150   3] ; [261   5],[150.07875895   2.92124105] ; [260.92124105   5.07875895],0
b1,1,0.978435,0.000731,[60 95] ; [103 164],[59.86966825 95.13033175] ; [103.13033175 163.86966825],0
