Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,41.907721,[76  1] ; [42 35],[59. 18.] ; [59. 18.],1
v4,1,0.0,31.650506,[74  3] ; [44 32],[59.38562092 17.61437908] ; [58.61437908 17.38562092],1
r2,1,0.0,27.760087,[70  6] ; [40 34],[55.73333333 20.26666667] ; [54.26666667 19.73333333],1
p9,1,1e-05,19.549576,[66  9] ; [41 33],[53.8590604 21.1409396] ; [53.1409396 20.8590604],1
p10,1,2.4e-05,17.806935,[61 15] ; [36 40],[48.5 27.5] ; [48.5 27.5],1
n6,1,3.6e-05,17.068091,[67 10] ; [44 33],[55.5 21.5] ; [55.5 21.5],1
b5,1,0.001219,10.46065,[57 20] ; [38 40],[47.19354839 29.80645161] ; [47.80645161 30.19354839],0
p11,1,0.003679,8.436005,[56 21] ; [39 39],[47.19354839 29.80645161] ; [47.80645161 30.19354839],0
p2,1,0.004551,8.049557,[57 20] ; [40 37],[48.5 28.5] ; [48.5 28.5],0
s6,1,0.004793,7.956,[42 33] ; [26 52],[33.33333333 41.66666667] ; [34.66666667 43.33333333],0
n2,1,0.006132,7.51099,[20  2] ; [18 14],[15.48148148  6.51851852] ; [22.51851852  9.48148148],0
s3,1,0.010656,6.521833,[40 37] ; [24 52],[32.20915033 44.79084967] ; [31.79084967 44.20915033],0
b1,1,0.017624,5.633099,[25 52] ; [40 38],[32.29032258 44.70967742] ; [32.70967742 45.29032258],0
d5,1,0.023715,5.11534,[55 22] ; [42 36],[48.18709677 28.81290323] ; [48.81290323 29.18709677],0
s2,1,0.024963,5.026485,[34 43] ; [21 57],[27.32258065 49.67741935] ; [27.67741935 50.32258065],0
s8,1,0.033542,4.517921,[19 58] ; [ 9 69],[13.90967742 63.09032258] ; [14.09032258 63.90967742],0
p3,1,0.034228,4.483259,[31 46] ; [19 59],[24.83870968 52.16129032] ; [25.16129032 52.83870968],0
p7,1,0.059817,3.542439,[36 40] ; [25 52],[30.30065359 45.69934641] ; [30.69934641 46.30065359],0
a7,1,0.061289,3.502146,[49 28] ; [38 40],[43.21935484 33.78064516] ; [43.78064516 34.21935484],0
a1,1,0.075071,3.168505,[ 3 74] ; [ 9 69],[ 5.96129032 71.03870968] ; [ 6.03870968 71.96129032],0
p5,1,0.117522,2.450032,[ 8 68] ; [ 3 73],[ 5.5 70.5] ; [ 5.5 70.5],0
p4,1,0.118646,2.435111,[33 44] ; [24 54],[28.31612903 48.68387097] ; [28.68387097 49.31612903],0
s1,1,0.177279,1.820291,[ 1 76] ; [ 4 74],[ 2.48387097 74.51612903] ; [ 2.51612903 75.48387097],0
n5,1,0.197071,1.663951,[54 23] ; [47 31],[50.17419355 26.82580645] ; [50.82580645 27.17419355],0
s5,1,0.21042,1.568534,[16 57] ; [11 67],[13.05298013 59.94701987] ; [13.94701987 64.05298013],0
n3,1,0.217946,1.517848,[16  6] ; [18 14],[13.85185185  8.14814815] ; [20.14814815 11.85185185],0
a6,1,0.224895,1.47286,[45 32] ; [38 40],[41.23225806 35.76774194] ; [41.76774194 36.23225806],0
