Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000337,12.851634,[44 58] ; [ 1 23],[36.42857143 65.57142857] ; [ 8.57142857 15.42857143],1
p9,1,0.043197,4.087673,[55 42] ; [19  5],[59.32231405 37.67768595] ; [14.67768595  9.32231405],0
d2,1,0.076279,3.142447,[41 61] ; [ 5 19],[37.23809524 64.76190476] ; [ 8.76190476 15.23809524],0
d4,1,0.093149,2.819095,[87 15] ; [17  7],[84.19047619 17.80952381] ; [19.80952381  4.19047619],0
p5,1,0.111926,2.526815,[ 2 99] ; [ 2 22],[ 3.232 97.768] ; [ 0.768 23.232],0
n4,1,0.120839,2.406417,[43 59] ; [ 6 18],[39.66666667 62.33333333] ; [ 9.33333333 14.66666667],0
r4,1,0.125994,2.341186,[74 28] ; [21  3],[76.9047619 25.0952381] ; [18.0952381  5.9047619],0
p2,1,0.131985,2.268995,[55 47] ; [17  7],[58.28571429 43.71428571] ; [13.71428571 10.28571429],0
s4,1,0.13737,2.20718,[22 80] ; [ 2 22],[19.42857143 82.57142857] ; [ 4.57142857 19.42857143],0
u3,1,0.149775,2.074539,[28 13] ; [6 7],[25.81481481 15.18518519] ; [8.18518519 4.81481481],0
v3,1,0.157371,1.999308,[23 71] ; [ 9 14],[25.70940171 68.29059829] ; [ 6.29059829 16.70940171],0
a4,1,0.166042,1.918316,[41 61] ; [ 6 18],[38.04761905 63.95238095] ; [ 8.95238095 15.04761905],0
a6,1,0.180709,1.791786,[57 45] ; [17  7],[59.9047619 42.0952381] ; [14.0952381  9.9047619],0
r2,1,0.184622,1.760016,[86 14] ; [23  1],[87.90322581 12.09677419] ; [21.09677419  2.90322581],0
a3,1,0.213371,1.548407,[61 41] ; [11 13],[58.28571429 43.71428571] ; [13.71428571 10.28571429],0
p10,1,0.217825,1.518642,[48 51] ; [15  9],[50.70731707 48.29268293] ; [12.29268293 11.70731707],0
u2,1,0.227464,1.456651,[26 14] ; [6 7],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
p1,1,0.263794,1.248737,[ 6 95] ; [ 3 21],[ 7.272 93.728] ; [ 1.728 22.272],0
b5,1,0.290754,1.116125,[63 39] ; [12 12],[60.71428571 41.28571429] ; [14.28571429  9.71428571],0
