Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.007049,7.260504,[28 40] ; [20  8],[34. 34.] ; [14. 14.],0
s6,1,0.011812,6.33881,[17 54] ; [14 14],[22.23232323 48.76767677] ; [ 8.76767677 19.23232323],0
p10,1,0.029546,4.735536,[30 39] ; [19  9],[34.8556701 34.1443299] ; [14.1443299 13.8556701],0
n2,1,0.031277,4.637696,[17 19] ; [12  3],[20.47058824 15.52941176] ; [8.52941176 6.47058824],0
v2,1,0.039602,4.234836,[20 48] ; [14 13],[24.33684211 43.66315789] ; [ 9.66315789 17.33684211],0
p2,1,0.062723,3.463875,[31 38] ; [19 10],[35.20408163 33.79591837] ; [14.79591837 14.20408163],0
n3,1,0.083705,2.991453,[14 21] ; [10  5],[16.8 18.2] ; [7.2 7.8],0
u1,1,0.088838,2.89531,[ 3 68] ; [ 4 25],[ 4.97 66.03] ; [ 2.03 26.97],0
a3,1,0.109132,2.566745,[36 34] ; [20  9],[39.5959596 30.4040404] ; [16.4040404 12.5959596],0
p11,1,0.13674,2.214266,[30 41] ; [17 12],[33.37 37.63] ; [13.63 15.37],0
r3,1,0.14384,2.136394,[32 37] ; [17 10],[35.21875 33.78125] ; [13.78125 13.21875],0
s8,1,0.155993,2.012651,[ 9 62] ; [ 7 22],[11.36 59.64] ; [ 4.64 24.36],0
u2,1,0.17279,1.858568,[14 20] ; [6 3],[15.81395349 18.18604651] ; [4.18604651 4.81395349],0
p4,1,0.173641,1.851225,[15 55] ; [10 19],[17.67676768 52.32323232] ; [ 7.32323232 21.67676768],0
s3,1,0.200864,1.636081,[20 50] ; [11 15],[22.60416667 47.39583333] ; [ 8.39583333 17.60416667],0
b1,1,0.21871,1.512815,[32 39] ; [17 12],[34.79 36.21] ; [14.21 14.79],0
d2,1,0.250654,1.319657,[30 39] ; [ 9 20],[27.45918367 41.54081633] ; [11.54081633 17.45918367],0
a2,1,0.302625,1.062593,[ 7 64] ; [ 5 24],[ 8.52 62.48] ; [ 3.48 25.52],0
s7,1,0.347974,0.880831,[16 51] ; [ 9 18],[17.81914894 49.18085106] ; [ 7.18085106 19.81914894],0
n6,1,0.358268,0.843956,[37 33] ; [11 15],[35. 35.] ; [13. 13.],0
p5,1,0.361226,0.833626,[ 2 67] ; [ 2 27],[ 2.81632653 66.18367347] ; [ 1.18367347 27.81632653],0
u3,1,0.361855,0.831444,[10 25] ; [4 5],[11.13636364 23.86363636] ; [2.86363636 6.13636364],0
p7,1,0.385229,0.753949,[19 49] ; [10 17],[20.75789474 47.24210526] ; [ 8.24210526 18.75789474],0
a5,1,0.46294,0.538776,[31 40] ; [15 14],[32.66 38.34] ; [13.34 15.66],0
v3,1,0.475639,0.508846,[13 57] ; [ 7 21],[14.28571429 55.71428571] ; [ 5.71428571 22.28571429],0
d3,1,0.499453,0.456099,[31 39] ; [15 14],[32.52525253 37.47474747] ; [13.47474747 15.52525253],0
p12,1,0.508523,0.437105,[ 1 70] ; [ 1 28],[ 1.42 69.58] ; [ 0.58 28.42],0
n4,1,0.516538,0.4208,[38 33] ; [17 11],[39.44444444 31.55555556] ; [15.55555556 12.44444444],0
s2,1,0.527922,0.39839,[16 55] ; [ 8 20],[17.21212121 53.78787879] ; [ 6.78787879 21.21212121],0
p8,1,0.533008,0.388653,[15 54] ; [ 8 21],[16.19387755 52.80612245] ; [ 6.80612245 22.19387755],0
r1,1,0.568198,0.325706,[22 49] ; [10 17],[23.18367347 47.81632653] ; [ 8.81632653 18.18367347],0
a1,1,0.56833,0.325485,[ 7 64] ; [ 4 25],[ 7.81 63.19] ; [ 3.19 25.81],0
n1,1,0.649873,0.206061,[12 24] ; [6 9],[12.70588235 23.29411765] ; [5.29411765 9.70588235],0
a6,1,0.673878,0.177099,[31 40] ; [14 15],[31.95 39.05] ; [13.05 15.95],0
d1,1,0.689089,0.160073,[25 46] ; [ 9 20],[24.14 46.86] ; [ 9.86 19.14],0
p6,1,0.709893,0.138384,[ 9 60] ; [ 3 26],[ 8.44897959 60.55102041] ; [ 3.55102041 25.44897959],0
b5,1,0.727638,0.121292,[37 34] ; [14 15],[36.21 34.79] ; [14.79 14.21],0
a4,1,0.72988,0.119221,[24 46] ; [11 18],[24.74747475 45.25252525] ; [10.25252525 18.74747475],0
s1,1,0.776863,0.080321,[ 4 67] ; [ 2 26],[ 4.3030303 66.6969697] ; [ 1.6969697 26.3030303],0
r2,1,0.80243,0.062602,[38 29] ; [14 12],[37.46236559 29.53763441] ; [14.53763441 11.46236559],0
v4,1,0.859972,0.031121,[40 29] ; [15 10],[40.37234043 28.62765957] ; [14.62765957 10.37234043],0
b2,1,0.908436,0.013228,[17 25] ; [ 7 11],[16.8 25.2] ; [ 7.2 10.8],0
b3,1,0.908436,0.013228,[17 25] ; [ 7 11],[16.8 25.2] ; [ 7.2 10.8],0
b4,1,0.935941,0.00646,[41 30] ; [17 12],[41.18 29.82] ; [16.82 12.18],0
d5,1,0.935941,0.00646,[41 30] ; [17 12],[41.18 29.82] ; [16.82 12.18],0
