Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.2e-05,19.243636,[3 8] ; [24  1],[8.25 2.75] ; [18.75  6.25],1
n5,1,0.002413,9.20523,[3 8] ; [20  5],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
p11,1,0.017383,5.657287,[5 6] ; [21  4],[7.94444444 3.05555556] ; [18.05555556  6.94444444],0
v2,1,0.026856,4.90007,[2 9] ; [14 10],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
u2,1,0.035774,4.407857,[1 4] ; [9 3],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
n3,1,0.078983,3.085714,[4 1] ; [2 5],[2.5 2.5] ; [3.5 3.5],0
s5,1,0.096821,2.757147,[ 1 10] ; [ 9 16],[3.05555556 7.94444444] ; [ 6.94444444 18.05555556],0
p8,1,0.108665,2.573529,[3 7] ; [15 10],[5.14285714 4.85714286] ; [12.85714286 12.14285714],0
r4,1,0.13738,2.207066,[2 9] ; [11 14],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
p6,1,0.200825,1.636364,[2 9] ; [10 15],[3.66666667 7.33333333] ; [ 8.33333333 16.66666667],0
v3,1,0.200825,1.636364,[2 9] ; [10 15],[3.66666667 7.33333333] ; [ 8.33333333 16.66666667],0
n4,1,0.201176,1.633813,[5 6] ; [17  8],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
s7,1,0.248381,1.332389,[2 8] ; [ 9 13],[3.4375 6.5625] ; [ 7.5625 14.4375],0
p5,1,0.251943,1.3125,[1 9] ; [ 7 18],[2.28571429 7.71428571] ; [ 5.71428571 19.28571429],0
n1,1,0.276278,1.185306,[3 2] ; [2 5],[2.08333333 2.91666667] ; [2.91666667 4.08333333],0
d1,1,0.285029,1.142955,[2 9] ; [ 9 16],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
d2,1,0.285029,1.142955,[2 9] ; [ 9 16],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
r3,1,0.29627,1.090909,[7 4] ; [20  5],[8.25 2.75] ; [18.75  6.25],0
d4,1,0.29627,1.090909,[7 4] ; [20  5],[8.25 2.75] ; [18.75  6.25],0
s4,1,0.297798,1.08403,[ 1 10] ; [ 6 19],[2.13888889 8.86111111] ; [ 4.86111111 20.13888889],0
s6,1,0.298488,1.080935,[5 6] ; [16  9],[6.41666667 4.58333333] ; [14.58333333 10.41666667],0
s3,1,0.298488,1.080935,[6 5] ; [ 9 16],[4.58333333 6.41666667] ; [10.41666667 14.58333333],0
a8,1,0.33602,0.925556,[2 8] ; [ 2 22],[1.17647059 8.82352941] ; [ 2.82352941 21.17647059],0
n2,1,0.407626,0.685714,[4 1] ; [4 3],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
a5,1,0.418492,0.654545,[5 6] ; [15 10],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
p2,1,0.43115,0.619722,[8 3] ; [21  4],[8.86111111 2.13888889] ; [20.13888889  4.86111111],0
n6,1,0.445513,0.582042,[7 4] ; [19  6],[7.94444444 3.05555556] ; [18.05555556  6.94444444],0
r1,1,0.463956,0.536333,[3 8] ; [10 15],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
a4,1,0.463956,0.536333,[3 8] ; [10 15],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
b4,1,0.463956,0.536333,[3 8] ; [10 15],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
v1,1,0.517482,0.418909,[4 7] ; [12 13],[4.88888889 6.11111111] ; [11.11111111 13.88888889],0
b5,1,0.517482,0.418909,[7 4] ; [13 12],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
b2,1,0.518647,0.416583,[1 6] ; [ 4 11],[1.59090909 5.40909091] ; [ 3.40909091 11.59090909],0
b3,1,0.518647,0.416583,[1 6] ; [ 4 11],[1.59090909 5.40909091] ; [ 3.40909091 11.59090909],0
s1,1,0.539038,0.377326,[ 1 10] ; [ 1 24],[ 0.61111111 10.38888889] ; [ 1.38888889 23.61111111],0
p12,1,0.580832,0.304891,[ 1 10] ; [ 4 21],[1.52777778 9.47222222] ; [ 3.47222222 21.52777778],0
v4,1,0.615795,0.251821,[7 4] ; [18  7],[7.63888889 3.36111111] ; [17.36111111  7.63888889],0
p7,1,0.615795,0.251821,[7 4] ; [18  7],[7.63888889 3.36111111] ; [17.36111111  7.63888889],0
s2,1,0.668576,0.183273,[4 7] ; [11 14],[4.58333333 6.41666667] ; [10.41666667 14.58333333],0
u3,1,0.70663,0.141667,[2 3] ; [6 6],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
d3,1,0.759766,0.093506,[6 5] ; [15 10],[6.41666667 4.58333333] ; [14.58333333 10.41666667],0
d5,1,0.798074,0.065455,[7 4] ; [17  8],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
p3,1,0.836664,0.042503,[7 4] ; [15 10],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
b1,1,0.836664,0.042503,[7 4] ; [15 10],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
a7,1,0.887931,0.019859,[5 6] ; [12 13],[5.19444444 5.80555556] ; [11.80555556 13.19444444],0
a3,1,0.887931,0.019859,[6 5] ; [13 12],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
a1,1,0.91313,0.011901,[ 1 10] ; [ 2 23],[ 0.91666667 10.08333333] ; [ 2.08333333 22.91666667],0
a6,1,0.935518,0.006545,[6 5] ; [14 11],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
