Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.007148,7.235468,[2 3] ; [26  3],[4.11764706 0.88235294] ; [23.88235294  5.11764706],0
p3,1,0.013666,6.080796,[1 4] ; [22  7],[3.38235294 1.61764706] ; [19.61764706  9.38235294],0
n4,1,0.018278,5.569276,[2 3] ; [25  4],[3.97058824 1.02941176] ; [23.02941176  5.97058824],0
r3,1,0.033854,4.502069,[3 2] ; [27  2],[4.41176471 0.58823529] ; [25.58823529  3.41176471],0
n5,1,0.033854,4.502069,[3 2] ; [27  2],[4.41176471 0.58823529] ; [25.58823529  3.41176471],0
s6,1,0.065755,3.385931,[2 3] ; [23  6],[3.67647059 1.32352941] ; [21.32352941  7.67647059],0
s7,1,0.074447,3.182143,[2 3] ; [22  6],[3.63636364 1.36363636] ; [20.36363636  7.63636364],0
b4,1,0.110067,2.553257,[4 1] ; [12 17],[2.35294118 2.64705882] ; [13.64705882 15.35294118],0
s3,1,0.110067,2.553257,[1 4] ; [17 12],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
v4,1,0.146306,2.110345,[4 1] ; [28  1],[4.70588235 0.29411765] ; [27.29411765  1.70588235],0
p8,1,0.152474,2.047322,[2 3] ; [21  8],[3.38235294 1.61764706] ; [19.61764706  9.38235294],0
p4,1,0.155707,2.015435,[3 2] ; [25  4],[4.11764706 0.88235294] ; [23.88235294  5.11764706],0
a2,1,0.155707,2.015435,[2 3] ; [ 4 25],[0.88235294 4.11764706] ; [ 5.11764706 23.88235294],0
p6,1,0.205537,1.602586,[1 3] ; [17 12],[2.18181818 1.81818182] ; [15.81818182 13.18181818],0
v3,1,0.270713,1.213131,[1 4] ; [13 15],[2.12121212 2.87878788] ; [11.87878788 16.12121212],0
a4,1,0.278203,1.175849,[3 2] ; [10 19],[1.91176471 3.08823529] ; [11.08823529 17.91176471],0
r1,1,0.347158,0.88382,[3 2] ; [23  6],[3.82352941 1.17647059] ; [22.17647059  6.82352941],0
d3,1,0.363602,0.825414,[4 1] ; [17 12],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
a5,1,0.438419,0.600418,[4 1] ; [18 11],[3.23529412 1.76470588] ; [18.76470588 10.23529412],0
v2,1,0.478247,0.502857,[3 2] ; [12 16],[2.27272727 2.72727273] ; [12.72727273 15.27272727],0
d2,1,0.530172,0.394061,[3 2] ; [13 16],[2.35294118 2.64705882] ; [13.64705882 15.35294118],0
p2,1,0.557867,0.343411,[3 1] ; [25  4],[3.39393939 0.60606061] ; [24.60606061  4.39393939],0
a3,1,0.616994,0.250115,[4 1] ; [20  9],[3.52941176 1.47058824] ; [20.47058824  8.52941176],0
d1,1,0.732046,0.117241,[3 2] ; [15 14],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
n3,1,0.857714,0.032143,[1 1] ; [3 4],[0.88888889 1.11111111] ; [3.11111111 3.88888889],0
d4,1,0.881208,0.022332,[4 1] ; [24  5],[4.11764706 0.88235294] ; [23.88235294  5.11764706],0
p7,1,0.913303,0.011853,[3 1] ; [21  8],[2.90909091 1.09090909] ; [21.09090909  7.90909091],0
a7,1,0.929939,0.00773,[3 2] ; [18 11],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
s8,1,0.953847,0.00335,[3 2] ; [17 12],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
a6,1,0.953847,0.00335,[3 2] ; [17 12],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
u1,1,0.971902,0.001241,[1 4] ; [ 6 23],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
v1,1,0.975287,0.00096,[3 2] ; [16 11],[2.96875 2.03125] ; [16.03125 10.96875],0
b3,1,1.0,0.0,[2 2] ; [12 12],[2. 2.] ; [12. 12.],0
b2,1,1.0,0.0,[2 2] ; [12 12],[2. 2.] ; [12. 12.],0
