Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.009949,6.643951,[1 4] ; [8 1],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
a3,1,0.036331,4.381481,[1 4] ; [7 2],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
s2,1,0.094264,2.8,[1 4] ; [6 3],[2.5 2.5] ; [4.5 4.5],0
a6,1,0.157504,1.998025,[2 3] ; [7 2],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
r2,1,0.157504,1.998025,[2 3] ; [7 2],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
d5,1,0.157504,1.998025,[2 3] ; [7 2],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
a7,1,0.197703,1.659259,[4 1] ; [4 5],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
d1,1,0.197703,1.659259,[1 4] ; [5 4],[2.14285714 2.85714286] ; [3.85714286 5.14285714],0
p9,1,0.20686,1.593266,[3 2] ; [8 1],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
s3,1,0.20686,1.593266,[3 2] ; [8 1],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
a4,1,0.360387,0.836543,[1 4] ; [4 5],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
d3,1,0.360387,0.836543,[1 4] ; [4 5],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
v2,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
n4,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
p4,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
n5,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
p10,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
v3,1,0.505985,0.442361,[1 4] ; [3 5],[1.53846154 3.46153846] ; [2.46153846 5.53846154],0
u3,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
s8,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
p8,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
r1,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
r4,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
b4,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
v1,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
p2,1,0.648807,0.207407,[4 1] ; [8 1],[4.28571429 0.71428571] ; [7.71428571 1.28571429],0
p5,1,0.648807,0.207407,[1 4] ; [1 8],[0.71428571 4.28571429] ; [1.28571429 7.71428571],0
p12,1,0.715388,0.132955,[1 4] ; [1 7],[0.76923077 4.23076923] ; [1.23076923 6.76923077],0
n6,1,0.803017,0.062222,[3 2] ; [6 3],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
d4,1,0.803017,0.062222,[3 2] ; [6 3],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
d2,1,0.803017,0.062222,[3 2] ; [6 3],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
p11,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
p7,1,0.92265,0.009428,[4 1] ; [7 2],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
a8,1,0.92265,0.009428,[1 4] ; [2 7],[1.07142857 3.92857143] ; [1.92857143 7.07142857],0
u2,1,1.0,0.0,[2 2] ; [1 1],[2. 2.] ; [1. 1.],0
