Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.4e-05,18.872835,[22 46] ; [29  9],[32.71698113 35.28301887] ; [18.28301887 19.71698113],1
p3,1,0.026348,4.933029,[29 42] ; [24 14],[34.52293578 36.47706422] ; [18.47706422 19.52293578],0
d5,1,0.032286,4.58322,[43 29] ; [15 24],[37.62162162 34.37837838] ; [20.37837838 18.62162162],0
p1,1,0.040389,4.201486,[ 8 64] ; [10 28],[11.78181818 60.21818182] ; [ 6.21818182 31.78181818],0
r1,1,0.047836,3.915729,[47 23] ; [33  6],[51.37614679 18.62385321] ; [28.62385321 10.37614679],0
n4,1,0.056526,3.636478,[46 25] ; [32  7],[50.34545455 20.65454545] ; [27.65454545 11.34545455],0
p2,1,0.071749,3.242554,[60 12] ; [26 12],[56.29090909 15.70909091] ; [29.70909091  8.29090909],0
p5,1,0.080058,3.06373,[ 4 67] ; [ 6 32],[ 6.51376147 64.48623853] ; [ 3.48623853 34.51376147],0
r2,1,0.080907,3.046582,[63  9] ; [38  1],[65.51351351  6.48648649] ; [35.48648649  3.51351351],0
s5,1,0.098661,2.727052,[13 58] ; [12 25],[16.43518519 54.56481481] ; [ 8.56481481 28.43518519],0
p8,1,0.105167,2.625387,[30 38] ; [23 15],[34. 34.] ; [19. 19.],0
p6,1,0.126224,2.338336,[18 53] ; [15 23],[21.49541284 49.50458716] ; [11.50458716 26.49541284],0
b4,1,0.137264,2.208367,[30 42] ; [22 17],[33.72972973 38.27027027] ; [18.27027027 20.72972973],0
s4,1,0.164485,1.932504,[15 56] ; [ 4 34],[12.37614679 58.62385321] ; [ 6.62385321 31.37614679],0
r4,1,0.186725,1.743269,[60 12] ; [36  3],[62.27027027  9.72972973] ; [33.72972973  5.27027027],0
p7,1,0.203101,1.619932,[41 30] ; [26 11],[44.0462963 26.9537037] ; [22.9537037 14.0462963],0
v1,1,0.208439,1.582235,[32 37] ; [23 16],[35.13888889 33.86111111] ; [19.86111111 19.13888889],0
s8,1,0.218477,1.514344,[27 44] ; [10 28],[24.10091743 46.89908257] ; [12.89908257 25.10091743],0
d3,1,0.224093,1.477963,[21 50] ; [16 23],[23.88181818 47.11818182] ; [13.11818182 25.88181818],0
n5,1,0.233451,1.419714,[51 20] ; [32  7],[53.57272727 17.42727273] ; [29.42727273  9.57272727],0
a3,1,0.255795,1.291371,[37 33] ; [25 14],[39.81651376 30.18348624] ; [22.18348624 16.81651376],0
p11,1,0.259054,1.273803,[48 24] ; [30  9],[50.59459459 21.40540541] ; [27.40540541 11.59459459],0
d2,1,0.316179,1.004686,[19 53] ; [ 7 32],[16.86486486 55.13513514] ; [ 9.13513514 29.86486486],0
u3,1,0.319383,0.991472,[17 18] ; [9 5],[18.57142857 16.42857143] ; [7.42857143 6.57142857],0
