Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,1e-06,23.52,[  8 132] ; [4 3],[ 11.42857143 128.57142857] ; [0.57142857 6.42857143],1
a4,1,0.000243,13.467822,[ 32 106] ; [6 1],[ 36.16551724 101.83448276] ; [1.83448276 5.16551724],1
a1,1,0.000792,11.259574,[  4 136] ; [2 5],[  5.71428571 134.28571429] ; [0.28571429 6.71428571],1
p1,1,0.016166,5.78472,[ 16 123] ; [3 4],[ 18.0890411 120.9109589] ; [0.9109589 6.0890411],0
a8,1,0.095838,2.773476,[ 14 115] ; [2 4],[ 15.28888889 113.71111111] ; [0.71111111 5.28888889],0
u1,1,0.103541,2.650141,[  4 136] ; [1 6],[  4.76190476 135.23809524] ; [0.23809524 6.76190476],0
a7,1,0.117525,2.45,[78 62] ; [6 1],[80. 60.] ; [4. 3.],0
p8,1,0.122851,2.380598,[56 78] ; [5 2],[57.97163121 76.02836879] ; [3.02836879 3.97163121],0
a6,1,0.125728,2.344469,[79 61] ; [6 1],[80.95238095 59.04761905] ; [4.04761905 2.95238095],0
s7,1,0.172571,1.860465,[50 79] ; [4 2],[51.6 77.4] ; [2.4 3.6],0
s2,1,0.201456,1.631785,[46 91] ; [4 3],[47.56944444 89.43055556] ; [2.43055556 4.56944444],0
b4,1,0.223423,1.48225,[73 67] ; [2 5],[71.42857143 68.57142857] ; [3.57142857 3.42857143],0
p3,1,0.22666,1.461702,[58 81] ; [4 2],[59.43448276 79.56551724] ; [2.56551724 3.43448276],0
v4,1,0.240833,1.375709,[121  18] ; [5 2],[119.95890411  19.04109589] ; [6.04109589 0.95890411],0
s6,1,0.245661,1.34781,[78 58] ; [2 4],[76.61971831 59.38028169] ; [3.38028169 2.61971831],0
b5,1,0.354568,0.857043,[75 65] ; [5 2],[76.19047619 63.80952381] ; [3.80952381 3.19047619],0
v1,1,0.366492,0.815523,[63 74] ; [2 5],[61.84027778 75.15972222] ; [3.15972222 3.84027778],0
p2,1,0.366955,0.81395,[97 42] ; [6 1],[98.06164384 40.93835616] ; [4.93835616 2.06164384],0
p7,1,0.397449,0.716031,[75 61] ; [5 2],[76.08391608 59.91608392] ; [3.91608392 3.08391608],0
p6,1,0.449332,0.572335,[40 96] ; [3 4],[40.8951049 95.1048951] ; [2.1048951 4.8951049],0
v2,1,0.496627,0.462136,[54 76] ; [2 5],[53.13868613 76.86131387] ; [2.86131387 4.13868613],0
r4,1,0.54437,0.3675,[106  34] ; [6 1],[106.66666667  33.33333333] ; [5.33333333 1.66666667],0
b3,1,0.55401,0.350182,[23 60] ; [2 3],[23.57954545 59.42045455] ; [1.42045455 3.57954545],0
b2,1,0.55401,0.350182,[23 60] ; [2 3],[23.57954545 59.42045455] ; [1.42045455 3.57954545],0
s8,1,0.574039,0.315972,[45 93] ; [3 4],[45.68275862 92.31724138] ; [2.31724138 4.68275862],0
s5,1,0.58182,0.303302,[ 32 104] ; [2 4],[ 32.56338028 103.43661972] ; [1.43661972 4.56338028],0
n1,1,0.605104,0.267367,[20 21] ; [1 2],[19.56818182 21.43181818] ; [1.43181818 1.56818182],0
r1,1,0.653132,0.201975,[87 51] ; [5 2],[87.55862069 50.44137931] ; [4.44137931 2.55862069],0
p4,1,0.671165,0.180242,[68 71] ; [4 3],[68.54794521 70.45205479] ; [3.45205479 3.54794521],0
n6,1,0.680454,0.169615,[111  29] ; [6 1],[111.42857143  28.57142857] ; [5.57142857 1.42857143],0
n2,1,0.71077,0.13751,[32 10] ; [2 1],[31.73333333 10.26666667] ; [2.26666667 0.73333333],0
n3,1,0.729859,0.119241,[31 10] ; [2 1],[30.75 10.25] ; [2.25 0.75],0
r3,1,0.736152,0.113538,[112  27] ; [6 1],[112.34246575  26.65753425] ; [5.65753425 1.34246575],0
s4,1,0.762642,0.091212,[ 26 112] ; [1 6],[ 25.69655172 112.30344828] ; [1.30344828 5.69655172],0
p9,1,0.768557,0.08659,[103  32] ; [5 2],[102.67605634  32.32394366] ; [5.32394366 1.67605634],0
v3,1,0.784082,0.075078,[46 91] ; [2 5],[45.66666667 91.33333333] ; [2.33333333 4.66666667],0
s3,1,0.784677,0.074654,[65 70] ; [3 4],[64.64788732 70.35211268] ; [3.35211268 3.64788732],0
p5,1,0.834846,0.043468,[ 16 121] ; [1 6],[ 16.17361111 120.82638889] ; [0.82638889 6.17361111],0
p10,1,0.946361,0.004526,[98 37] ; [5 2],[97.92253521 37.07746479] ; [5.07746479 1.92253521],0
p11,1,0.967662,0.001644,[99 41] ; [5 2],[99.04761905 40.95238095] ; [4.95238095 2.04761905],0
b1,1,0.97021,0.001395,[59 81] ; [3 4],[59.04761905 80.95238095] ; [2.95238095 4.04761905],0
