Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,36.034112,[199  49] ; [19 30],[182.03367003  65.96632997] ; [35.96632997 13.03367003],1
s2,1,0.0,28.249296,[196  55] ; [20 29],[180.72  70.28] ; [35.28 13.72],1
s5,1,4.1e-05,16.828752,[122 121] ; [ 8 38],[109.30795848 133.69204152] ; [20.69204152 25.30795848],1
s8,1,0.003806,8.374235,[175  74] ; [24 25],[166.27852349  82.72147651] ; [32.72147651 16.27852349],0
r4,1,0.004989,7.883536,[239  13] ; [41  8],[234.41860465  17.58139535] ; [45.58139535  3.41860465],0
r3,1,0.006136,7.510031,[242   8] ; [43  6],[238.29431438  11.70568562] ; [46.70568562  2.29431438],0
p9,1,0.014098,6.02585,[227  22] ; [38 10],[222.17171717  26.82828283] ; [42.82828283  5.17171717],0
r1,1,0.020693,5.352433,[221  30] ; [37 12],[215.86  35.14] ; [42.14  6.86],0
a5,1,0.027485,4.860068,[205  47] ; [33 16],[199.25581395  52.74418605] ; [38.74418605 10.25581395],0
d5,1,0.035942,4.399837,[214  36] ; [36 13],[209.03010033  40.96989967] ; [40.96989967  8.03010033],0
n5,1,0.042807,4.103012,[201  49] ; [33 16],[195.65217391  54.34782609] ; [38.34782609 10.65217391],0
a2,1,0.077154,3.123865,[ 95 157] ; [12 37],[ 89.58139535 162.41860465] ; [17.41860465 31.58139535],0
p6,1,0.105829,2.615428,[108 140] ; [27 21],[113.10810811 134.89189189] ; [21.89189189 26.10810811],0
v1,1,0.127043,2.328264,[148  99] ; [22 24],[143.3105802 103.6894198] ; [26.6894198 19.3105802],0
s4,1,0.137886,2.201398,[ 54 197] ; [ 6 43],[ 50.2 200.8] ; [ 9.8 39.2],0
d1,1,0.177577,1.817784,[174  78] ; [29 20],[169.95348837  82.04651163] ; [33.04651163 15.95348837],0
d2,1,0.186278,1.746811,[143 107] ; [23 26],[138.79598662 111.20401338] ; [27.20401338 21.79598662],0
n1,1,0.206202,1.597896,[20 32] ; [6 4],[21.80645161 30.19354839] ; [4.19354839 5.80645161],0
p3,1,0.225302,1.470276,[133 118] ; [30 18],[136.83277592 114.16722408] ; [26.16722408 21.83277592],0
d4,1,0.226217,1.46449,[220  30] ; [40  9],[217.39130435  32.60869565] ; [42.60869565  6.39130435],0
s1,1,0.254204,1.300051,[ 15 232] ; [ 1 48],[ 13.35135135 233.64864865] ; [ 2.64864865 46.35135135],0
a1,1,0.264108,1.247094,[ 15 237] ; [ 1 48],[ 13.39534884 238.60465116] ; [ 2.60465116 46.39534884],0
b3,1,0.270554,1.213934,[ 64 109] ; [16 18],[ 66.85990338 106.14009662] ; [13.14009662 20.85990338],0
b2,1,0.270554,1.213934,[ 64 109] ; [16 18],[ 66.85990338 106.14009662] ; [13.14009662 20.85990338],0
a4,1,0.271163,1.210855,[124 127] ; [20 29],[120.48 130.52] ; [23.52 25.48],0
n6,1,0.275826,1.187543,[222  27] ; [41  8],[219.75503356  29.24496644] ; [43.24496644  5.75503356],0
u1,1,0.28877,1.125349,[ 81 171] ; [12 37],[ 77.86046512 174.13953488] ; [15.13953488 33.86046512],0
n2,1,0.298817,1.079464,[39 13] ; [9 1],[40.25806452 11.74193548] ; [7.74193548 2.25806452],0
p12,1,0.310558,1.028301,[ 28 224] ; [ 3 45],[ 26.04 225.96] ; [ 4.96 43.04],0
p10,1,0.34697,0.884506,[216  33] ; [40  9],[213.90604027  35.09395973] ; [42.09395973  6.90604027],0
a3,1,0.388184,0.744624,[202  49] ; [36 12],[199.79264214  51.20735786] ; [38.20735786  9.79264214],0
u2,1,0.393147,0.729185,[32 16] ; [7 6],[30.68852459 17.31147541] ; [8.31147541 4.68852459],0
b5,1,0.399787,0.708968,[165  87] ; [29 20],[162.41860465  89.58139535] ; [31.58139535 17.41860465],0
a8,1,0.414055,0.667126,[ 38 184] ; [ 9 31],[ 39.82442748 182.17557252] ; [ 7.17557252 32.82442748],0
p5,1,0.42103,0.647437,[ 43 207] ; [ 6 42],[ 41.10738255 208.89261745] ; [ 7.89261745 40.10738255],0
n3,1,0.425271,0.635703,[35 17] ; [8 2],[36.06451613 15.93548387] ; [6.93548387 3.06451613],0
b1,1,0.460898,0.543712,[ 91 161] ; [15 34],[ 88.74418605 163.25581395] ; [17.25581395 31.74418605],0
v2,1,0.473943,0.512769,[160  86] ; [28 19],[157.84300341  88.15699659] ; [30.15699659 16.84300341],0
p1,1,0.487793,0.481391,[ 29 222] ; [ 4 45],[ 27.61 223.39] ; [ 5.39 43.61],0
p7,1,0.578891,0.308031,[166  75] ; [35 13],[167.61591696  73.38408304] ; [33.38408304 14.61591696],0
