Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,108.510751,[10 32] ; [691 113],[34.80141844  7.19858156] ; [666.19858156 137.80141844],1
v4,1,0.0,46.859983,[32  9] ; [787  19],[39.6446281  1.3553719] ; [779.3553719  26.6446281],1
a5,1,0.000239,13.499907,[21 22] ; [600 207],[31.41529412 11.58470588] ; [589.58470588 217.41529412],1
n4,1,0.00037,12.675963,[23 20] ; [622 183],[32.70636792 10.29363208] ; [612.29363208 192.70636792],1
s8,1,0.004864,7.929456,[10 33] ; [362 440],[18.93017751 24.06982249] ; [353.06982249 448.93017751],0
n6,1,0.006012,7.546764,[29 13] ; [682 121],[35.33964497  6.66035503] ; [675.66035503 127.33964497],0
n3,1,0.008127,7.005366,[8 9] ; [128  39],[12.56521739  4.43478261] ; [123.43478261  43.56521739],0
p11,1,0.010097,6.617662,[27 16] ; [641 167],[33.75323149  9.24676851] ; [634.24676851 173.75323149],0
p9,1,0.010849,6.489857,[30 13] ; [670 123],[36.00478469  6.99521531] ; [663.99521531 129.00478469],0
p4,1,0.013259,6.134287,[17 25] ; [477 321],[24.7 17.3] ; [469.3 328.7],0
n5,1,0.014019,6.035811,[24 18] ; [596 206],[30.85308057 11.14691943] ; [589.14691943 212.85308057],0
p10,1,0.017445,5.65102,[27 14] ; [644 151],[32.90789474  8.09210526] ; [638.09210526 156.90789474],0
u1,1,0.018761,5.523654,[ 2 41] ; [152 656],[ 7.78143361 35.21856639] ; [146.21856639 661.78143361],0
a7,1,0.024325,5.071344,[25 18] ; [594 211],[31.3879717 11.6120283] ; [587.6120283 217.3879717],0
p8,1,0.02455,5.055348,[14 27] ; [413 379],[21.01680672 19.98319328] ; [405.98319328 386.01680672],0
p7,1,0.028889,4.774245,[20 22] ; [504 280],[26.6440678 15.3559322] ; [497.3559322 286.6440678],0
p2,1,0.030229,4.696237,[28 12] ; [668 134],[33.06413302  6.93586698] ; [662.93586698 139.06413302],0
u3,1,0.030601,4.675218,[ 6 11] ; [143  88],[10.21370968  6.78629032] ; [138.78629032  92.21370968],0
v1,1,0.030734,4.667753,[15 25] ; [433 355],[21.64251208 18.35748792] ; [426.35748792 361.64251208],0
p3,1,0.031305,4.636142,[14 28] ; [404 398],[20.80094787 21.19905213] ; [397.19905213 404.80094787],0
s6,1,0.032177,4.589045,[22 20] ; [538 250],[28.3373494 13.6626506] ; [531.6626506 256.3373494],0
a2,1,0.1038,2.646166,[ 6 37] ; [201 607],[10.45945946 32.54054054] ; [196.54054054 611.45945946],0
a6,1,0.124818,2.355793,[25 18] ; [557 247],[29.54663518 13.45336482] ; [552.45336482 251.54663518],0
p1,1,0.153572,2.036409,[ 1 41] ; [ 69 732],[ 3.48754448 38.51245552] ; [ 66.51245552 734.48754448],0
a4,1,0.159701,1.977056,[15 28] ; [369 436],[19.47169811 23.52830189] ; [364.52830189 440.47169811],0
n2,1,0.161759,1.957709,[11  7] ; [128  40],[13.4516129  4.5483871] ; [125.5483871  42.4516129],0
n1,1,0.167264,1.907296,[ 4 14] ; [ 64 101],[ 6.68852459 11.31147541] ; [ 61.31147541 103.68852459],0
a3,1,0.185015,1.756873,[26 16] ; [575 230],[29.80165289 12.19834711] ; [571.19834711 233.80165289],0
v3,1,0.210756,1.566223,[13 29] ; [314 458],[16.87223587 25.12776413] ; [310.12776413 461.87223587],0
d3,1,0.288779,1.125303,[26 16] ; [560 244],[29.09219858 12.90780142] ; [556.90780142 247.09219858],0
u2,1,0.320021,0.988863,[7 9] ; [130 100],[8.91056911 7.08943089] ; [128.08943089 101.91056911],0
b2,1,0.365381,0.819312,[ 5 13] ; [187 301],[ 6.83003953 11.16996047] ; [185.16996047 302.83003953],0
b3,1,0.365381,0.819312,[ 5 13] ; [187 301],[ 6.83003953 11.16996047] ; [185.16996047 302.83003953],0
b4,1,0.367549,0.811933,[28 15] ; [470 338],[25.16333725 17.83666275] ; [472.83666275 335.16333725],0
s7,1,0.384784,0.755363,[17 23] ; [382 389],[19.67940814 20.32059186] ; [379.32059186 391.67940814],0
d5,1,0.41365,0.668285,[33 10] ; [657 147],[35.02951594  7.97048406] ; [654.97048406 149.02951594],0
p5,1,0.455764,0.556278,[ 3 39] ; [ 86 712],[ 4.45 37.55] ; [ 84.55 713.45],0
s5,1,0.49144,0.473372,[12 29] ; [266 505],[14.03694581 26.96305419] ; [263.96305419 507.03694581],0
b1,1,0.521061,0.411793,[18 25] ; [299 509],[16.01762632 26.98237368] ; [300.98237368 507.01762632],0
p6,1,0.732066,0.117223,[14 27] ; [291 500],[15.03004808 25.96995192] ; [289.96995192 501.03004808],0
s3,1,0.735072,0.114505,[23 19] ; [457 339],[24.05727924 17.94272076] ; [455.94272076 340.05727924],0
d2,1,0.758402,0.094606,[22 21] ; [392 412],[21.01770956 21.98229044] ; [392.98229044 411.01770956],0
s1,1,0.761898,0.091803,[ 1 42] ; [ 25 769],[ 1.33572282 41.66427718] ; [ 24.66427718 769.33572282],0
s4,1,0.762972,0.09095,[ 8 35] ; [134 662],[ 7.27771156 35.72228844] ; [134.72228844 661.27771156],0
b5,1,0.778741,0.078939,[27 16] ; [490 318],[26.12338425 16.87661575] ; [490.87661575 317.12338425],0
d4,1,0.827215,0.047644,[35  8] ; [664 139],[35.52836879  7.47163121] ; [663.47163121 139.52836879],0
d1,1,0.877704,0.023679,[26 17] ; [479 329],[25.51703878 17.48296122] ; [479.48296122 328.51703878],0
a1,1,0.920265,0.01002,[ 2 41] ; [ 35 773],[ 1.86956522 41.13043478] ; [ 35.13043478 772.86956522],0
s2,1,0.920856,0.009871,[22 21] ; [415 384],[22.31710214 20.68289786] ; [414.68289786 384.31710214],0
v2,1,0.981019,0.000566,[23 17] ; [443 330],[22.92742927 17.07257073] ; [443.07257073 329.92742927],0
