Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,47.392393,[30 76] ; [49  9],[51.06097561 54.93902439] ; [27.93902439 30.06097561],1
s7,1,0.0,40.647075,[20 79] ; [41 16],[38.71153846 60.28846154] ; [22.28846154 34.71153846],1
s8,1,0.0,26.80734,[21 86] ; [35 24],[36.09638554 70.90361446] ; [19.90361446 39.09638554],1
s6,1,0.0,25.899308,[44 62] ; [48 10],[59.46341463 46.53658537] ; [32.53658537 25.46341463],1
s4,1,2.4e-05,17.806508,[  8 100] ; [19 39],[17.56626506 90.43373494] ; [ 9.43373494 48.56626506],1
s5,1,0.000321,12.94289,[15 90] ; [23 36],[24.32926829 80.67073171] ; [13.67073171 45.32926829],1
p10,1,0.020625,5.35823,[69 36] ; [48 10],[75.36809816 29.63190184] ; [41.63190184 16.36809816],0
d5,1,0.06086,3.51379,[45 63] ; [33 25],[50.74698795 57.25301205] ; [27.25301205 30.74698795],0
u2,1,0.07445,3.182077,[30 28] ; [ 8 18],[26.23809524 31.76190476] ; [11.76190476 14.23809524],0
s1,1,0.099789,2.708915,[  3 103] ; [ 5 53],[  5.17073171 100.82926829] ; [ 2.82926829 55.17073171],0
d1,1,0.101936,2.674994,[  2 106] ; [ 4 55],[  3.88023952 104.11976048] ; [ 2.11976048 56.88023952],0
r1,1,0.1059,2.614358,[68 39] ; [44 14],[72.63030303 34.36969697] ; [39.36969697 18.63030303],0
n6,1,0.106748,2.601715,[82 26] ; [51  8],[86.01197605 21.98802395] ; [46.98802395 12.01197605],0
r4,1,0.108374,2.577779,[89 19] ; [54  5],[92.47904192 15.52095808] ; [50.52095808  8.47904192],0
n2,1,0.109429,2.562449,[25  8] ; [16  1],[27.06  5.94] ; [13.94  3.06],0
p3,1,0.113705,2.501959,[51 57] ; [20 38],[46.19277108 61.80722892] ; [24.80722892 33.19277108],0
a5,1,0.20484,1.607523,[53 55] ; [35 24],[56.91017964 51.08982036] ; [31.08982036 27.91017964],0
a3,1,0.256333,1.288452,[50 57] ; [33 26],[53.5 53.5] ; [29.5 29.5],0
p6,1,0.26996,1.21695,[29 77] ; [21 38],[32.12121212 73.87878788] ; [17.87878788 41.12121212],0
v1,1,0.318414,0.995449,[41 63] ; [28 31],[44.02453988 59.97546012] ; [24.97546012 34.02453988],0
p7,1,0.318451,0.995299,[61 45] ; [38 20],[63.98780488 42.01219512] ; [35.01219512 22.98780488],0
b3,1,0.328315,0.955533,[18 42] ; [ 8 30],[15.91836735 44.08163265] ; [10.08163265 27.91836735],0
b2,1,0.328315,0.955533,[18 42] ; [ 8 30],[15.91836735 44.08163265] ; [10.08163265 27.91836735],0
b5,1,0.339599,0.911946,[65 43] ; [31 28],[62.08383234 45.91616766] ; [33.91616766 25.08383234],0
p9,1,0.347859,0.881252,[76 28] ; [47 12],[78.47852761 25.52147239] ; [44.52147239 14.47852761],0
r3,1,0.382592,0.762355,[94 14] ; [54  5],[95.71257485 12.28742515] ; [52.28742515  6.71257485],0
p12,1,0.390641,0.736947,[  7 100] ; [ 2 57],[  5.80120482 101.19879518] ; [ 3.19879518 55.80120482],0
p2,1,0.395284,0.722627,[85 23] ; [43 16],[82.77844311 25.22155689] ; [45.22155689 13.77844311],0
p8,1,0.41233,0.672072,[51 53] ; [25 34],[48.49079755 55.50920245] ; [27.50920245 31.49079755],0
v3,1,0.422762,0.642624,[31 74] ; [21 38],[33.29268293 71.70731707] ; [18.70731707 40.29268293],0
u3,1,0.444208,0.585387,[26 32] ; [14 12],[27.61904762 30.38095238] ; [12.38095238 13.61904762],0
a7,1,0.486151,0.485033,[61 47] ; [36 22],[63.10843373 44.89156627] ; [33.89156627 24.10843373],0
b1,1,0.504832,0.444764,[46 62] ; [22 37],[43.9760479 64.0239521] ; [24.0239521 34.9760479],0
p1,1,0.556803,0.345269,[13 95] ; [ 9 50],[14.22754491 93.77245509] ; [ 7.77245509 51.22754491],0
