Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,71.261682,[239  82] ; [ 5 40],[214. 107.] ; [30. 15.],1
d5,1,0.0,38.95136,[286  35] ; [24 21],[271.8852459  49.1147541] ; [38.1147541  6.8852459],1
d3,1,0.0,27.588519,[243  78] ; [17 28],[228.03278689  92.96721311] ; [31.96721311 13.03278689],1
d2,1,2.1e-05,18.140284,[193 127] ; [12 33],[179.7260274 140.2739726] ; [25.2739726 19.7260274],1
a4,1,0.0004,12.529899,[176 145] ; [12 33],[164.8852459 156.1147541] ; [23.1147541 21.8852459],1
a2,1,0.000552,11.931089,[101 220] ; [ 3 42],[ 91.21311475 229.78688525] ; [12.78688525 32.21311475],1
a3,1,0.00113,10.602218,[260  60] ; [27 18],[251.61643836  68.38356164] ; [35.38356164  9.61643836],0
r3,1,0.001783,9.760703,[309  10] ; [39  6],[304.97802198  14.02197802] ; [43.02197802  1.97802198],0
v4,1,0.003042,8.782014,[311   8] ; [39  5],[307.57575758  11.42424242] ; [42.42424242  1.57575758],0
a5,1,0.003974,8.295753,[260  61] ; [28 17],[252.59016393  68.40983607] ; [35.40983607  9.59016393],0
u2,1,0.007783,7.082636,[41 19] ; [ 6 12],[36.15384615 23.84615385] ; [10.84615385  7.15384615],0
u1,1,0.01108,6.452459,[ 84 237] ; [ 4 41],[ 77.18032787 243.81967213] ; [10.81967213 34.18032787],0
p4,1,0.020158,5.398128,[225  94] ; [24 21],[218.21703297 100.78296703] ; [30.78296703 14.21703297],0
s1,1,0.020899,5.335219,[ 15 302] ; [ 6 39],[ 18.38950276 298.61049724] ; [ 2.61049724 42.38950276],0
p3,1,0.025172,5.01203,[188 132] ; [18 26],[181.0989011 138.9010989] ; [24.9010989 19.0989011],0
v2,1,0.033119,4.539619,[193 117] ; [20 24],[186.52542373 123.47457627] ; [26.47457627 17.52542373],0
r4,1,0.033141,4.538484,[300  21] ; [38  7],[296.44262295  24.55737705] ; [41.55737705  3.44262295],0
p1,1,0.047252,3.93638,[ 27 292] ; [ 8 37],[ 30.67307692 288.32692308] ; [ 4.32692308 40.67307692],0
s4,1,0.04847,3.89363,[ 60 256] ; [14 30],[ 64.95555556 251.04444444] ; [ 9.04444444 34.95555556],0
p9,1,0.049753,3.849747,[285  32] ; [36  9],[281.09668508  35.90331492] ; [39.90331492  5.09668508],0
u3,1,0.059049,3.563907,[42 19] ; [ 8 10],[38.60759494 22.39240506] ; [11.39240506  6.60759494],0
