Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,128.405501,[145   7] ; [31 77],[102.89230769  49.10769231] ; [73.10769231 34.89230769],1
p2,1,0.0,54.340151,[129  23] ; [46 65],[101.14068441  50.85931559] ; [73.85931559 37.14068441],1
p3,1,0.0,46.346284,[89 64] ; [18 92],[62.24714829 90.75285171] ; [44.75285171 65.24714829],1
p11,1,0.0,34.253727,[121  32] ; [49 62],[98.52272727 54.47727273] ; [71.47727273 39.52272727],1
p7,1,5e-06,20.765953,[83 68] ; [29 80],[65.04615385 85.95384615] ; [46.95384615 62.04615385],1
p6,1,1.2e-05,19.195981,[56 94] ; [14 95],[ 40.54054054 109.45945946] ; [29.45945946 79.54054054],1
p5,1,0.002349,9.254494,[ 15 134] ; [  1 110],[  9.16923077 139.83076923] ; [  6.83076923 104.16923077],0
b1,1,0.054475,3.698095,[59 94] ; [56 55],[66.64772727 86.35227273] ; [48.35227273 62.64772727],0
p12,1,0.159852,1.975624,[ 10 143] ; [  3 107],[  7.56273764 145.43726236] ; [  5.43726236 104.56273764],0
p1,1,0.64756,0.208991,[ 12 141] ; [  7 103],[ 11.05323194 141.94676806] ; [  7.94676806 102.05323194],0
