Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,42.936676,[189  50] ; [39 54],[164.13253012  74.86746988] ; [63.86746988 29.13253012],1
d3,1,0.0,29.987677,[180  58] ; [41 52],[158.90634441  79.09365559] ; [62.09365559 30.90634441],1
r4,1,0.000168,14.159786,[219  20] ; [71 22],[208.76506024  30.23493976] ; [81.23493976 11.76506024],1
a2,1,0.001042,10.751985,[ 59 180] ; [ 8 85],[ 48.23192771 190.76807229] ; [18.76807229 74.23192771],0
b1,1,0.001099,10.652685,[ 68 171] ; [44 49],[ 80.62650602 158.37349398] ; [31.37349398 61.62650602],0
r1,1,0.003247,8.663349,[189  50] ; [59 34],[178.53012048  60.46987952] ; [69.46987952 23.53012048],0
u1,1,0.003334,8.614968,[ 43 196] ; [ 5 88],[ 34.55421687 204.44578313] ; [13.44578313 79.55421687],0
r3,1,0.005753,7.626153,[229   9] ; [82 11],[223.61933535  14.38066465] ; [87.38066465  5.61933535],0
d5,1,0.006769,7.333323,[201  38] ; [66 27],[192.20783133  46.79216867] ; [74.79216867 18.20783133],0
b5,1,0.009501,6.726225,[160  79] ; [48 45],[149.73493976  89.26506024] ; [58.26506024 34.73493976],0
v4,1,0.013846,6.057623,[230   9] ; [83 10],[225.32228916  13.67771084] ; [87.67771084  5.32228916],0
n5,1,0.020585,5.361586,[166  70] ; [77 16],[174.3100304  61.6899696] ; [68.6899696 24.3100304],0
r2,1,0.032221,4.586675,[220  18] ; [77 14],[214.85106383  23.14893617] ; [82.14893617  8.85106383],0
s1,1,0.035022,4.444118,[  2 234] ; [ 4 89],[  4.30395137 231.69604863] ; [ 1.69604863 91.30395137],0
p8,1,0.035212,4.434886,[137  97] ; [42 50],[128.48466258 105.51533742] ; [50.51533742 41.48466258],0
p7,1,0.04132,4.162845,[152  84] ; [48 44],[143.90243902  92.09756098] ; [56.09756098 35.90243902],0
d4,1,0.071477,3.248765,[196  43] ; [68 25],[190.04819277  48.95180723] ; [73.95180723 19.04819277],0
p2,1,0.105475,2.620745,[206  33] ; [71 19],[201.22492401  37.77507599] ; [75.77507599 14.22492401],0
p10,1,0.119941,2.418098,[218  20] ; [79 13],[214.2  23.8] ; [82.8  9.2],0
u3,1,0.121253,2.401057,[42 32] ; [12 18],[38.42307692 35.57692308] ; [15.57692308 14.42307692],0
d1,1,0.150864,2.063489,[134 105] ; [44 49],[128.13855422 110.86144578] ; [49.86144578 43.13855422],0
s5,1,0.156239,2.010258,[ 51 184] ; [26 63],[ 55.84876543 179.15123457] ; [21.15123457 67.84876543],0
d2,1,0.182254,1.779148,[ 95 144] ; [44 48],[100.36555891 138.63444109] ; [38.63444109 53.36555891],0
p3,1,0.183525,1.768846,[122 117] ; [39 52],[116.6030303 122.3969697] ; [44.3969697 46.6030303],0
p4,1,0.263641,1.249536,[146  93] ; [50 42],[141.52265861  97.47734139] ; [54.47734139 37.52265861],0
v1,1,0.264793,1.243526,[136 101] ; [46 45],[131.50609756 105.49390244] ; [50.49390244 40.50609756],0
p6,1,0.269498,1.219298,[ 88 148] ; [28 63],[ 83.71865443 152.28134557] ; [32.28134557 58.71865443],0
a8,1,0.30109,1.069362,[ 28 179] ; [ 8 79],[ 25.34693878 181.65306122] ; [10.65306122 76.34693878],0
p12,1,0.33403,0.933211,[ 14 224] ; [ 3 89],[ 12.26060606 225.73939394] ; [ 4.73939394 87.26060606],0
n1,1,0.40533,0.692456,[13 34] ; [11 19],[14.64935065 32.35064935] ; [ 9.35064935 20.64935065],0
a5,1,0.416971,0.658837,[180  59] ; [66 27],[177.09036145  61.90963855] ; [68.90963855 24.09036145],0
v2,1,0.43166,0.618354,[133  98] ; [48 43],[129.84782609 101.15217391] ; [51.15217391 39.84782609],0
p11,1,0.450255,0.57001,[201  38] ; [75 18],[198.68674699  40.31325301] ; [77.31325301 15.68674699],0
u2,1,0.494802,0.466067,[43 32] ; [15 15],[41.42857143 33.57142857] ; [16.57142857 13.42857143],0
b4,1,0.531923,0.390717,[135 104] ; [49 44],[132.45783133 106.54216867] ; [51.54216867 41.45783133],0
b2,1,0.549319,0.358539,[51 85] ; [24 33],[52.84974093 83.15025907] ; [22.15025907 34.84974093],0
b3,1,0.549319,0.358539,[51 85] ; [24 33],[52.84974093 83.15025907] ; [22.15025907 34.84974093],0
v3,1,0.578761,0.308243,[ 88 145] ; [31 59],[ 85.84210526 147.15789474] ; [33.15789474 56.84210526],0
a1,1,0.638586,0.220596,[ 10 229] ; [ 5 88],[ 10.79819277 228.20180723] ; [ 4.20180723 88.79819277],0
p5,1,0.658853,0.19492,[ 27 212] ; [12 80],[ 28.16012085 210.83987915] ; [10.83987915 81.16012085],0
s2,1,0.733531,0.115894,[ 34 203] ; [12 81],[ 33.03636364 203.96363636] ; [12.96363636 80.03636364],0
n3,1,0.733587,0.115843,[33 15] ; [21  8],[33.66233766 14.33766234] ; [20.33766234  8.66233766],0
n6,1,0.737575,0.112269,[199  40] ; [78 14],[200.00906344  38.99093656] ; [76.99093656 15.00906344],0
s7,1,0.755406,0.097044,[ 66 159] ; [28 62],[ 67.14285714 157.85714286] ; [26.85714286 63.14285714],0
p1,1,0.801159,0.063427,[ 20 219] ; [ 7 86],[ 19.43674699 219.56325301] ; [ 7.56325301 85.43674699],0
u4,1,0.836651,0.04251,[  2 237] ; [ 1 92],[  2.15963855 236.84036145] ; [ 0.84036145 92.15963855],0
a3,1,0.837306,0.042165,[164  74] ; [63 30],[163.22054381  74.77945619] ; [63.77945619 29.22054381],0
s4,1,0.853537,0.03408,[ 26 208] ; [11 82],[ 26.47706422 207.52293578] ; [10.52293578 82.47706422],0
a4,1,0.855241,0.033283,[105 133] ; [40 53],[104.25981873 133.74018127] ; [40.74018127 52.25981873],0
n4,1,0.91799,0.010602,[176  63] ; [69 24],[176.37048193  62.62951807] ; [68.62951807 24.37048193],0
s6,1,0.935744,0.0065,[111 124] ; [43 49],[110.67278287 124.32721713] ; [43.32721713 48.67278287],0
s8,1,0.971805,0.001249,[ 67 171] ; [26 67],[ 66.87009063 171.12990937] ; [26.12990937 66.87009063],0
n2,1,1.0,0.0,[32 16] ; [20 10],[32. 16.] ; [20. 10.],0
