Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,114.760305,[ 6 38] ; [240  36],[33.825 10.175] ; [212.175  63.825],1
p11,1,0.0,43.695492,[ 9 35] ; [198  78],[28.4625 15.5375] ; [178.5375  97.4625],1
v4,1,0.0,41.394972,[24 20] ; [250  25],[37.79310345  6.20689655] ; [236.20689655  38.79310345],1
p2,1,2e-06,23.115847,[13 31] ; [186  90],[27.3625 16.6375] ; [171.6375 104.3625],1
p9,1,2e-06,22.343541,[16 25] ; [203  67],[28.87138264 12.12861736] ; [190.12861736  79.87138264],1
n6,1,2e-06,22.229215,[20 24] ; [217  58],[32.68965517 11.31034483] ; [204.31034483  70.68965517],1
p10,1,5e-06,20.839074,[15 28] ; [191  80],[28.21019108 14.78980892] ; [177.78980892  93.21019108],1
r1,1,8e-06,20.036822,[19 25] ; [209  66],[31.44827586 12.55172414] ; [196.55172414  78.44827586],1
r2,1,1.5e-05,18.765177,[30 13] ; [253  22],[38.2672956  4.7327044] ; [244.7327044  30.2672956],1
v2,1,3.4e-05,17.191463,[ 6 36] ; [127 135],[18.375 23.625] ; [114.625 147.375],1
a1,1,4.2e-05,16.796278,[ 8 36] ; [  9 267],[ 2.3375 41.6625] ; [ 14.6625 261.3375],1
a7,1,8.1e-05,15.526764,[18 26] ; [196  80],[29.425 14.575] ; [184.575  91.425],1
s6,1,0.000172,14.112963,[12 32] ; [157 115],[23.53164557 20.46835443] ; [145.46835443 126.53164557],1
s2,1,0.000195,13.875893,[ 6 38] ; [117 154],[17.18095238 26.81904762] ; [105.81904762 165.18095238],1
d4,1,0.000205,13.781112,[24 20] ; [221  55],[33.6875 10.3125] ; [211.3125  64.6875],1
b5,1,0.001096,10.658667,[17 27] ; [178  98],[26.8125 17.1875] ; [168.1875 107.8125],0
n3,1,0.001711,9.836296,[ 9 17] ; [56 25],[15.79439252 10.20560748] ; [49.20560748 31.79439252],0
s3,1,0.002541,9.110675,[10 32] ; [133 140],[19.06666667 22.93333333] ; [123.93333333 149.06666667],0
b1,1,0.002862,8.893168,[26 18] ; [ 98 178],[17.05 26.95] ; [106.95 169.05],0
p1,1,0.003892,8.33365,[ 8 36] ; [ 16 259],[ 3.31034483 40.68965517] ; [ 20.68965517 254.31034483],0
p4,1,0.004055,8.259133,[ 7 37] ; [105 170],[15.44827586 28.55172414] ; [ 96.55172414 178.44827586],0
d5,1,0.004952,7.896946,[25 19] ; [212  64],[32.5875 11.4125] ; [204.4125  71.5875],0
u2,1,0.017617,5.633859,[ 5 15] ; [52 44],[ 9.82758621 10.17241379] ; [47.17241379 48.82758621],0
u3,1,0.018803,5.519735,[ 6 14] ; [57 40],[10.76923077  9.23076923] ; [52.23076923 44.76923077],0
