Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002475,9.158726,[ 7 30] ; [14 11],[12.53225806 24.46774194] ; [ 8.46774194 16.53225806],0
a3,1,0.010716,6.511835,[16 21] ; [19  6],[20.88709677 16.11290323] ; [14.11290323 10.88709677],0
s8,1,0.02033,5.383329,[ 9 27] ; [14 12],[13.35483871 22.64516129] ; [ 9.64516129 16.35483871],0
a8,1,0.022631,5.196643,[ 1 30] ; [ 5 16],[ 3.57692308 27.42307692] ; [ 2.42307692 18.57692308],0
d5,1,0.034145,4.487447,[24 13] ; [23  3],[27.6031746  9.3968254] ; [19.3968254  6.6031746],0
n5,1,0.041606,4.151151,[16 21] ; [18  8],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
n6,1,0.071041,3.258801,[23 13] ; [22  4],[26.12903226  9.87096774] ; [18.87096774  7.12903226],0
a7,1,0.07363,3.200183,[22 15] ; [21  5],[25.25396825 11.74603175] ; [17.74603175  8.25396825],0
n4,1,0.082693,3.011164,[19 18] ; [19  7],[22.31746032 14.68253968] ; [15.68253968 10.31746032],0
r4,1,0.086896,2.930957,[28  9] ; [24  2],[30.53968254  6.46031746] ; [21.46031746  4.53968254],0
a2,1,0.095668,2.776312,[ 5 32] ; [ 8 18],[ 7.63492063 29.36507937] ; [ 5.36507937 20.63492063],0
s4,1,0.107108,2.596375,[ 6 29] ; [ 1 25],[ 4.01639344 30.98360656] ; [ 2.98360656 23.01639344],0
r1,1,0.125907,2.342261,[25 12] ; [22  4],[27.6031746  9.3968254] ; [19.3968254  6.6031746],0
p3,1,0.127508,2.322586,[20 17] ; [ 9 17],[17.03174603 19.96825397] ; [11.96825397 14.03174603],0
b1,1,0.127508,2.322586,[20 17] ; [ 9 17],[17.03174603 19.96825397] ; [11.96825397 14.03174603],0
d1,1,0.127508,2.322586,[17 20] ; [17  9],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
n1,1,0.129392,2.299784,[5 6] ; [5 1],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
s7,1,0.186797,1.742703,[12 24] ; [13 13],[14.51612903 21.48387097] ; [10.48387097 15.51612903],0
p11,1,0.188134,1.732173,[18 19] ; [17  9],[20.55555556 16.44444444] ; [14.44444444 11.55555556],0
p7,1,0.228705,1.448895,[28  9] ; [16 10],[25.84126984 11.15873016] ; [18.15873016  7.84126984],0
s3,1,0.233456,1.419677,[18 19] ; [16  9],[20.29032258 16.70967742] ; [13.70967742 11.29032258],0
p4,1,0.269538,1.219095,[25 12] ; [14 12],[22.9047619 14.0952381] ; [16.0952381  9.9047619],0
p2,1,0.273821,1.197505,[27 10] ; [22  4],[28.77777778  8.22222222] ; [20.22222222  5.77777778],0
n3,1,0.279642,1.168831,[5 6] ; [5 2],[6.11111111 4.88888889] ; [3.88888889 3.11111111],0
s2,1,0.320874,0.985381,[17 19] ; [ 9 17],[15.09677419 20.90322581] ; [10.90322581 15.09677419],0
