Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.395328,[18 56] ; [39 20],[31.71428571 42.28571429] ; [25.28571429 33.71428571],1
p1,1,0.017955,5.6005,[ 2 71] ; [ 8 50],[ 5.57251908 67.42748092] ; [ 4.42748092 53.57251908],0
u2,1,0.02007,5.405807,[15 19] ; [14  4],[18.96153846 15.03846154] ; [10.03846154  7.96153846],0
b3,1,0.024869,5.032954,[ 5 22] ; [16 19],[ 9.14516129 17.85483871] ; [11.85483871 23.14516129],0
b2,1,0.024869,5.032954,[ 5 22] ; [16 19],[ 9.14516129 17.85483871] ; [11.85483871 23.14516129],0
v1,1,0.025793,4.969817,[27 44] ; [34 25],[33.31538462 37.68461538] ; [27.68461538 31.31538462],0
d2,1,0.038085,4.301216,[21 53] ; [27 32],[26.70676692 47.29323308] ; [21.29323308 37.70676692],0
s4,1,0.063129,3.453205,[20 54] ; [25 34],[25.03759398 48.96240602] ; [19.96240602 39.03759398],0
p10,1,0.068378,3.321528,[51 23] ; [48 10],[55.5 18.5] ; [43.5 14.5],0
a3,1,0.078239,3.101115,[39 35] ; [40 19],[43.95488722 30.04511278] ; [35.04511278 23.95488722],0
a2,1,0.079718,3.070649,[ 9 65] ; [14 45],[12.79699248 61.20300752] ; [10.20300752 48.79699248],0
b1,1,0.096453,2.763235,[20 54] ; [24 35],[24.48120301 49.51879699] ; [19.51879699 39.48120301],0
s2,1,0.096946,2.755079,[41 33] ; [41 18],[45.62406015 28.37593985] ; [36.37593985 22.62406015],0
s3,1,0.114572,2.490001,[43 29] ; [43 16],[47.26717557 24.73282443] ; [38.73282443 20.26717557],0
p9,1,0.14324,2.142799,[56 18] ; [49  8],[59.3129771 14.6870229] ; [45.6870229 11.3129771],0
p7,1,0.153274,2.03936,[38 33] ; [37 19],[41.92913386 29.07086614] ; [33.07086614 22.92913386],0
a7,1,0.191968,1.70245,[53 21] ; [48 11],[56.19548872 17.80451128] ; [44.80451128 14.19548872],0
p4,1,0.193871,1.68795,[33 41] ; [33 26],[36.72180451 37.27819549] ; [29.27819549 29.72180451],0
p6,1,0.204053,1.613124,[17 56] ; [19 38],[20.21538462 52.78461538] ; [15.78461538 41.21538462],0
u3,1,0.245399,1.349308,[19 14] ; [14  5],[20.94230769 12.05769231] ; [12.05769231  6.94230769],0
n1,1,0.258559,1.276458,[ 6 19] ; [ 9 14],[ 7.8125 17.1875] ; [ 7.1875 15.8125],0
s5,1,0.261803,1.259199,[28 45] ; [27 29],[31.12403101 41.87596899] ; [23.87596899 32.12403101],0
a1,1,0.263713,1.24916,[ 4 70] ; [ 1 58],[ 2.78195489 71.21804511] ; [ 2.21804511 56.78195489],0
u1,1,0.308816,1.035731,[ 6 68] ; [ 8 51],[ 7.78947368 66.21052632] ; [ 6.21052632 52.78947368],0
b4,1,0.34623,0.887227,[43 31] ; [39 20],[45.62406015 28.37593985] ; [36.37593985 22.62406015],0
n5,1,0.389721,0.739811,[24 50] ; [23 35],[26.34848485 47.65151515] ; [20.65151515 37.34848485],0
v3,1,0.412645,0.671167,[20 52] ; [19 36],[22.11023622 49.88976378] ; [16.88976378 38.11023622],0
r4,1,0.476131,0.507711,[62 12] ; [52  7],[63.42857143 10.57142857] ; [50.57142857  8.42857143],0
a8,1,0.507065,0.440119,[ 2 65] ; [ 3 53],[ 2.72357724 64.27642276] ; [ 2.27642276 53.72357724],0
a6,1,0.514741,0.424417,[54 20] ; [40 19],[52.30075188 21.69924812] ; [41.69924812 17.30075188],0
d3,1,0.514741,0.424417,[54 20] ; [40 19],[52.30075188 21.69924812] ; [41.69924812 17.30075188],0
d4,1,0.539057,0.37729,[62 12] ; [47 12],[60.64661654 13.35338346] ; [48.35338346 10.64661654],0
p12,1,0.577936,0.309584,[ 4 70] ; [ 2 57],[ 3.33834586 70.66165414] ; [ 2.66165414 56.33834586],0
a4,1,0.582696,0.301896,[23 51] ; [21 38],[24.48120301 49.51879699] ; [19.51879699 39.48120301],0
p2,1,0.594521,0.283339,[54 19] ; [46 13],[55.3030303 17.6969697] ; [44.6969697 14.3030303],0
d5,1,0.62545,0.238282,[55 19] ; [46 13],[56.19548872 17.80451128] ; [44.80451128 14.19548872],0
p8,1,0.651251,0.204327,[36 38] ; [30 27],[37.28244275 36.71755725] ; [28.71755725 28.28244275],0
a5,1,0.674466,0.176423,[49 25] ; [37 22],[47.84962406 26.15037594] ; [38.15037594 20.84962406],0
p3,1,0.682303,0.167545,[30 44] ; [26 33],[31.15789474 42.84210526] ; [24.84210526 34.15789474],0
n6,1,0.718628,0.129811,[50 23] ; [38 20],[49.03816794 23.96183206] ; [38.96183206 19.03816794],0
b5,1,0.738777,0.111205,[46 28] ; [35 24],[45.06766917 28.93233083] ; [35.93233083 23.06766917],0
v4,1,0.755991,0.096566,[67  6] ; [55  4],[67.46969697  5.53030303] ; [54.53030303  4.46969697],0
r2,1,0.755991,0.096566,[67  6] ; [55  4],[67.46969697  5.53030303] ; [54.53030303  4.46969697],0
p5,1,0.759489,0.093729,[ 3 71] ; [ 3 55],[ 3.36363636 70.63636364] ; [ 2.63636364 55.36363636],0
v2,1,0.823485,0.049758,[39 31] ; [29 25],[38.38709677 31.61290323] ; [29.61290323 24.38709677],0
n3,1,0.838118,0.041739,[17  8] ; [15  8],[16.66666667  8.33333333] ; [15.33333333  7.66666667],0
p11,1,0.847392,0.037036,[49 25] ; [40 19],[49.51879699 24.48120301] ; [39.48120301 19.51879699],0
r3,1,0.856412,0.032741,[71  3] ; [56  2],[71.1969697  2.8030303] ; [55.8030303  2.1969697],0
n2,1,0.867518,0.027826,[19  6] ; [17  6],[18.75  6.25] ; [17.25  5.75],0
d1,1,0.922637,0.009431,[37 37] ; [30 29],[37.27819549 36.72180451] ; [29.72180451 29.27819549],0
r1,1,0.971494,0.001277,[53 20] ; [43 16],[53.09090909 19.90909091] ; [42.90909091 16.09090909],0
