Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,141.018074,[361  27] ; [25 43],[328.43859649  59.56140351] ; [57.56140351 10.43859649],1
p2,1,5e-06,20.766211,[329  58] ; [42 26],[315.55384615  71.44615385] ; [55.44615385 12.55384615],1
p8,1,0.00091,11.001771,[185 199] ; [18 50],[172.46017699 211.53982301] ; [30.53982301 37.46017699],1
s6,1,0.001059,10.721103,[244 139] ; [29 39],[231.83813747 151.16186253] ; [41.16186253 26.83813747],0
s8,1,0.001705,9.84279,[157 230] ; [14 54],[145.44395604 241.55604396] ; [25.55604396 42.44395604],0
b4,1,0.006899,7.299151,[218 171] ; [50 18],[228.12253829 160.87746171] ; [39.87746171 28.12253829],0
p3,1,0.0078,7.078909,[172 217] ; [18 49],[162.08333333 226.91666667] ; [27.91666667 39.08333333],0
v1,1,0.008349,6.957111,[190 181] ; [23 45],[180.00683371 190.99316629] ; [32.99316629 35.00683371],0
s1,1,0.009081,6.806826,[  7 376] ; [ 5 63],[ 10.19068736 372.80931264] ; [ 1.80931264 66.19068736],0
r4,1,0.009536,6.719525,[351  38] ; [54 14],[344.73741794  44.26258206] ; [60.26258206  7.73741794],0
v2,1,0.010177,6.603612,[216 152] ; [27 38],[206.52193995 161.47806005] ; [36.47806005 28.52193995],0
v4,1,0.01314,6.150135,[367  17] ; [59  8],[362.71396896  21.28603104] ; [63.28603104  3.71396896],0
n5,1,0.017276,5.668135,[291  94] ; [42 26],[283.01324503 101.98675497] ; [49.98675497 18.01324503],0
b1,1,0.022207,5.229528,[117 272] ; [30 38],[125.12691466 263.87308534] ; [21.87308534 46.12691466],0
a3,1,0.022479,5.208341,[277 112] ; [39 29],[268.98030635 120.01969365] ; [47.01969365 20.98030635],0
r3,1,0.023366,5.141083,[375  12] ; [61  6],[371.65638767  15.34361233] ; [64.34361233  2.65638767],0
n6,1,0.029414,4.743216,[330  57] ; [50 17],[323.92070485  63.07929515] ; [56.07929515 10.92070485],0
d3,1,0.030866,4.660393,[264 125] ; [37 31],[256.21225383 132.78774617] ; [44.78774617 23.21225383],0
d4,1,0.037543,4.325596,[316  73] ; [47 20],[309.66447368  79.33552632] ; [53.33552632 13.66447368],0
b3,1,0.046626,3.958837,[ 85 152] ; [ 9 35],[ 79.28113879 157.71886121] ; [14.71886121 29.28113879],0
b2,1,0.046626,3.958837,[ 85 152] ; [ 9 35],[ 79.28113879 157.71886121] ; [14.71886121 29.28113879],0
a5,1,0.059126,3.561733,[289 100] ; [43 25],[282.59956236 106.40043764] ; [49.40043764 18.59956236],0
p7,1,0.063885,3.433532,[211 169] ; [29 38],[204.02684564 175.97315436] ; [35.97315436 31.02684564],0
a7,1,0.066854,3.358624,[281 108] ; [41 26],[274.68859649 114.31140351] ; [47.31140351 19.68859649],0
p12,1,0.095643,2.776736,[ 26 362] ; [ 1 66],[ 23.02417582 364.97582418] ; [ 3.97582418 63.02417582],0
s7,1,0.104729,2.632018,[161 213] ; [21 44],[155.0523918 218.9476082] ; [26.9476082 38.0523918],0
s5,1,0.110504,2.546998,[107 269] ; [13 55],[101.62162162 274.37837838] ; [18.37837838 49.62162162],0
p4,1,0.121877,2.393032,[193 194] ; [27 41],[187.12087912 199.87912088] ; [32.87912088 35.12087912],0
n2,1,0.13343,2.252136,[62 16] ; [12  7],[59.50515464 18.49484536] ; [14.49484536  4.50515464],0
s3,1,0.143347,2.141658,[208 174] ; [30 37],[202.48552339 179.51447661] ; [35.51447661 31.48552339],0
p5,1,0.147661,2.096253,[ 30 353] ; [ 2 66],[ 27.1751663 355.8248337] ; [ 4.8248337 63.1751663],0
n1,1,0.153819,2.033965,[30 48] ; [ 4 15],[27.34020619 50.65979381] ; [ 6.65979381 12.34020619],0
s2,1,0.169359,1.88861,[175 210] ; [24 42],[169.87804878 215.12195122] ; [29.12195122 36.87804878],0
n3,1,0.172617,1.86007,[62 16] ; [13  7],[59.69387755 18.30612245] ; [15.30612245  4.69387755],0
a2,1,0.180376,1.794523,[ 85 304] ; [10 58],[ 80.8643326 308.1356674] ; [14.1356674 53.8643326],0
a8,1,0.194561,1.68274,[ 51 305] ; [ 5 56],[ 47.80815348 308.19184652] ; [ 8.19184652 52.80815348],0
u1,1,0.230389,1.438456,[ 62 327] ; [ 7 61],[ 58.73304158 330.26695842] ; [10.26695842 57.73304158],0
d1,1,0.234675,1.4123,[219 170] ; [33 35],[214.50328228 174.49671772] ; [37.49671772 30.50328228],0
d2,1,0.279279,1.170597,[175 213] ; [35 32],[179.07692308 208.92307692] ; [30.92307692 36.07692308],0
a4,1,0.281183,1.161361,[164 224] ; [24 44],[159.96491228 228.03508772] ; [28.03508772 39.96491228],0
d5,1,0.296908,1.088029,[308  81] ; [50 18],[304.73085339  84.26914661] ; [53.26914661 14.73085339],0
r2,1,0.34707,0.884143,[357  27] ; [61  7],[355.11504425  28.88495575] ; [62.88495575  5.11504425],0
v3,1,0.350513,0.8716,[141 227] ; [22 46],[137.57798165 230.42201835] ; [25.42201835 42.57798165],0
a6,1,0.376761,0.781242,[278 111] ; [45 23],[274.93873085 114.06126915] ; [48.06126915 19.93873085],0
