Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.2e-05,16.362152,[6 9] ; [78 13],[11.88679245  3.11320755] ; [72.11320755 18.88679245],1
r4,1,0.000416,12.460864,[9 7] ; [83  9],[13.62962963  2.37037037] ; [78.37037037 13.62962963],1
r3,1,0.004128,8.226417,[12  4] ; [86  4],[14.79245283  1.20754717] ; [83.20754717  6.79245283],0
v4,1,0.008964,6.83004,[12  4] ; [87  5],[14.66666667  1.33333333] ; [84.33333333  7.66666667],0
r2,1,0.008977,6.827411,[12  3] ; [89  3],[14.1588785  0.8411215] ; [86.8411215  5.1588785],0
d1,1,0.0099,6.652851,[ 4 12] ; [55 37],[8.74074074 7.25925926] ; [50.25925926 41.74074074],0
n6,1,0.011648,6.363636,[7 8] ; [70 20],[11.  4.] ; [66. 24.],0
s8,1,0.012602,6.224168,[ 4 12] ; [54 38],[8.59259259 7.40740741] ; [49.40740741 42.59259259],0
r1,1,0.012819,6.193866,[9 7] ; [76 15],[12.71028037  3.28971963] ; [72.28971963 18.71028037],0
v2,1,0.021849,5.257766,[ 4 11] ; [51 36],[8.08823529 6.91176471] ; [46.91176471 40.08823529],0
s5,1,0.050911,3.811205,[ 3 11] ; [43 44],[6.37623762 7.62376238] ; [39.62376238 47.37623762],0
p4,1,0.055632,3.663037,[ 5 10] ; [55 37],[8.41121495 6.58878505] ; [51.58878505 40.41121495],0
s7,1,0.108308,2.578743,[7 7] ; [58 23],[9.57894737 4.42105263] ; [55.42105263 25.57894737],0
s3,1,0.111242,2.536491,[10  6] ; [74 18],[12.44444444  3.55555556] ; [71.55555556 20.44444444],0
d2,1,0.145853,2.115098,[ 6 10] ; [52 39],[8.6728972 7.3271028] ; [49.3271028 41.6728972],0
n5,1,0.165566,1.922639,[7 9] ; [56 34],[9.50943396 6.49056604] ; [53.49056604 36.50943396],0
n2,1,0.190614,1.712869,[2 2] ; [27  7],[3.05263158 0.94736842] ; [25.94736842  8.05263158],0
a2,1,0.210903,1.565217,[ 2 14] ; [25 67],[ 4. 12.] ; [23. 69.],0
s1,1,0.240475,1.377807,[ 3 13] ; [ 8 81],[ 1.67619048 14.32380952] ; [ 9.32380952 79.67619048],0
a3,1,0.252282,1.310621,[9 7] ; [65 27],[10.96296296  5.03703704] ; [63.03703704 28.96296296],0
n3,1,0.255445,1.293277,[2 2] ; [26  8],[2.94736842 1.05263158] ; [25.05263158  8.94736842],0
p8,1,0.279524,1.169403,[ 3 12] ; [31 60],[ 4.81132075 10.18867925] ; [29.18867925 61.81132075],0
a1,1,0.289394,1.12244,[ 2 14] ; [ 5 87],[ 1.03703704 14.96296296] ; [ 5.96296296 86.03703704],0
a5,1,0.293574,1.103157,[9 7] ; [64 28],[10.81481481  5.18518519] ; [62.18518519 29.81481481],0
d3,1,0.323025,0.976658,[9 6] ; [66 25],[10.61320755  4.38679245] ; [64.38679245 26.61320755],0
d4,1,0.411031,0.675818,[12  4] ; [76 15],[13.1588785  2.8411215] ; [74.8411215 16.1588785],0
p3,1,0.415198,0.663866,[ 5 10] ; [41 51],[6.44859813 8.55140187] ; [39.55140187 52.44859813],0
p6,1,0.441213,0.593125,[7 8] ; [33 58],[5.66037736 9.33962264] ; [34.33962264 56.66037736],0
a4,1,0.493262,0.469403,[ 6 10] ; [43 49],[7.25925926 8.74074074] ; [41.74074074 50.25925926],0
a6,1,0.528322,0.397617,[11  5] ; [55 36],[9.86915888 6.13084112] ; [56.13084112 34.86915888],0
n4,1,0.531117,0.392255,[9 7] ; [58 32],[10.11320755  5.88679245] ; [56.88679245 33.11320755],0
p2,1,0.557787,0.34355,[12  3] ; [67 25],[11.07476636  3.92523364] ; [67.92523364 24.07476636],0
a7,1,0.55823,0.342777,[10  5] ; [68 24],[10.93457944  4.06542056] ; [67.06542056 24.93457944],0
b4,1,0.570999,0.321014,[8 8] ; [53 39],[9.03703704 6.96296296] ; [51.96296296 40.03703704],0
n1,1,0.603713,0.269433,[1 3] ; [13 21],[1.47368421 2.52631579] ; [12.52631579 21.47368421],0
v3,1,0.610739,0.2591,[ 5 11] ; [33 54],[ 5.90291262 10.09708738] ; [32.09708738 54.90291262],0
v1,1,0.615905,0.251665,[7 9] ; [46 45],[7.92523364 8.07476636] ; [45.07476636 45.92523364],0
b5,1,0.660943,0.19238,[11  5] ; [58 34],[10.22222222  5.77777778] ; [58.77777778 33.22222222],0
b1,1,0.686935,0.162423,[8 8] ; [51 41],[8.74074074 7.25925926] ; [50.25925926 41.74074074],0
p9,1,0.692349,0.156555,[12  3] ; [67 22],[11.39423077  3.60576923] ; [67.60576923 21.39423077],0
p10,1,0.698904,0.149615,[9 6] ; [58 31],[9.66346154 5.33653846] ; [57.33653846 31.66346154],0
b2,1,0.714062,0.134254,[2 3] ; [15 32],[1.63461538 3.36538462] ; [15.36538462 31.63461538],0
b3,1,0.714062,0.134254,[2 3] ; [15 32],[1.63461538 3.36538462] ; [15.36538462 31.63461538],0
s4,1,0.736893,0.112876,[ 5 11] ; [25 67],[ 4.44444444 11.55555556] ; [25.55555556 66.44444444],0
u3,1,0.74047,0.109714,[4 3] ; [16  9],[4.375 2.625] ; [15.625  9.375],0
p7,1,0.811062,0.057148,[7 8] ; [45 45],[7.42857143 7.57142857] ; [44.57142857 45.42857143],0
u1,1,0.849088,0.036207,[ 4 12] ; [21 71],[ 3.7037037 12.2962963] ; [21.2962963 70.7037037],0
u2,1,0.957035,0.002902,[4 3] ; [14 11],[3.9375 3.0625] ; [14.0625 10.9375],0
