Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.439867,[24  3] ; [21 44],[13.20652174 13.79347826] ; [31.79347826 33.20652174],1
p4,1,4e-06,21.220469,[21  7] ; [16 50],[11.0212766 16.9787234] ; [25.9787234 40.0212766],1
p10,1,6e-06,20.33558,[25  3] ; [25 40],[15.05376344 12.94623656] ; [34.94623656 30.05376344],1
p2,1,0.000672,11.563925,[26  2] ; [37 28],[18.96774194  9.03225806] ; [44.03225806 20.96774194],1
p11,1,0.000769,11.31439,[24  4] ; [32 34],[16.68085106 11.31914894] ; [39.31914894 26.68085106],1
p9,1,0.002285,9.305135,[24  4] ; [34 31],[17.46236559 10.53763441] ; [40.53763441 24.46236559],0
p6,1,0.003497,8.52817,[11 17] ; [ 8 56],[ 5.7826087 22.2173913] ; [13.2173913 50.7826087],0
r1,1,0.003774,8.389405,[26  2] ; [42 24],[20.25531915  7.74468085] ; [47.74468085 18.25531915],0
p3,1,0.005845,7.597555,[16 12] ; [18 48],[10.12765957 17.87234043] ; [23.87234043 42.12765957],0
v2,1,0.007129,7.240254,[17  9] ; [22 42],[11.26666667 14.73333333] ; [27.73333333 36.26666667],0
r3,1,0.008874,6.847929,[27  1] ; [48 18],[22.34042553  5.65957447] ; [52.65957447 13.34042553],0
s8,1,0.012103,6.295733,[12 16] ; [12 54],[ 7.14893617 20.85106383] ; [16.85106383 49.14893617],0
r4,1,0.023521,5.129647,[24  4] ; [41 25],[19.36170213  8.63829787] ; [45.63829787 20.36170213],0
v1,1,0.040013,4.217351,[16 11] ; [23 41],[11.57142857 15.42857143] ; [27.42857143 36.57142857],0
a8,1,0.061391,3.499396,[ 1 25] ; [12 50],[ 3.84090909 22.15909091] ; [ 9.15909091 52.84090909],0
v3,1,0.0678,3.335501,[11 15] ; [14 47],[ 7.47126437 18.52873563] ; [17.52873563 43.47126437],0
s6,1,0.078428,3.097172,[17 11] ; [27 39],[13.10638298 14.89361702] ; [30.89361702 35.10638298],0
n1,1,0.106116,2.611126,[4 1] ; [11 16],[2.34375 2.65625] ; [12.65625 14.34375],0
