Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0137,6.076389,[10  5] ; [ 5 15],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
d4,1,0.045817,3.988321,[13  2] ; [11  9],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
u3,1,0.052958,3.745238,[1 4] ; [6 2],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
v2,1,0.069983,3.283429,[6 8] ; [ 3 17],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
p2,1,0.083953,2.986667,[13  2] ; [12  8],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
p1,1,0.087669,2.916667,[ 5 10] ; [ 2 18],[ 3. 12.] ; [ 4. 16.],0
r4,1,0.092617,2.828283,[7 8] ; [ 4 16],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
d5,1,0.123077,2.377717,[12  3] ; [11  9],[9.85714286 5.14285714] ; [13.14285714  6.85714286],0
p9,1,0.135626,2.226901,[14  1] ; [14  5],[12.35294118  2.64705882] ; [15.64705882  3.35294118],0
n2,1,0.136641,2.215385,[3 3] ; [10  2],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
d2,1,0.141763,2.158717,[9 6] ; [ 7 13],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
p4,1,0.154248,2.029727,[10  5] ; [ 8 11],[7.94117647 7.05882353] ; [10.05882353  8.94117647],0
d3,1,0.163187,1.944444,[11  4] ; [10 10],[9. 6.] ; [12.  8.],0
n4,1,0.163187,1.944444,[11  4] ; [10 10],[9. 6.] ; [12.  8.],0
r1,1,0.202892,1.621436,[10  5] ; [ 9 11],[8.14285714 6.85714286] ; [10.85714286  9.14285714],0
n6,1,0.207196,1.590909,[12  3] ; [12  8],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
n3,1,0.317311,1.0,[2 4] ; [7 5],[3. 3.] ; [6. 6.],0
s5,1,0.344157,0.894886,[6 9] ; [ 5 15],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
b5,1,0.379581,0.772059,[9 6] ; [ 9 11],[7.71428571 7.28571429] ; [10.28571429  9.71428571],0
v4,1,0.402784,0.7,[12  3] ; [18  2],[12.85714286  2.14285714] ; [17.14285714  2.85714286],0
u2,1,0.428537,0.626786,[2 3] ; [5 3],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
a5,1,0.485667,0.486111,[10  5] ; [11  9],[9. 6.] ; [12.  8.],0
a4,1,0.537371,0.380435,[6 9] ; [ 6 14],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
b2,1,0.555126,0.348214,[3 9] ; [5 9],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
b3,1,0.555126,0.348214,[3 9] ; [5 9],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
v1,1,0.556732,0.345395,[6 9] ; [10 10],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
p11,1,0.556732,0.345395,[9 6] ; [10 10],[8.14285714 6.85714286] ; [10.85714286  9.14285714],0
s7,1,0.588201,0.293163,[5 9] ; [ 9 11],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
p6,1,0.599203,0.276199,[ 4 11] ; [ 7 13],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
a6,1,0.625444,0.23829,[8 7] ; [ 9 11],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
a3,1,0.686254,0.16317,[10  5] ; [12  8],[9.42857143 5.57142857] ; [12.57142857  7.42857143],0
s6,1,0.693282,0.155556,[7 8] ; [ 8 12],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
s4,1,0.697713,0.150862,[ 3 12] ; [ 3 17],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
r2,1,0.749139,0.102256,[12  3] ; [16  3],[12.35294118  2.64705882] ; [15.64705882  3.35294118],0
p7,1,0.754725,0.097603,[7 8] ; [ 7 10],[6.5625 8.4375] ; [7.4375 9.5625],0
a2,1,0.759046,0.094086,[ 2 13] ; [ 2 18],[ 1.71428571 13.28571429] ; [ 2.28571429 17.71428571],0
b1,1,0.76738,0.0875,[9 6] ; [11  9],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
v3,1,0.809076,0.058379,[ 3 11] ; [ 5 15],[ 3.29411765 10.70588235] ; [ 4.70588235 15.29411765],0
n5,1,0.828969,0.046667,[11  4] ; [14  6],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
b4,1,0.833497,0.044192,[10  5] ; [14  6],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
a7,1,0.84519,0.038126,[8 7] ; [10 10],[7.71428571 7.28571429] ; [10.28571429  9.71428571],0
s2,1,0.918123,0.010568,[ 5 10] ; [ 7 13],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
s8,1,0.918123,0.010568,[ 5 10] ; [ 7 13],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
s3,1,0.946929,0.004431,[5 9] ; [ 7 12],[5.09090909 8.90909091] ; [ 6.90909091 12.09090909],0
n1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
p5,1,1.0,0.0,[ 3 12] ; [ 4 16],[ 3. 12.] ; [ 4. 16.],0
p8,1,1.0,0.0,[9 6] ; [12  8],[9. 6.] ; [12.  8.],0
