Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.685857,[47  8] ; [ 5 21],[35.30864198 19.69135802] ; [16.69135802  9.30864198],1
p11,1,0.00015,14.375951,[40 16] ; [ 7 19],[32.09756098 23.90243902] ; [14.90243902 11.09756098],1
v4,1,0.001082,10.682366,[52  4] ; [16  9],[47.01234568  8.98765432] ; [20.98765432  4.01234568],0
r4,1,0.003682,8.434349,[47  9] ; [14 12],[41.65853659 14.34146341] ; [19.34146341  6.65853659],0
r2,1,0.004212,8.190008,[54  1] ; [20  5],[50.875  4.125] ; [23.125  1.875],0
r3,1,0.005485,7.712218,[53  3] ; [19  7],[49.17073171  6.82926829] ; [22.82926829  3.17073171],0
s7,1,0.010926,6.477382,[24 30] ; [ 3 19],[19.18421053 34.81578947] ; [ 7.81578947 14.18421053],0
s2,1,0.011905,6.324917,[29 26] ; [ 6 20],[23.7654321 31.2345679] ; [11.2345679 14.7654321],0
n2,1,0.01492,5.925926,[14  4] ; [4 8],[10.8  7.2] ; [7.2 4.8],0
b5,1,0.01708,5.68815,[41 15] ; [12 14],[36.19512195 19.80487805] ; [16.80487805  9.19512195],0
d2,1,0.026734,4.907929,[33 22] ; [22  4],[37.34567901 17.65432099] ; [17.65432099  8.34567901],0
s6,1,0.028135,4.819792,[38 18] ; [11 15],[33.46341463 22.53658537] ; [15.53658537 10.46341463],0
p4,1,0.045303,4.007327,[30 25] ; [ 8 18],[25.80246914 29.19753086] ; [12.19753086 13.80246914],0
n3,1,0.057114,3.619256,[13  5] ; [4 7],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
p2,1,0.070414,3.27335,[40 14] ; [14 12],[36.45 17.55] ; [17.55  8.45],0
s8,1,0.083552,2.994421,[24 32] ; [ 6 20],[20.48780488 35.51219512] ; [ 9.51219512 16.48780488],0
n1,1,0.086628,2.93595,[9 9] ; [2 9],[ 6.82758621 11.17241379] ; [4.17241379 6.82758621],0
p7,1,0.094086,2.803035,[31 22] ; [10 16],[27.50632911 25.49367089] ; [13.49367089 12.50632911],0
b1,1,0.11529,2.480167,[24 32] ; [16 10],[27.31707317 28.68292683] ; [12.68292683 13.31707317],0
v3,1,0.127087,2.327728,[16 33] ; [ 4 21],[13.24324324 35.75675676] ; [ 6.75675676 18.24324324],0
v1,1,0.140815,2.169031,[26 28] ; [ 8 18],[22.95 31.05] ; [11.05 14.95],0
d3,1,0.152582,2.046241,[47  8] ; [25  1],[48.88888889  6.11111111] ; [23.11111111  2.88888889],0
r1,1,0.154417,2.028064,[44 11] ; [17  9],[41.41975309 13.58024691] ; [19.58024691  6.41975309],0
a4,1,0.154477,2.027473,[25 31] ; [16 10],[28. 28.] ; [13. 13.],0
p1,1,0.160621,1.968374,[ 2 54] ; [ 3 23],[ 3.41463415 52.58536585] ; [ 1.58536585 24.41463415],0
a1,1,0.184934,1.757523,[ 1 55] ; [ 2 24],[ 2.04878049 53.95121951] ; [ 0.95121951 25.04878049],0
d5,1,0.191243,1.708015,[54  1] ; [24  2],[52.96296296  2.03703704] ; [25.03703704  0.96296296],0
s5,1,0.237523,1.395238,[15 38] ; [ 4 21],[12.91025641 40.08974359] ; [ 6.08974359 18.91025641],0
s3,1,0.269778,1.217877,[32 22] ; [12 14],[29.7 24.3] ; [14.3 11.7],0
a7,1,0.278234,1.175695,[43 13] ; [17  9],[40.97560976 15.02439024] ; [19.02439024  6.97560976],0
p8,1,0.388211,0.744539,[22 32] ; [ 8 18],[20.25 33.75] ; [ 9.75 16.25],0
n4,1,0.43743,0.603016,[31 25] ; [12 14],[29.36585366 26.63414634] ; [13.63414634 12.36585366],0
b2,1,0.461614,0.541978,[13 23] ; [ 5 14],[11.78181818 24.21818182] ; [ 6.21818182 12.78181818],0
b3,1,0.461614,0.541978,[13 23] ; [ 5 14],[11.78181818 24.21818182] ; [ 6.21818182 12.78181818],0
a5,1,0.465779,0.531972,[43 13] ; [18  8],[41.65853659 14.34146341] ; [19.34146341  6.65853659],0
v2,1,0.466436,0.530406,[29 22] ; [12 13],[27.51315789 23.48684211] ; [13.48684211 11.51315789],0
u2,1,0.481924,0.494505,[11  2] ; [5 2],[10.4  2.6] ; [5.6 1.4],0
s4,1,0.568333,0.325481,[ 8 48] ; [ 5 21],[ 8.87804878 47.12195122] ; [ 4.12195122 21.87804878],0
n5,1,0.577055,0.31102,[23 33] ; [ 9 17],[21.85365854 34.14634146] ; [10.14634146 15.85365854],0
p6,1,0.598734,0.27691,[14 39] ; [ 5 19],[13.07792208 39.92207792] ; [ 5.92207792 18.07792208],0
p3,1,0.622461,0.242424,[23 32] ; [ 9 16],[22. 33.] ; [10. 15.],0
s1,1,0.678134,0.172234,[ 3 51] ; [ 2 23],[ 3.41772152 50.58227848] ; [ 1.58227848 23.41772152],0
a2,1,0.708665,0.139614,[15 41] ; [ 8 18],[15.70731707 40.29268293] ; [ 7.29268293 18.70731707],0
a3,1,0.715916,0.13244,[43 13] ; [19  7],[42.34146341 13.65853659] ; [19.65853659  6.34146341],0
u1,1,0.734103,0.115378,[ 8 48] ; [ 3 23],[ 7.51219512 48.48780488] ; [ 3.48780488 22.51219512],0
a6,1,0.860118,0.031055,[37 18] ; [18  8],[37.34567901 17.65432099] ; [17.65432099  8.34567901],0
u3,1,0.918517,0.010466,[9 4] ; [5 2],[9.1 3.9] ; [4.9 2.1],0
b4,1,0.922844,0.00938,[36 20] ; [17  9],[36.19512195 19.80487805] ; [16.80487805  9.19512195],0
