Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,98.155608,[304 127] ; [ 64 152],[245.14374034 185.85625966] ; [122.85625966  93.14374034],1
p6,1,0.0,67.647843,[224 206] ; [ 40 177],[175.45595054 254.54404946] ; [ 88.54404946 128.45595054],1
p3,1,0.0,46.131613,[278 156] ; [ 78 139],[237.33333333 196.66666667] ; [118.66666667  98.33333333],1
p4,1,0.0,38.878415,[315 118] ; [104 113],[279.11846154 153.88153846] ; [139.88153846  77.11846154],1
p2,1,0.0,38.051271,[403  30] ; [165  52],[378.37538462  54.62461538] ; [189.62461538  27.37538462],1
s5,1,8.1e-05,15.532739,[178 242] ; [ 53 150],[155.73033708 264.26966292] ; [ 75.26966292 127.73033708],1
s7,1,0.000184,13.988507,[239 175] ; [ 88 122],[216.95192308 197.04807692] ; [110.04807692  99.95192308],1
r4,1,0.000236,13.517442,[413  21] ; [189  28],[401.33333333  32.66666667] ; [200.66666667  16.33333333],1
a3,1,0.000708,11.467325,[335  96] ; [141  75],[317.08809892 113.91190108] ; [158.91190108  57.08809892],1
p10,1,0.000827,11.178726,[410  22] ; [190  27],[399.38366718  32.61633282] ; [200.61633282  16.38366718],1
v1,1,0.000873,11.0792,[259 165] ; [ 98 110],[239.50632911 184.49367089] ; [117.49367089  90.50632911],1
v3,1,0.000911,10.999307,[193 229] ; [ 66 141],[173.76470588 248.23529412] ; [ 85.23529412 121.76470588],1
r1,1,0.000988,10.849158,[361  70] ; [158  59],[345.19907407  85.80092593] ; [173.80092593  43.19907407],1
s8,1,0.003846,8.35531,[226 206] ; [ 87 129],[208.66666667 223.33333333] ; [104.33333333 111.66666667],0
p5,1,0.00697,7.280708,[ 72 360] ; [ 19 196],[ 60.76043277 371.23956723] ; [ 30.23956723 184.76043277],0
r3,1,0.009286,6.766988,[422   9] ; [203  13],[416.3446677  14.6553323] ; [208.6553323   7.3446677],0
v2,1,0.009922,6.648884,[261 160] ; [106 101],[246.03025478 174.96974522] ; [120.96974522  86.03025478],0
b5,1,0.011086,6.451506,[243 191] ; [144  73],[258. 176.] ; [129.  88.],0
d5,1,0.01275,6.203491,[365  67] ; [166  51],[353.45454545  78.54545455] ; [177.54545455  39.45454545],0
a2,1,0.034402,4.474608,[119 315] ; [ 43 174],[108. 326.] ; [ 54. 163.],0
p11,1,0.03718,4.342144,[377  57] ; [175  42],[368.  66.] ; [184.  33.],0
a1,1,0.047399,3.931159,[ 25 409] ; [  5 212],[ 20. 414.] ; [ 10. 207.],0
d3,1,0.062862,3.460219,[314 119] ; [142  75],[303.76615385 129.23384615] ; [152.23384615  64.76615385],0
