Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,36.134409,[77  8] ; [98 87],[55.09259259 29.90740741] ; [119.90740741  65.09259259],1
s2,1,0.0,31.040068,[60 27] ; [ 61 124],[38.70220588 48.29779412] ; [ 82.29779412 102.70220588],1
p6,1,3e-06,21.901615,[46 42] ; [ 44 141],[29.01098901 58.98901099] ; [ 60.98901099 124.01098901],1
s3,1,8e-06,19.934494,[62 24] ; [ 80 106],[44.89705882 41.10294118] ; [97.10294118 88.89705882],1
s8,1,7.7e-05,15.624397,[51 36] ; [ 62 124],[36.01098901 50.98901099] ; [ 76.98901099 109.01098901],1
p10,1,0.000139,14.512135,[77  9] ; [125  59],[64.34074074 21.65925926] ; [137.65925926  46.34074074],1
r4,1,0.000484,12.176796,[84  4] ; [147  39],[74.18978102 13.81021898] ; [156.81021898  29.18978102],1
s4,1,0.001644,9.909454,[27 60] ; [ 27 157],[17.33579336 69.66420664] ; [ 36.66420664 147.33579336],0
p5,1,0.001826,9.716471,[19 69] ; [ 15 168],[11.04059041 76.95940959] ; [ 22.95940959 160.04059041],0
p9,1,0.004516,8.063864,[77 10] ; [134  49],[67.98888889 19.01111111] ; [143.01111111  39.98888889],0
s7,1,0.005543,7.693014,[48 35] ; [ 69 106],[37.63953488 45.36046512] ; [79.36046512 95.63953488],0
p7,1,0.005715,7.637985,[60 26] ; [95 88],[49.55390335 36.44609665] ; [105.44609665  77.55390335],0
d4,1,0.009055,6.811943,[78  9] ; [141  44],[70.04779412 16.95220588] ; [148.95220588  36.04779412],0
p4,1,0.009344,6.755862,[59 28] ; [95 91],[49.07692308 37.92307692] ; [104.92307692  81.07692308],0
p3,1,0.010178,6.603523,[49 39] ; [ 72 112],[39.14705882 48.85294118] ; [ 81.85294118 102.14705882],0
d1,1,0.010331,6.576956,[63 25] ; [103  83],[53.31386861 34.68613139] ; [112.68613139  73.31386861],0
n6,1,0.012757,6.202493,[79  9] ; [142  42],[71.5 16.5] ; [149.5  34.5],0
v1,1,0.014933,5.924331,[44 43] ; [ 63 117],[34.86516854 52.13483146] ; [ 72.13483146 107.86516854],0
p12,1,0.017265,5.669269,[ 9 78] ; [  6 178],[ 4.81549815 82.18450185] ; [ 10.18450185 173.81549815],0
r1,1,0.024976,5.02553,[73 14] ; [132  53],[65.56985294 21.43014706] ; [139.43014706  45.56985294],0
p1,1,0.026517,4.921987,[13 75] ; [ 12 173],[ 8.05860806 79.94139194] ; [ 16.94139194 168.05860806],0
n2,1,0.042565,4.112604,[19  4] ; [36 25],[15.05952381  7.94047619] ; [39.94047619 21.05952381],0
r2,1,0.047785,3.917528,[85  3] ; [163  19],[80.82962963  7.17037037] ; [167.17037037  14.82962963],0
p8,1,0.053504,3.728109,[49 38] ; [ 81 104],[41.58088235 45.41911765] ; [88.41911765 96.58088235],0
v4,1,0.068423,3.320443,[84  4] ; [164  21],[79.94139194  8.05860806] ; [168.05860806  16.94139194],0
b2,1,0.077021,3.126662,[28 28] ; [42 75],[22.65895954 33.34104046] ; [47.34104046 69.65895954],0
b3,1,0.077021,3.126662,[28 28] ; [42 75],[22.65895954 33.34104046] ; [47.34104046 69.65895954],0
p2,1,0.083138,3.002469,[75 13] ; [140  44],[69.55882353 18.44117647] ; [145.44117647  38.55882353],0
a4,1,0.091748,2.843431,[55 33] ; [95 89],[48.52941176 39.47058824] ; [101.47058824  82.52941176],0
d3,1,0.11606,2.469695,[65 23] ; [119  66],[59.31135531 28.68864469] ; [124.68864469  60.31135531],0
a6,1,0.11728,2.453276,[55 33] ; [133  52],[60.6007326 27.3992674] ; [127.3992674  57.6007326],0
b5,1,0.154496,2.027291,[44 44] ; [110  76],[49.45985401 38.54014599] ; [104.54014599  81.45985401],0
d2,1,0.239715,1.38227,[54 34] ; [99 85],[49.5 38.5] ; [103.5  80.5],0
n3,1,0.303616,1.058243,[16  6] ; [35 23],[14.025  7.975] ; [36.975 21.025],0
a2,1,0.346575,0.88596,[28 60] ; [ 49 137],[24.72992701 63.27007299] ; [ 52.27007299 133.72992701],0
b4,1,0.407388,0.686411,[52 36] ; [100  86],[48.81751825 39.18248175] ; [103.18248175  82.81751825],0
a1,1,0.408784,0.682335,[ 7 81] ; [ 10 176],[ 5.45985401 82.54014599] ; [ 11.54014599 174.45985401],0
r3,1,0.442163,0.590662,[79  9] ; [160  25],[77.04029304 10.95970696] ; [161.95970696  23.04029304],0
p11,1,0.461582,0.542057,[68 20] ; [136  50],[65.51824818 22.48175182] ; [138.48175182  47.51824818],0
a7,1,0.501635,0.451476,[56 32] ; [126  60],[58.45255474 29.54744526] ; [123.54744526  62.45255474],0
u2,1,0.538926,0.377534,[ 9 10] ; [24 19],[10.11290323  8.88709677] ; [22.88709677 20.11290323],0
u4,1,0.558123,0.342964,[ 1 87] ; [  4 182],[ 1.60583942 86.39416058] ; [  3.39416058 182.60583942],0
u1,1,0.589798,0.29066,[17 71] ; [ 31 155],[15.41605839 72.58394161] ; [ 32.58394161 153.41605839],0
n1,1,0.590908,0.288929,[11 11] ; [26 34],[ 9.92682927 12.07317073] ; [27.07317073 32.92682927],0
u3,1,0.6142,0.254104,[10  9] ; [25 17],[10.90163934  8.09836066] ; [24.09836066 17.90163934],0
n5,1,0.630812,0.230961,[68 20] ; [138  47],[66.4029304 21.5970696] ; [139.5970696  45.4029304],0
b1,1,0.703293,0.145069,[39 49] ; [87 99],[40.46715328 47.53284672] ; [ 85.53284672 100.46715328],0
d5,1,0.73902,0.11099,[72 15] ; [150  35],[71.00735294 15.99264706] ; [150.99264706  34.00735294],0
a8,1,0.750426,0.101173,[ 9 75] ; [ 21 153],[ 9.76744186 74.23255814] ; [ 20.23255814 153.76744186],0
a3,1,0.836705,0.042481,[69 19] ; [143  42],[68.33699634 19.66300366] ; [143.66300366  41.33699634],0
s1,1,0.957513,0.002838,[ 5 81] ; [ 11 173],[ 5.0962963 80.9037037] ; [ 10.9037037 173.0962963],0
n4,1,0.960531,0.002449,[69 18] ; [148  38],[69.15384615 17.84615385] ; [147.84615385  38.15384615],0
v3,1,0.963078,0.002143,[17 70] ; [ 36 146],[17.14126394 69.85873606] ; [ 35.85873606 146.14126394],0
