Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.697233,[ 3 40] ; [11  6],[10.03333333 32.96666667] ; [ 3.96666667 13.03333333],1
s4,1,0.002683,9.011398,[ 5 38] ; [8 9],[ 9.31666667 33.68333333] ; [ 3.68333333 13.31666667],0
p11,1,0.007821,7.073982,[ 8 35] ; [9 8],[12.18333333 30.81666667] ; [ 4.81666667 12.18333333],0
s7,1,0.017416,5.654006,[ 5 34] ; [ 7 10],[ 8.35714286 30.64285714] ; [ 3.64285714 13.35714286],0
r3,1,0.020199,5.394618,[13 28] ; [11  6],[16.96551724 24.03448276] ; [7.03448276 9.96551724],0
p7,1,0.020226,5.392253,[ 9 32] ; [9 8],[12.72413793 28.27586207] ; [ 5.27586207 11.72413793],0
s8,1,0.032038,4.596443,[ 1 42] ; [ 3 14],[ 2.86666667 40.13333333] ; [ 1.13333333 15.86666667],0
s5,1,0.037114,4.345152,[ 4 39] ; [ 5 11],[ 6.55932203 36.44067797] ; [ 2.44067797 13.55932203],0
v1,1,0.039909,4.221733,[ 7 36] ; [ 7 10],[10.03333333 32.96666667] ; [ 3.96666667 13.03333333],0
b5,1,0.044913,4.021888,[18 25] ; [12  5],[21.5 21.5] ; [8.5 8.5],0
p4,1,0.045047,4.016885,[ 7 35] ; [ 7 10],[ 9.96610169 32.03389831] ; [ 4.03389831 12.96610169],0
v2,1,0.049309,3.86479,[11 31] ; [9 8],[14.23728814 27.76271186] ; [ 5.76271186 11.23728814],0
b2,1,0.051289,3.798825,[12 15] ; [1 9],[ 9.48648649 17.51351351] ; [3.51351351 6.48648649],0
b3,1,0.051289,3.798825,[12 15] ; [1 9],[ 9.48648649 17.51351351] ; [3.51351351 6.48648649],0
u3,1,0.055528,3.666173,[ 4 16] ; [5 4],[ 6.20689655 13.79310345] ; [2.79310345 6.20689655],0
a4,1,0.093403,2.814715,[17 25] ; [ 3 14],[14.23728814 27.76271186] ; [ 5.76271186 11.23728814],0
r1,1,0.093403,2.814715,[17 25] ; [ 3 14],[14.23728814 27.76271186] ; [ 5.76271186 11.23728814],0
p2,1,0.100004,2.705477,[13 30] ; [9 8],[15.76666667 27.23333333] ; [ 6.23333333 10.76666667],0
v4,1,0.175524,1.835119,[19 23] ; [11  6],[21.3559322 20.6440678] ; [8.6440678 8.3559322],0
n2,1,0.177262,1.820433,[11 16] ; [6 3],[12.75 14.25] ; [4.25 4.75],0
s3,1,0.18221,1.779504,[10 32] ; [ 7 10],[12.10169492 29.89830508] ; [ 4.89830508 12.10169492],0
p8,1,0.18401,1.764937,[ 8 34] ; [ 6 11],[ 9.96610169 32.03389831] ; [ 4.03389831 12.96610169],0
n6,1,0.300612,1.071476,[18 23] ; [10  7],[19.79310345 21.20689655] ; [8.20689655 8.79310345],0
d3,1,0.306592,1.045302,[19 24] ; [10  7],[20.78333333 22.21666667] ; [8.21666667 8.78333333],0
s1,1,0.365985,0.81725,[ 6 36] ; [ 1 16],[ 4.98305085 37.01694915] ; [ 2.01694915 14.98305085],0
a2,1,0.380177,0.77013,[ 6 37] ; [ 1 16],[ 5.01666667 37.98333333] ; [ 1.98333333 15.01666667],0
n1,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
d4,1,0.426055,0.633554,[25 17] ; [12  5],[26.33898305 15.66101695] ; [10.66101695  6.33898305],0
a5,1,0.429445,0.624323,[20 23] ; [ 6 11],[18.63333333 24.36666667] ; [7.36666667 9.63333333],0
n4,1,0.481352,0.495798,[24 18] ; [8 9],[22.77966102 19.22033898] ; [9.22033898 7.77966102],0
p1,1,0.503822,0.446876,[ 5 38] ; [ 1 16],[ 4.3 38.7] ; [ 1.7 15.3],0
a1,1,0.503822,0.446876,[ 5 38] ; [ 1 16],[ 4.3 38.7] ; [ 1.7 15.3],0
v3,1,0.53988,0.375761,[ 7 35] ; [ 4 13],[ 7.83050847 34.16949153] ; [ 3.16949153 13.83050847],0
p3,1,0.53988,0.375761,[ 7 35] ; [ 4 13],[ 7.83050847 34.16949153] ; [ 3.16949153 13.83050847],0
a3,1,0.591519,0.287978,[23 19] ; [8 9],[22.06779661 19.93220339] ; [8.93220339 8.06779661],0
a6,1,0.59197,0.287278,[21 22] ; [ 7 10],[20.06666667 22.93333333] ; [7.93333333 9.06666667],0
d5,1,0.594247,0.28376,[26 17] ; [9 8],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
u2,1,0.629063,0.233333,[ 8 12] ; [4 4],[ 8.57142857 11.42857143] ; [3.42857143 4.57142857],0
d1,1,0.639896,0.218878,[18 25] ; [ 6 11],[17.2 25.8] ; [ 6.8 10.2],0
n5,1,0.652811,0.202374,[22 20] ; [10  7],[22.77966102 19.22033898] ; [9.22033898 7.77966102],0
d2,1,0.718825,0.129621,[19 22] ; [ 7 10],[18.37931034 22.62068966] ; [7.62068966 9.37931034],0
