Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.722425,[20 12] ; [11 59],[ 9.7254902 22.2745098] ; [21.2745098 48.7254902],1
s6,1,4e-06,21.493421,[27  5] ; [27 49],[16. 16.] ; [38. 38.],1
s2,1,6e-06,20.564079,[22 10] ; [17 58],[11.6635514 20.3364486] ; [27.3364486 47.6635514],1
p4,1,0.000226,13.599258,[22 11] ; [22 54],[13.32110092 19.67889908] ; [30.67889908 45.32110092],1
s3,1,0.000578,11.845022,[24  8] ; [29 46],[15.85046729 16.14953271] ; [37.14953271 37.85046729],1
r4,1,0.00317,8.706852,[30  3] ; [48 28],[23.6146789  9.3853211] ; [54.3853211 21.6146789],0
p10,1,0.004021,8.274294,[25  7] ; [35 38],[18.28571429 13.71428571] ; [41.71428571 31.28571429],0
n6,1,0.008092,7.012987,[30  3] ; [50 25],[24.44444444  8.55555556] ; [55.55555556 19.44444444],0
d5,1,0.009642,6.699806,[23 10] ; [32 43],[16.80555556 16.19444444] ; [38.19444444 36.80555556],0
r3,1,0.013198,6.142377,[31  2] ; [54 20],[26.21495327  6.78504673] ; [58.78504673 15.21495327],0
r1,1,0.025798,4.969529,[23  8] ; [38 37],[17.83962264 13.16037736] ; [43.16037736 31.83962264],0
p9,1,0.04017,4.210703,[25  8] ; [40 33],[20.23584906 12.76415094] ; [44.76415094 28.23584906],0
v4,1,0.046885,3.949506,[31  2] ; [58 16],[27.44859813  5.55140187] ; [61.55140187 12.44859813],0
b5,1,0.057011,3.622278,[23 10] ; [38 38],[18.46788991 14.53211009] ; [42.53211009 33.46788991],0
p7,1,0.060769,3.51627,[17 16] ; [24 50],[12.64485981 20.35514019] ; [28.35514019 45.64485981],0
d2,1,0.067469,3.343539,[13 20] ; [17 59],[ 9.08256881 23.91743119] ; [20.91743119 55.08256881],0
a5,1,0.075608,3.15687,[20 13] ; [32 44],[15.74311927 17.25688073] ; [36.25688073 39.74311927],0
r2,1,0.08937,2.885692,[31  2] ; [61 14],[28.11111111  4.88888889] ; [63.88888889 11.11111111],0
u3,1,0.099414,2.714919,[8 4] ; [15 23],[5.52 6.48] ; [17.48 20.52],0
a7,1,0.126043,2.340572,[20 13] ; [33 41],[16.34579439 16.65420561] ; [36.65420561 37.34579439],0
n2,1,0.133251,2.254212,[10  1] ; [21 10],[8.11904762 2.88095238] ; [22.88095238  8.11904762],0
v1,1,0.154465,2.027593,[16 14] ; [29 47],[12.73584906 17.26415094] ; [32.26415094 43.73584906],0
d1,1,0.164171,1.935378,[ 2 31] ; [ 1 75],[ 0.90825688 32.09174312] ; [ 2.09174312 73.90825688],0
p3,1,0.172128,1.864314,[13 20] ; [20 56],[ 9.99082569 23.00917431] ; [23.00917431 52.99082569],0
a4,1,0.180279,1.795325,[10 23] ; [14 61],[ 7.33333333 25.66666667] ; [16.66666667 58.33333333],0
v3,1,0.211655,1.560068,[11 22] ; [16 57],[ 8.40566038 24.59433962] ; [18.59433962 54.40566038],0
a3,1,0.212357,1.555287,[21 12] ; [38 37],[18.02777778 14.97222222] ; [40.97222222 34.02777778],0
s5,1,0.229438,1.444341,[ 6 25] ; [ 8 67],[ 4.09433962 26.90566038] ; [ 9.90566038 65.09433962],0
n1,1,0.311136,1.025848,[5 5] ; [10 21],[3.65853659 6.34146341] ; [11.34146341 19.65853659],0
a2,1,0.334082,0.933009,[ 4 29] ; [ 5 71],[ 2.72477064 30.27522936] ; [ 6.27522936 69.72477064],0
v2,1,0.33917,0.913567,[13 19] ; [22 49],[10.87378641 21.12621359] ; [24.12621359 46.87378641],0
b2,1,0.381231,0.766729,[ 6 19] ; [15 29],[ 7.60869565 17.39130435] ; [13.39130435 30.60869565],0
b3,1,0.381231,0.766729,[ 6 19] ; [15 29],[ 7.60869565 17.39130435] ; [13.39130435 30.60869565],0
u2,1,0.417304,0.657895,[6 6] ; [14 24],[4.8 7.2] ; [15.2 22.8],0
p2,1,0.431855,0.61783,[23 10] ; [47 29],[21.19266055 11.80733945] ; [48.80733945 27.19266055],0
b4,1,0.466888,0.529332,[19 14] ; [38 38],[17.25688073 15.74311927] ; [39.74311927 36.25688073],0
p6,1,0.507497,0.439224,[ 8 25] ; [14 61],[ 6.72222222 26.27777778] ; [15.27777778 59.72222222],0
u1,1,0.540016,0.375511,[ 1 32] ; [ 1 75],[ 0.60550459 32.39449541] ; [ 1.39449541 74.60550459],0
a6,1,0.547309,0.36216,[19 14] ; [39 37],[17.55963303 15.44036697] ; [40.44036697 35.55963303],0
a8,1,0.595866,0.281276,[ 5 25] ; [ 9 62],[ 4.15841584 25.84158416] ; [ 9.84158416 61.15841584],0
p5,1,0.628007,0.234773,[ 2 31] ; [ 3 73],[ 1.51376147 31.48623853] ; [ 3.48623853 72.51376147],0
p1,1,0.644049,0.213486,[ 3 30] ; [ 5 71],[ 2.42201835 30.57798165] ; [ 5.57798165 70.42201835],0
n3,1,0.67329,0.177778,[8 2] ; [22  8],[7.5 2.5] ; [22.5  7.5],0
n5,1,0.745724,0.10516,[24  9] ; [56 18],[24.6728972  8.3271028] ; [55.3271028 18.6728972],0
d3,1,0.762159,0.091595,[ 8 25] ; [20 54],[ 8.63551402 24.36448598] ; [19.36448598 54.63551402],0
n4,1,0.833427,0.044229,[22 10] ; [50 25],[21.53271028 10.46728972] ; [50.46728972 24.53271028],0
b1,1,0.891475,0.018615,[13 20] ; [31 45],[13.32110092 19.67889908] ; [30.67889908 45.32110092],0
p11,1,0.891475,0.018615,[20 13] ; [45 31],[19.67889908 13.32110092] ; [45.32110092 30.67889908],0
s1,1,0.909773,0.012842,[ 2 30] ; [ 5 68],[ 2.13333333 29.86666667] ; [ 4.86666667 68.13333333],0
s4,1,0.976348,0.000879,[ 6 27] ; [14 62],[ 6.05504587 26.94495413] ; [13.94495413 62.05504587],0
