Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.007651,7.113417,[19 15] ; [55 13],[24.66666667  9.33333333] ; [49.33333333 18.66666667],0
p10,1,0.008296,6.968419,[21 13] ; [57 10],[26.25742574  7.74257426] ; [51.74257426 15.25742574],0
a2,1,0.024775,5.039526,[ 6 28] ; [27 41],[11. 23.] ; [22. 46.],0
b1,1,0.047802,3.916928,[10 24] ; [34 34],[14.66666667 19.33333333] ; [29.33333333 38.66666667],0
n1,1,0.170731,1.876509,[7 6] ; [ 6 14],[5.12121212 7.87878788] ; [ 7.87878788 12.12121212],0
s3,1,0.175779,1.832955,[16 18] ; [41 26],[19.18811881 14.81188119] ; [37.81188119 29.18811881],0
n4,1,0.208092,1.584654,[30  4] ; [53 15],[27.66666667  6.33333333] ; [55.33333333 12.66666667],0
d4,1,0.233422,1.419886,[29  5] ; [51 17],[26.66666667  7.33333333] ; [53.33333333 14.66666667],0
p1,1,0.239104,1.38587,[ 5 29] ; [ 5 63],[ 3.33333333 30.66666667] ; [ 6.66666667 61.33333333],0
d1,1,0.258086,1.278997,[22 12] ; [36 32],[19.33333333 14.66666667] ; [38.66666667 29.33333333],0
r4,1,0.29383,1.101988,[28  6] ; [61  7],[29.66666667  4.33333333] ; [59.33333333  8.66666667],0
u3,1,0.305141,1.051592,[8 2] ; [11  7],[6.78571429 3.21428571] ; [12.21428571  5.78571429],0
n6,1,0.335748,0.926599,[27  7] ; [59  9],[28.66666667  5.33333333] ; [57.33333333 10.66666667],0
p4,1,0.379375,0.772727,[20 14] ; [46 22],[22. 12.] ; [44. 24.],0
a8,1,0.404876,0.693797,[ 2 30] ; [ 7 53],[ 3.13043478 28.86956522] ; [ 5.86956522 54.13043478],0
u1,1,0.437714,0.602267,[ 8 26] ; [21 47],[ 9.66666667 24.33333333] ; [19.33333333 48.66666667],0
s8,1,0.440464,0.595074,[19 15] ; [32 35],[17.16831683 16.83168317] ; [33.83168317 33.16831683],0
b5,1,0.450578,0.569196,[25  9] ; [45 23],[23.33333333 10.66666667] ; [46.66666667 21.33333333],0
p2,1,0.45237,0.564706,[27  7] ; [58 10],[28.33333333  5.66666667] ; [56.66666667 11.33333333],0
r3,1,0.470668,0.520408,[32  2] ; [66  2],[32.66666667  1.33333333] ; [65.33333333  2.66666667],0
n5,1,0.475112,0.510061,[22 12] ; [48 19],[23.56435644 10.43564356] ; [46.43564356 20.56435644],0
s6,1,0.505154,0.444091,[22 12] ; [47 19],[23.46 10.54] ; [45.54 20.46],0
a1,1,0.516629,0.420619,[ 1 33] ; [ 4 64],[ 1.66666667 32.33333333] ; [ 3.33333333 64.66666667],0
p11,1,0.552453,0.352941,[24 10] ; [44 24],[22.66666667 11.33333333] ; [45.33333333 22.66666667],0
v3,1,0.57359,0.316713,[11 21] ; [19 47],[ 9.79591837 22.20408163] ; [20.20408163 45.79591837],0
d3,1,0.583888,0.299991,[24 10] ; [43 23],[22.78 11.22] ; [44.22 21.78],0
s7,1,0.615455,0.252307,[19 13] ; [42 23],[20.12371134 11.87628866] ; [40.87628866 24.12371134],0
u2,1,0.648807,0.207407,[8 2] ; [13  5],[7.5 2.5] ; [13.5  4.5],0
b4,1,0.672279,0.178947,[20 14] ; [37 31],[19. 15.] ; [38. 30.],0
p3,1,0.673892,0.177083,[15 19] ; [33 35],[16. 18.] ; [32. 36.],0
s4,1,0.676185,0.174452,[ 6 27] ; [10 57],[ 5.28 27.72] ; [10.72 56.28],0
v1,1,0.680091,0.170024,[16 16] ; [37 31],[16.96 15.04] ; [36.04 31.96],0
d5,1,0.684181,0.165457,[29  5] ; [55 12],[28.27722772  5.72277228] ; [55.72277228 11.27722772],0
s1,1,0.728375,0.120609,[ 1 32] ; [ 3 64],[ 1.32 31.68] ; [ 2.68 64.32],0
a4,1,0.730265,0.118869,[20 14] ; [37 30],[19.18811881 14.81188119] ; [37.81188119 29.18811881],0
r2,1,0.738467,0.111478,[32  1] ; [65  3],[31.69306931  1.30693069] ; [65.30693069  2.69306931],0
a3,1,0.753691,0.098456,[24 10] ; [50 18],[24.66666667  9.33333333] ; [49.33333333 18.66666667],0
a6,1,0.753691,0.098456,[24 10] ; [50 18],[24.66666667  9.33333333] ; [49.33333333 18.66666667],0
a5,1,0.756239,0.096363,[25  9] ; [48 20],[24.33333333  9.66666667] ; [48.66666667 19.33333333],0
v4,1,0.781832,0.076692,[32  2] ; [63  5],[31.66666667  2.33333333] ; [63.33333333  4.66666667],0
v2,1,0.793589,0.068463,[19 13] ; [41 25],[19.59183673 12.40816327] ; [40.40816327 25.59183673],0
n2,1,0.800205,0.06405,[9 5] ; [12  8],[8.64705882 5.35294118] ; [12.35294118  7.64705882],0
n3,1,0.809076,0.058379,[11  3] ; [15  5],[10.70588235  3.29411765] ; [15.29411765  4.70588235],0
s5,1,0.820088,0.051725,[10 19] ; [24 41],[10.4893617 18.5106383] ; [23.5106383 41.4893617],0
