Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.002587,9.077888,[2 1] ; [ 5 51],[0.3559322 2.6440678] ; [ 6.6440678 49.3559322],0
p4,1,0.059094,3.562621,[2 1] ; [11 44],[0.67241379 2.32758621] ; [12.32758621 42.67241379],0
p8,1,0.062867,3.460082,[2 1] ; [11 43],[0.68421053 2.31578947] ; [12.31578947 41.68421053],0
a4,1,0.189764,1.719447,[2 1] ; [17 39],[0.96610169 2.03389831] ; [18.03389831 37.96610169],0
p6,1,0.226792,1.46087,[1 1] ; [ 9 45],[0.35714286 1.64285714] ; [ 9.64285714 44.35714286],0
d1,1,0.24858,1.331267,[2 1] ; [19 37],[1.06779661 1.93220339] ; [19.93220339 36.06779661],0
v1,1,0.259618,1.270793,[2 1] ; [19 36],[1.0862069 1.9137931] ; [19.9137931 35.0862069],0
s8,1,0.304489,1.054432,[1 2] ; [ 7 49],[0.40677966 2.59322034] ; [ 7.59322034 48.40677966],0
d2,1,0.346927,0.884666,[2 1] ; [22 34],[1.22033898 1.77966102] ; [22.77966102 33.22033898],0
a5,1,0.418366,0.654901,[2 1] ; [24 32],[1.3220339 1.6779661] ; [24.6779661 31.3220339],0
a7,1,0.49404,0.467715,[1 2] ; [30 26],[1.57627119 1.42372881] ; [29.42372881 26.57627119],0
d3,1,0.553257,0.351515,[2 1] ; [27 28],[1.5 1.5] ; [27.5 27.5],0
n4,1,0.573734,0.316475,[2 1] ; [28 28],[1.52542373 1.47457627] ; [28.47457627 27.52542373],0
v4,1,0.594816,0.282886,[2 1] ; [28 27],[1.55172414 1.44827586] ; [28.44827586 26.55172414],0
a6,1,0.615059,0.252873,[2 1] ; [29 27],[1.57627119 1.42372881] ; [29.42372881 26.57627119],0
b2,1,0.629685,0.232488,[1 1] ; [11 22],[0.68571429 1.31428571] ; [11.31428571 21.68571429],0
b3,1,0.629685,0.232488,[1 1] ; [11 22],[0.68571429 1.31428571] ; [11.31428571 21.68571429],0
r3,1,0.700683,0.147762,[1 2] ; [25 31],[1.3220339 1.6779661] ; [24.6779661 31.3220339],0
a3,1,0.725657,0.123137,[2 1] ; [31 24],[1.70689655 1.29310345] ; [31.29310345 23.70689655],0
s7,1,0.747312,0.103804,[1 2] ; [13 39],[0.76363636 2.23636364] ; [13.23636364 38.76363636],0
s3,1,0.771378,0.084433,[1 2] ; [23 32],[1.24137931 1.75862069] ; [22.75862069 32.24137931],0
r1,1,0.803728,0.061765,[1 2] ; [15 41],[0.81355932 2.18644068] ; [15.18644068 40.81355932],0
d4,1,0.836832,0.042414,[2 1] ; [34 22],[1.83050847 1.16949153] ; [34.16949153 21.83050847],0
n3,1,0.843876,0.038785,[1 1] ; [12 16],[0.86666667 1.13333333] ; [12.13333333 15.86666667],0
p2,1,0.858603,0.031739,[1 1] ; [24 31],[0.87719298 1.12280702] ; [24.12280702 30.87719298],0
s6,1,0.965707,0.001848,[1 2] ; [18 38],[0.96610169 2.03389831] ; [18.03389831 37.96610169],0
v2,1,0.982623,0.000474,[1 2] ; [18 37],[0.98275862 2.01724138] ; [18.01724138 36.98275862],0
