Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-05,19.482574,[63 44] ; [54  5],[75.41566265 31.58433735] ; [41.58433735 17.41566265],1
s2,1,6.3e-05,16.001944,[44 63] ; [44 16],[56.38323353 50.61676647] ; [31.61676647 28.38323353],1
p10,1,0.000141,14.48493,[48 56] ; [44 13],[59.42857143 44.57142857] ; [32.57142857 24.42857143],1
s8,1,0.000146,14.422866,[32 75] ; [36 24],[43.56886228 63.43113772] ; [24.43113772 35.56886228],1
s7,1,0.000156,14.300472,[38 61] ; [38 16],[49.17647059 49.82352941] ; [26.82352941 27.17647059],1
s4,1,0.000163,14.210272,[14 93] ; [23 37],[23.70658683 83.29341317] ; [13.29341317 46.70658683],1
p9,1,0.013213,6.140352,[62 41] ; [46 12],[69.0931677 33.9068323] ; [38.9068323 19.0931677],0
a8,1,0.013772,6.067132,[ 7 89] ; [11 41],[11.67567568 84.32432432] ; [ 6.32432432 45.67567568],0
a3,1,0.029703,4.726397,[65 40] ; [47 13],[71.27272727 33.72727273] ; [40.72727273 19.27272727],0
p6,1,0.039015,4.260194,[28 77] ; [25 34],[33.93292683 71.06707317] ; [19.06707317 39.93292683],0
d4,1,0.061293,3.502041,[78 27] ; [52  8],[82.72727273 22.27272727] ; [47.27272727 12.72727273],0
a5,1,0.062554,3.468345,[67 40] ; [46 14],[72.4011976 34.5988024] ; [40.5988024 19.4011976],0
u3,1,0.062937,3.458256,[27 13] ; [5 8],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
v1,1,0.067637,3.339466,[41 65] ; [32 28],[46.61445783 59.38554217] ; [26.38554217 33.61445783],0
p1,1,0.068681,3.314259,[  7 100] ; [ 9 50],[10.31325301 96.68674699] ; [ 5.68674699 53.31325301],0
s3,1,0.070776,3.264938,[53 52] ; [39 21],[58.54545455 46.45454545] ; [33.45454545 26.54545455],0
d2,1,0.072378,3.228245,[50 56] ; [37 23],[55.55421687 50.44578313] ; [31.44578313 28.55421687],0
a4,1,0.072933,3.215735,[43 63] ; [33 27],[48.53012048 57.46987952] ; [27.46987952 32.53012048],0
u1,1,0.093275,2.816922,[17 90] ; [16 44],[21.14371257 85.85628743] ; [11.85628743 48.14371257],0
p12,1,0.095122,2.785479,[  1 106] ; [ 3 56],[  2.57831325 104.42168675] ; [ 1.42168675 57.57831325],0
